BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1895393,572.0,548.0,24.0,26.0,0.06133699417114258,7.82012939453125e-05
1895394,549.0,524.0,25.0,27.0,0.07143712043762207,9.179115295410156e-05
1895395,512.0,486.0,26.0,27.0,0.05846381187438965,9.799003601074219e-05
1895396,576.0,550.0,26.0,28.0,0.07152986526489258,9.846687316894531e-05
1895397,512.0,485.0,27.0,28.0,0.05467867851257324,9.489059448242188e-05
1895398,578.0,551.0,27.0,29.0,0.06210064888000488,7.843971252441406e-05
1895399,552.0,524.0,28.0,30.0,0.07265973091125488,9.584426879882812e-05
1895400,512.0,485.0,27.0,28.0,0.05821585655212402,9.72747802734375e-05
1895401,512.0,485.0,27.0,28.0,0.05708718299865723,8.96453857421875e-05
1895402,512.0,485.0,27.0,28.0,0.05568361282348633,8.869171142578125e-05
1895403,512.0,485.0,27.0,28.0,0.05758333206176758,8.392333984375e-05
1895404,512.0,485.0,27.0,28.0,0.056949615478515625,0.00010657310485839844
1895405,512.0,485.0,27.0,28.0,0.054058074951171875,9.441375732421875e-05
1895406,512.0,485.0,27.0,28.0,0.06035566329956055,9.131431579589844e-05
1895407,740.0,713.0,27.0,29.0,0.07801985740661621,8.916854858398438e-05
1895408,512.0,485.0,27.0,28.0,0.05784487724304199,0.00011301040649414062
1895409,65.0,39.0,26.0,27.0,0.03724026679992676,8.20159912109375e-05
