COUNT,Count,Percentage
30.1435,143,18.74180865006553
86.52,76,9.960681520314548
142.2,79,10.35386631716907
197.88,84,11.009174311926605
253.56,66,8.650065530799475
309.24,72,9.436435124508519
364.91999999999996,60,7.863695937090433
420.6,52,6.815203145478375
476.28,34,4.456094364351245
531.96,41,5.373525557011796
587.64,19,2.490170380078637
643.3199999999999,10,1.3106159895150722
699.0,9,1.1795543905635648
754.6800000000001,5,0.6553079947575361
810.36,3,0.3931847968545216
866.04,3,0.3931847968545216
921.72,3,0.3931847968545216
1033.08,1,0.1310615989515072
1088.76,1,0.1310615989515072
1144.44,1,0.1310615989515072
1367.1599999999999,1,0.1310615989515072
