request_preemption_time,cdf
0.0043010711669921875,0.001310615989515072
0.004485368728637695,0.002621231979030144
0.007673978805541992,0.003931847968545216
0.008681297302246094,0.005242463958060288
0.00873565673828125,0.00655307994757536
0.010137796401977539,0.007863695937090432
0.01039576530456543,0.009174311926605505
0.011278629302978516,0.010484927916120577
0.011409759521484375,0.011795543905635648
0.011413812637329102,0.01310615989515072
0.011822938919067383,0.014416775884665793
0.012053966522216797,0.015727391874180863
0.012799501419067383,0.01703800786369594
0.013126850128173828,0.01834862385321101
0.013419628143310547,0.019659239842726082
0.013630867004394531,0.020969855832241154
0.013749837875366211,0.022280471821756225
0.015956878662109375,0.023591087811271297
0.01761913299560547,0.02490170380078637
0.01798272132873535,0.02621231979030144
0.01823592185974121,0.027522935779816515
0.018755435943603516,0.028833551769331587
0.018880844116210938,0.03014416775884666
0.01915740966796875,0.03145478374836173
0.019250154495239258,0.0327653997378768
0.019315004348754883,0.03407601572739188
0.019488811492919922,0.035386631716906945
0.019696950912475586,0.03669724770642202
0.019909381866455078,0.03800786369593709
0.020298480987548828,0.039318479685452164
0.020862340927124023,0.04062909567496723
0.022478818893432617,0.04193971166448231
0.022910118103027344,0.04325032765399738
0.02291417121887207,0.04456094364351245
0.023030519485473633,0.045871559633027525
0.0238339900970459,0.047182175622542594
0.025037050247192383,0.04849279161205767
0.025441646575927734,0.04980340760157274
0.025783777236938477,0.05111402359108781
0.026628732681274414,0.05242463958060288
0.02782464027404785,0.053735255570117955
0.02821207046508789,0.05504587155963303
0.02825188636779785,0.0563564875491481
0.02899932861328125,0.057667103538663174
0.029146671295166016,0.05897771952817824
0.029462337493896484,0.06028833551769332
0.030692577362060547,0.061598951507208385
0.030829668045043945,0.06290956749672345
0.031197071075439453,0.06422018348623854
0.031501054763793945,0.0655307994757536
0.03218388557434082,0.06684141546526867
0.03249382972717285,0.06815203145478375
0.03404974937438965,0.06946264744429882
0.03408336639404297,0.07077326343381389
0.034394264221191406,0.07208387942332896
0.03485417366027832,0.07339449541284404
0.03565645217895508,0.07470511140235911
0.03578782081604004,0.07601572739187418
0.036029815673828125,0.07732634338138926
0.03654003143310547,0.07863695937090433
0.03670525550842285,0.0799475753604194
0.036710500717163086,0.08125819134993446
0.03675127029418945,0.08256880733944955
0.037264347076416016,0.08387942332896461
0.03807663917541504,0.08519003931847968
0.03848075866699219,0.08650065530799476
0.038610219955444336,0.08781127129750983
0.03909802436828613,0.0891218872870249
0.04006505012512207,0.09043250327653997
0.04023432731628418,0.09174311926605505
0.04052162170410156,0.09305373525557012
0.04095292091369629,0.09436435124508519
0.0411069393157959,0.09567496723460026
0.041173696517944336,0.09698558322411534
