COUNT,Count,Percentage
28.085,185,24.246395806028833
84.34,83,10.878112712975097
139.9,68,8.91218872870249
195.46,66,8.650065530799475
251.02,59,7.732634338138925
306.58000000000004,71,9.305373525557012
362.14,57,7.470511140235911
417.70000000000005,47,6.159895150720839
473.26,33,4.325032765399738
528.82,38,4.980340760157274
584.38,20,2.6212319790301444
639.94,11,1.4416775884665793
695.5,7,0.9174311926605505
751.06,7,0.9174311926605505
806.62,1,0.1310615989515072
862.1800000000001,3,0.3931847968545216
917.74,3,0.3931847968545216
1028.8600000000001,1,0.1310615989515072
1084.42,1,0.1310615989515072
1139.98,1,0.1310615989515072
1362.22,1,0.1310615989515072
