REQUEST_RUNTIME,SECONDS
request_e2e_time,17437.4296875
request_inter_arrival_delay,908.5214233398438
request_e2e_time_normalized,202.78994750976562
request_e2e_time_piecewise_normalized,5291.041015625
request_execution_time,11963.75
request_execution_time_normalized,95.18608093261719
request_preemption_time,280.0205078125
request_scheduling_delay,5193.65380859375
request_execution_plus_preemption_time,12243.78125
request_execution_plus_preemption_time_normalized,97.38312530517578
prefill_e2e_time,6160.8974609375
prefill_e2e_time_normalized,2.3635315895080566
prefill_e2e_time_piecewise_normalized,5193.75537109375
prefill_time_execution_plus_preemption,967.2430419921875
prefill_time_execution_plus_preemption_normalized,0.10187804698944092
decode_time_execution_plus_preemption_normalized,44.48330307006836
