Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
4086.00000,4084.69472,4084.69472,4084.69472
2.00000,1.99971,1.99971,1.99971
4088.00000,4084.69472,4084.69472,4084.69472
0.00000,0.00000,0.00000,0.00000
0.34587,0.34198,0.34404,0.34404
0.00000,0.00000,0.00000,0.00000
0.34587,0.34198,0.34404,0.34404
0.17294,0.17119,0.17187,0.17187
5.79064,5.84157,5.90028,5.90028
0.83571,0.83277,0.83277,0.83277
10000000000.00000,9991566009.24997,9991566009.24997,9991566009.24997
