,cdf,Number of Output Tokens
0,0.0,1.9997051226201907
1,0.01,1.9997051226201907
2,0.02,1.9997051226201907
3,0.03,1.9997051226201907
4,0.04,1.9997051226201907
5,0.05,1.9997051226201907
6,0.06,1.9997051226201907
7,0.07,1.9997051226201907
8,0.08,1.9997051226201907
9,0.09,1.9997051226201907
10,0.1,1.9997051226201907
11,0.11,1.9997051226201907
12,0.12,1.9997051226201907
13,0.13,1.9997051226201907
14,0.14,1.9997051226201907
15,0.15,1.9997051226201907
16,0.16,1.9997051226201907
17,0.17,1.9997051226201907
18,0.18,1.9997051226201907
19,0.19,1.9997051226201907
20,0.2,1.9997051226201907
21,0.21,1.9997051226201907
22,0.22,1.9997051226201907
23,0.23,1.9997051226201907
24,0.24,1.9997051226201907
25,0.25,1.9997051226201907
26,0.26,1.9997051226201907
27,0.27,1.9997051226201907
28,0.28,1.9997051226201907
29,0.29,1.9997051226201907
30,0.3,1.9997051226201907
31,0.31,1.9997051226201907
32,0.32,1.9997051226201907
33,0.33,1.9997051226201907
34,0.34,1.9997051226201907
35,0.35000000000000003,1.9997051226201907
36,0.36,1.9997051226201907
37,0.37,1.9997051226201907
38,0.38,1.9997051226201907
39,0.39,1.9997051226201907
40,0.4,1.9997051226201907
41,0.41000000000000003,1.9997051226201907
42,0.42,1.9997051226201907
43,0.43,1.9997051226201907
44,0.44,1.9997051226201907
45,0.45,1.9997051226201907
46,0.46,1.9997051226201907
47,0.47000000000000003,1.9997051226201907
48,0.48,1.9997051226201907
49,0.49,1.9997051226201907
50,0.5,1.9997051226201907
51,0.51,1.9997051226201907
52,0.52,1.9997051226201907
53,0.53,1.9997051226201907
54,0.54,1.9997051226201907
55,0.55,1.9997051226201907
56,0.56,1.9997051226201907
57,0.5700000000000001,1.9997051226201907
58,0.58,1.9997051226201907
59,0.59,1.9997051226201907
60,0.6,1.9997051226201907
61,0.61,1.9997051226201907
62,0.62,1.9997051226201907
63,0.63,1.9997051226201907
64,0.64,1.9997051226201907
65,0.65,1.9997051226201907
66,0.66,1.9997051226201907
67,0.67,1.9997051226201907
68,0.68,1.9997051226201907
69,0.6900000000000001,1.9997051226201907
70,0.7000000000000001,1.9997051226201907
71,0.71,1.9997051226201907
72,0.72,1.9997051226201907
73,0.73,1.9997051226201907
74,0.74,1.9997051226201907
75,0.75,1.9997051226201907
76,0.76,1.9997051226201907
77,0.77,1.9997051226201907
78,0.78,1.9997051226201907
79,0.79,1.9997051226201907
80,0.8,1.9997051226201907
81,0.81,1.9997051226201907
82,0.8200000000000001,1.9997051226201907
83,0.8300000000000001,1.9997051226201907
84,0.84,1.9997051226201907
85,0.85,1.9997051226201907
86,0.86,1.9997051226201907
87,0.87,1.9997051226201907
88,0.88,1.9997051226201907
89,0.89,1.9997051226201907
90,0.9,1.9997051226201907
91,0.91,1.9997051226201907
92,0.92,1.9997051226201907
93,0.93,1.9997051226201907
94,0.9400000000000001,1.9997051226201907
95,0.9500000000000001,1.9997051226201907
96,0.96,1.9997051226201907
97,0.97,1.9997051226201907
98,0.98,1.9997051226201907
99,0.99,1.9997051226201907
100,1.0,1.9997051226201907
