Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8192.00000,8192.73040,8192.73040,8192.73040
53.00000,53.03759,53.03759,53.03759
8245.00000,8242.03457,8242.03457,8242.03457
0.01265,0.01266,0.01266,0.01266
0.75041,0.75051,0.75051,0.75051
0.01265,0.01292,0.01300,0.01308
1.40839,1.40917,1.40917,1.40917
0.02657,0.02660,0.02660,0.02660
37.63160,37.59987,37.59987,37.59987
0.21212,0.21204,0.21204,0.21204
0.13036,0.13042,0.13042,0.13042
