Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1024.00000,1023.51884,1023.51884,1023.51884
2.00000,1.99971,1.99971,1.99971
1026.00000,1025.56792,1025.56792,1025.56792
0.00000,0.00000,0.00000,0.00000
0.09756,0.09604,0.10218,0.10218
0.00000,0.00000,0.00000,0.00000
0.09756,0.09604,0.10218,0.10218
0.04878,0.04798,0.05115,0.05115
20.58514,20.59402,22.08725,22.08725
0.20000,0.00000,0.50007,0.50007
4000000000.00011,0.00018,9991566009.24997,9991566009.24997
