,cdf,Normalized End to End Latency
0,0.0,0.04482444975364467
1,0.01,0.04482444975364467
2,0.02,0.04482444975364467
3,0.03,0.04482444975364467
4,0.04,0.04482444975364467
5,0.05,0.04482444975364467
6,0.06,0.04482444975364467
7,0.07,0.04482444975364467
8,0.08,0.04482444975364467
9,0.09,0.04482444975364467
10,0.1,0.04482444975364467
11,0.11,0.04482444975364467
12,0.12,0.04527494311404125
13,0.13,0.04527494311404125
14,0.14,0.04527494311404125
15,0.15,0.04527494311404125
16,0.16,0.04527494311404125
17,0.17,0.04527494311404125
18,0.18,0.04527494311404125
19,0.19,0.04527494311404125
20,0.2,0.04527494311404125
21,0.21,0.04527494311404125
22,0.22,0.04527494311404125
23,0.23,0.04527494311404125
24,0.24,0.04527494311404125
25,0.25,0.04527494311404125
26,0.26,0.04527494311404125
27,0.27,0.04527494311404125
28,0.28,0.04527494311404125
29,0.29,0.04527494311404125
30,0.3,0.04527494311404125
31,0.31,0.04527494311404125
32,0.32,0.04527494311404125
33,0.33,0.04527494311404125
34,0.34,0.04778700618048432
35,0.35000000000000003,0.04778700618048432
36,0.36,0.04778700618048432
37,0.37,0.04778700618048432
38,0.38,0.04778700618048432
39,0.39,0.04778700618048432
40,0.4,0.04778700618048432
41,0.41000000000000003,0.04778700618048432
42,0.42,0.04778700618048432
43,0.43,0.04778700618048432
44,0.44,0.04778700618048432
45,0.45,0.047978537075465344
46,0.46,0.047978537075465344
47,0.47000000000000003,0.047978537075465344
48,0.48,0.047978537075465344
49,0.49,0.047978537075465344
50,0.5,0.047978537075465344
51,0.51,0.047978537075465344
52,0.52,0.047978537075465344
53,0.53,0.047978537075465344
54,0.54,0.047978537075465344
55,0.55,0.047978537075465344
56,0.56,0.04855774802864329
57,0.5700000000000001,0.04855774802864329
58,0.58,0.04855774802864329
59,0.59,0.04855774802864329
60,0.6,0.04855774802864329
61,0.61,0.04855774802864329
62,0.62,0.04855774802864329
63,0.63,0.04855774802864329
64,0.64,0.04855774802864329
65,0.65,0.04855774802864329
66,0.66,0.04855774802864329
67,0.67,0.05033767399037862
68,0.68,0.05033767399037862
69,0.6900000000000001,0.05033767399037862
70,0.7000000000000001,0.05033767399037862
71,0.71,0.05033767399037862
72,0.72,0.05033767399037862
73,0.73,0.05033767399037862
74,0.74,0.05033767399037862
75,0.75,0.05033767399037862
76,0.76,0.05033767399037862
77,0.77,0.05033767399037862
78,0.78,0.05104735785841233
79,0.79,0.05104735785841233
80,0.8,0.05104735785841233
81,0.81,0.05104735785841233
82,0.8200000000000001,0.05104735785841233
83,0.8300000000000001,0.05104735785841233
84,0.84,0.05104735785841233
85,0.85,0.05104735785841233
86,0.86,0.05104735785841233
87,0.87,0.05104735785841233
88,0.88,0.05104735785841233
89,0.89,0.05114955477104179
90,0.9,0.05114955477104179
91,0.91,0.05114955477104179
92,0.92,0.05114955477104179
93,0.93,0.05114955477104179
94,0.9400000000000001,0.05114955477104179
95,0.9500000000000001,0.05114955477104179
96,0.96,0.05114955477104179
97,0.97,0.05114955477104179
98,0.98,0.05114955477104179
99,0.99,0.05114955477104179
100,1.0,0.05563173523213165
