prefill_e2e_time,cdf
0.026801109313964844,0.0006872852233676976
0.027918338775634766,0.0013745704467353953
0.03271603584289551,0.002061855670103093
0.033629417419433594,0.0027491408934707906
0.03444218635559082,0.003436426116838488
0.036197662353515625,0.004123711340206186
0.03744626045227051,0.004810996563573883
0.038329362869262695,0.005498281786941581
0.03991127014160156,0.006185567010309278
0.04025840759277344,0.006872852233676976
0.04079747200012207,0.007560137457044674
0.04082536697387695,0.008247422680412371
0.041312456130981445,0.008934707903780068
0.0422208309173584,0.009621993127147767
0.0427398681640625,0.010309278350515464
0.04392504692077637,0.010996563573883162
0.04457402229309082,0.01168384879725086
0.04461550712585449,0.012371134020618556
0.04518318176269531,0.013058419243986255
0.04648900032043457,0.013745704467353952
0.04724907875061035,0.01443298969072165
0.04840254783630371,0.015120274914089347
0.05579829216003418,0.015807560137457044
0.060144662857055664,0.016494845360824743
0.0603632926940918,0.01718213058419244
0.06121659278869629,0.017869415807560136
0.0614016056060791,0.018556701030927835
0.06153583526611328,0.019243986254295534
0.06322884559631348,0.01993127147766323
0.06405210494995117,0.020618556701030927
0.06409788131713867,0.021305841924398626
0.0670464038848877,0.021993127147766325
0.06841850280761719,0.02268041237113402
0.0699615478515625,0.02336769759450172
0.0730280876159668,0.024054982817869417
0.07329273223876953,0.024742268041237112
0.07478547096252441,0.02542955326460481
0.07480382919311523,0.02611683848797251
0.0757603645324707,0.026804123711340205
0.07766032218933105,0.027491408934707903
0.0776681900024414,0.028178694158075602
0.07927608489990234,0.0288659793814433
0.07960700988769531,0.029553264604810996
0.08025455474853516,0.030240549828178694
0.08117985725402832,0.030927835051546393
0.08296561241149902,0.03161512027491409
0.08497977256774902,0.03230240549828179
0.08545207977294922,0.032989690721649485
0.08660197257995605,0.03367697594501718
0.08715534210205078,0.03436426116838488
0.08752298355102539,0.03505154639175258
0.08985638618469238,0.03573883161512027
0.09052324295043945,0.036426116838487975
0.09109210968017578,0.03711340206185567
0.09233617782592773,0.037800687285223365
0.09315204620361328,0.03848797250859107
0.09384560585021973,0.03917525773195876
0.09638500213623047,0.03986254295532646
0.09673166275024414,0.04054982817869416
0.09819746017456055,0.041237113402061855
0.09931039810180664,0.04192439862542955
0.10081291198730469,0.04261168384879725
0.10089850425720215,0.04329896907216495
0.10251736640930176,0.04398625429553265
0.10370039939880371,0.044673539518900345
0.10663819313049316,0.04536082474226804
0.10703229904174805,0.04604810996563574
0.10783648490905762,0.04673539518900344
0.10847282409667969,0.04742268041237113
0.10962152481079102,0.048109965635738834
0.11092686653137207,0.04879725085910653
0.11102867126464844,0.049484536082474224
0.11236238479614258,0.05017182130584193
0.1126260757446289,0.05085910652920962
0.11270689964294434,0.05154639175257732
0.1131429672241211,0.05223367697594502
0.11357378959655762,0.052920962199312714
0.1144108772277832,0.05360824742268041
0.11461973190307617,0.05429553264604811
0.11468315124511719,0.054982817869415807
0.11476898193359375,0.05567010309278351
0.11510920524597168,0.056357388316151204
0.11551523208618164,0.0570446735395189
0.11558318138122559,0.0577319587628866
0.11558318138122559,0.058419243986254296
0.1164863109588623,0.05910652920962199
0.11651802062988281,0.05979381443298969
0.11660957336425781,0.06048109965635739
0.11774849891662598,0.061168384879725084
0.11854696273803711,0.061855670103092786
0.11939001083374023,0.06254295532646048
0.12011456489562988,0.06323024054982818
0.12015271186828613,0.06391752577319587
0.12049627304077148,0.06460481099656358
0.12062263488769531,0.06529209621993128
0.12256240844726562,0.06597938144329897
0.12500238418579102,0.06666666666666667
0.12576889991760254,0.06735395189003436
0.12728309631347656,0.06804123711340206
0.12734127044677734,0.06872852233676977
0.12793993949890137,0.06941580756013746
0.128007173538208,0.07010309278350516
0.12834763526916504,0.07079037800687285
0.1286771297454834,0.07147766323024055
0.12988066673278809,0.07216494845360824
0.13156342506408691,0.07285223367697595
0.1316547393798828,0.07353951890034365
0.1317911148071289,0.07422680412371134
0.13198208808898926,0.07491408934707904
0.13271164894104004,0.07560137457044673
0.133270263671875,0.07628865979381444
0.1338059902191162,0.07697594501718213
0.13480424880981445,0.07766323024054983
0.13536524772644043,0.07835051546391752
0.13540029525756836,0.07903780068728522
0.13681840896606445,0.07972508591065292
0.13687825202941895,0.08041237113402062
0.13715553283691406,0.08109965635738832
0.13995885848999023,0.08178694158075601
0.1401679515838623,0.08247422680412371
0.14054441452026367,0.0831615120274914
0.14080262184143066,0.0838487972508591
0.14112162590026855,0.08453608247422681
0.1430206298828125,0.0852233676975945
0.14382052421569824,0.0859106529209622
