COUNT,Count,Percentage
2877.0694999999996,884,60.756013745704465
6694.599999999999,146,10.034364261168385
10465.0,82,5.635738831615121
14235.400000000001,102,7.010309278350515
18005.8,76,5.223367697594502
21776.2,48,3.2989690721649483
25546.6,39,2.6804123711340204
29317.0,30,2.0618556701030926
33087.4,6,0.41237113402061853
36857.8,2,0.13745704467353953
44398.600000000006,2,0.13745704467353953
55709.8,6,0.41237113402061853
59480.2,4,0.27491408934707906
63250.600000000006,2,0.13745704467353953
67021.0,2,0.13745704467353953
74561.8,4,0.27491408934707906
78332.2,2,0.13745704467353953
82102.6,8,0.5498281786941581
85873.0,6,0.41237113402061853
93413.8,4,0.27491408934707906
