REQUEST_RUNTIME,SECONDS
request_e2e_time,30902.580078125
request_inter_arrival_delay,873.1033935546875
request_e2e_time_normalized,366.294921875
request_e2e_time_piecewise_normalized,8873.2099609375
request_execution_time,21335.8203125
request_execution_time_normalized,105.90687561035156
request_preemption_time,804.4222412109375
request_scheduling_delay,8762.330078125
request_execution_plus_preemption_time,22140.232421875
request_execution_plus_preemption_time_normalized,110.8675308227539
prefill_e2e_time,9589.9326171875
prefill_e2e_time_normalized,3.3202931880950928
prefill_e2e_time_piecewise_normalized,8762.4716796875
prefill_time_execution_plus_preemption,827.5949096679688
prefill_time_execution_plus_preemption_normalized,0.12586960196495056
decode_time_execution_plus_preemption_normalized,79.22688293457031
