SECONDS,prefix_cache_block_movements_gpu_to_cpu
1746756082.6179576,0.0
1746756082.6556182,0.0
1746756082.6930988,0.0
1746756082.7309334,0.0
1746756082.769087,0.0
1746756082.807711,0.0
1746756082.8469641,0.0
1746756082.8863847,0.0
1746756082.926227,0.0
1746756082.9663153,0.0
1746756083.00671,0.0
1746756083.047412,0.0
1746756083.0884724,0.0
1746756083.1298623,0.0
1746756083.1652942,0.0
1746756083.181068,0.0
1746756083.1962078,0.0
1746756083.2113647,0.0
1746756083.226475,0.0
1746756083.241809,0.0
1746756083.2569683,0.0
1746756083.2721334,0.0
1746756083.2875302,0.0
1746756083.3030128,0.0
1746756083.3184924,0.0
1746756083.3340275,0.0
1746756083.3495204,0.0
1746756083.3649473,0.0
1746756083.3803668,0.0
1746756083.395727,0.0
1746756083.4110804,0.0
1746756083.4264653,0.0
1746756083.4419696,0.0
1746756083.4575934,0.0
1746756083.4729342,0.0
1746756083.488637,0.0
1746756083.50425,0.0
1746756083.5197415,0.0
1746756083.5352442,0.0
1746756083.5508454,0.0
1746756083.5663102,0.0
1746756083.5818217,0.0
1746756083.5973084,0.0
1746756083.6127353,0.0
1746756083.6281173,0.0
1746756083.6435637,0.0
1746756083.6590123,0.0
1746756083.6744425,0.0
1746756083.6899693,0.0
1746756083.7056158,0.0
1746756083.721246,0.0
1746756083.7371392,0.0
1746756083.752755,0.0
1746756083.7684016,0.0
1746756083.7839334,0.0
1746756083.7996292,0.0
1746756083.8151453,0.0
1746756083.830729,0.0
1746756083.846373,0.0
1746756083.8623438,0.0
1746756083.8780496,0.0
1746756083.8937624,0.0
1746756083.9094853,0.0
1746756083.925239,0.0
1746756083.9409263,0.0
1746756083.9566896,0.0
1746756083.9723454,0.0
1746756083.9883418,0.0
1746756084.0040858,0.0
1746756084.0197124,0.0
1746756084.0351357,0.0
1746756084.050559,0.0
1746756084.0660405,0.0
1746756084.0815334,0.0
1746756084.0970132,0.0
1746756084.1124566,0.0
1746756084.127885,0.0
1746756084.172658,0.0
1746756084.1896825,0.0
1746756084.2056108,0.0
1746756084.2214897,0.0
1746756084.2372274,0.0
1746756084.2554243,0.0
1746756084.2715256,0.0
1746756084.2873702,0.0
1746756084.3034034,0.0
1746756084.319368,0.0
1746756084.3356013,0.0
1746756084.3516045,0.0
1746756084.3674784,0.0
1746756084.3833606,0.0
1746756084.3992543,0.0
1746756084.4150977,0.0
1746756084.4309115,0.0
1746756084.446666,0.0
1746756084.4623916,0.0
1746756084.4783468,0.0
1746756084.494447,0.0
1746756084.5105317,0.0
1746756084.5266542,0.0
1746756084.5427086,0.0
1746756084.558735,0.0
1746756084.574622,0.0
1746756084.590562,0.0
1746756084.606304,0.0
1746756084.6220536,0.0
1746756084.6378264,0.0
1746756084.6535106,0.0
1746756084.6692529,0.0
1746756084.6850536,0.0
1746756084.7009044,0.0
1746756084.7169116,0.0
1746756084.7330055,0.0
1746756084.7491853,0.0
1746756084.7666183,0.0
1746756084.7831037,0.0
1746756084.7991133,0.0
1746756084.8150942,0.0
1746756084.8312097,0.0
1746756084.8474205,0.0
1746756084.8633556,0.0
1746756084.8791795,0.0
1746756084.8950849,0.0
1746756084.9109244,0.0
1746756084.9267988,0.0
1746756084.9426067,0.0
1746756084.958567,0.0
1746756084.9747763,0.0
