COUNT,Count,Percentage
2873.0555,898,61.718213058419245
6688.48,138,9.484536082474227
10456.8,80,5.498281786941581
14225.119999999999,108,7.422680412371134
17993.44,66,4.536082474226804
21761.76,52,3.5738831615120277
25530.08,35,2.4054982817869415
29298.4,30,2.0618556701030926
33066.72,6,0.41237113402061853
36835.03999999999,2,0.13745704467353953
44371.67999999999,2,0.13745704467353953
55676.64,6,0.41237113402061853
59444.96000000001,4,0.27491408934707906
63213.28,2,0.13745704467353953
66981.6,2,0.13745704467353953
74518.23999999999,4,0.27491408934707906
78286.56,2,0.13745704467353953
82054.88,8,0.5498281786941581
85823.2,6,0.41237113402061853
93359.84,4,0.27491408934707906
