SECONDS,request_completed
-10.352633953094482,1.0
-10.336389541625977,2.0
-6.846983194351196,3.0
-6.846628904342651,4.0
-5.563976764678955,5.0
-5.4972686767578125,6.0
-4.168337345123291,7.0
-4.1679956912994385,8.0
-0.8161220550537109,9.0
-0.783073902130127,10.0
2.7775046825408936,11.0
2.970954418182373,12.0
3.629251003265381,13.0
3.6294162273406982,14.0
4.118579387664795,15.0
4.197197914123535,16.0
5.10685396194458,17.0
5.137477159500122,18.0
6.34149956703186,19.0
6.4161317348480225,20.0
12.365338563919067,21.0
12.5124990940094,22.0
14.293375730514526,23.0
14.294222831726074,24.0
21.209312677383423,25.0
21.276254415512085,26.0
29.425668001174927,27.0
29.539198875427246,28.0
31.581960678100586,29.0
31.82918906211853,30.0
33.576523542404175,31.0
33.57951045036316,32.0
35.22165536880493,33.0
35.222384214401245,34.0
36.71252751350403,35.0
36.89786434173584,36.0
36.944395542144775,37.0
37.01261496543884,38.0
37.19249224662781,39.0
37.19312500953674,40.0
38.09801435470581,41.0
38.14048480987549,42.0
40.897130489349365,43.0
40.918904066085815,44.0
41.35370206832886,45.0
41.39582657814026,46.0
41.807119369506836,47.0
41.807270765304565,48.0
42.16284799575806,49.0
42.18387293815613,50.0
42.999573707580566,51.0
42.99978256225586,52.0
43.11241412162781,53.0
43.16846036911011,54.0
43.96289300918579,55.0
44.01896834373474,56.0
44.275856733322144,57.0
44.31265354156494,58.0
45.24687480926514,59.0
45.247058391571045,60.0
45.26471471786499,61.0
45.29965281486511,62.0
45.97470736503601,63.0
46.14259719848633,64.0
48.08439898490906,65.0
48.1681866645813,66.0
51.03279113769531,67.0
51.10280513763428,68.0
52.74670696258545,69.0
52.86284160614014,70.0
54.187649726867676,71.0
54.18787741661072,72.0
55.246825218200684,73.0
55.30768179893494,74.0
55.45927023887634,75.0
55.45939803123474,76.0
55.64444851875305,77.0
55.66285705566406,78.0
59.37587380409241,79.0
59.420040130615234,80.0
60.157235860824585,81.0
60.15744066238403,82.0
61.06688833236694,83.0
61.06704378128052,84.0
64.27466130256653,85.0
64.39150381088257,86.0
65.16685676574707,87.0
65.16712641716003,88.0
65.42826843261719,89.0
65.47503352165222,90.0
65.49724626541138,91.0
65.56304478645325,92.0
67.1191029548645,93.0
67.11964082717896,94.0
67.18400382995605,95.0
67.18421053886414,96.0
67.38715887069702,97.0
67.38739252090454,98.0
70.36594915390015,99.0
70.36685466766357,100.0
71.25215029716492,101.0
71.29982781410217,102.0
71.83213424682617,103.0
71.87767767906189,104.0
72.57133746147156,105.0
72.5717031955719,106.0
72.84124541282654,107.0
72.88224506378174,108.0
73.22822070121765,109.0
73.30974555015564,110.0
74.84856534004211,111.0
74.84871554374695,112.0
75.74984884262085,113.0
75.79175901412964,114.0
76.72140622138977,115.0
76.8454430103302,116.0
78.34611344337463,117.0
78.36532187461853,118.0
80.10950255393982,119.0
80.22353863716125,120.0
80.41061425209045,121.0
80.41078209877014,122.0
80.48278641700745,123.0
80.48304033279419,124.0
81.40521168708801,125.0
81.43924975395203,126.0
81.82526278495789,127.0
81.87486600875854,128.0
83.56520581245422,129.0
83.56566119194031,130.0
84.36547231674194,131.0
84.3677864074707,132.0
85.93454384803772,133.0
85.93465256690979,134.0
87.82126593589783,135.0
87.88280534744263,136.0
92.36987471580505,137.0
92.40120029449463,138.0
94.42410087585449,139.0
94.61873435974121,140.0
95.27145171165466,141.0
95.31429123878479,142.0
96.4122896194458,143.0
96.44961714744568,144.0
96.79928851127625,145.0
97.2807605266571,146.0
98.51926159858704,147.0
99.31421732902527,148.0
103.32174563407898,149.0
103.37979674339294,150.0
103.95413565635681,151.0
104.01805758476257,152.0
105.99396848678589,153.0
106.1529266834259,154.0
106.1794683933258,155.0
106.62907981872559,156.0
107.50241279602051,157.0
107.67468190193176,158.0
109.47000885009766,159.0
109.86688303947449,160.0
110.54762768745422,161.0
110.54794573783875,162.0
110.7372944355011,163.0
110.73755550384521,164.0
112.67828226089478,165.0
112.67874479293823,166.0
113.66290307044983,167.0
113.77371764183044,168.0
113.8976559638977,169.0
113.98037433624268,170.0
114.00073790550232,171.0
114.40333676338196,172.0
114.40388107299805,173.0
114.49677062034607,174.0
114.5151162147522,175.0
114.69509220123291,176.0
115.82795286178589,177.0
115.84713292121887,178.0
116.0868821144104,179.0
116.08704423904419,180.0
116.62941384315491,181.0
116.6295874118805,182.0
117.37507748603821,183.0
117.37518620491028,184.0
117.73277568817139,185.0
117.73315811157227,186.0
122.59068751335144,187.0
122.5908133983612,188.0
123.74886751174927,189.0
123.78239130973816,190.0
129.0794324874878,191.0
129.1719422340393,192.0
132.16471409797668,193.0
133.14077162742615,194.0
134.09557032585144,195.0
134.15543341636658,196.0
134.56807565689087,197.0
134.56818461418152,198.0
134.91597294807434,199.0
135.28358340263367,200.0
135.31021738052368,201.0
135.3379271030426,202.0
135.36437916755676,203.0
135.46923279762268,204.0
135.4694685935974,205.0
135.5205352306366,206.0
135.5719609260559,207.0
135.67287707328796,208.0
135.91896772384644,209.0
135.91930747032166,210.0
137.60229301452637,211.0
137.60288310050964,212.0
139.25356340408325,213.0
139.25371646881104,214.0
139.34956407546997,215.0
139.34971261024475,216.0
139.66431999206543,217.0
139.83283972740173,218.0
139.8330578804016,219.0
140.04410982131958,220.0
140.85832571983337,221.0
140.9062304496765,222.0
140.9538915157318,223.0
141.11770844459534,224.0
141.96247506141663,225.0
142.17173099517822,226.0
144.15728950500488,227.0
144.2009642124176,228.0
144.40760016441345,229.0
144.4082088470459,230.0
144.7639183998108,231.0
144.8200821876526,232.0
145.58864307403564,233.0
145.5888273715973,234.0
146.46731400489807,235.0
146.50615310668945,236.0
146.50627756118774,237.0
146.69298481941223,238.0
148.38416051864624,239.0
148.38433814048767,240.0
148.7723035812378,241.0
148.77253532409668,242.0
150.1614921092987,243.0
150.16176915168762,244.0
154.9038610458374,245.0
154.9040424823761,246.0
155.39622497558594,247.0
155.3965344429016,248.0
155.5637686252594,249.0
155.6119556427002,250.0
158.61111664772034,251.0
158.63567996025085,252.0
158.7353572845459,253.0
158.73564529418945,254.0
160.04388904571533,255.0
160.44708776474,256.0
160.5929229259491,257.0
160.59304785728455,258.0
160.99691939353943,259.0
161.27902030944824,260.0
161.2792580127716,261.0
161.76075100898743,262.0
161.7611231803894,263.0
162.05160474777222,264.0
162.94990158081055,265.0
162.9705753326416,266.0
163.0885796546936,267.0
163.0888659954071,268.0
163.68284106254578,269.0
163.7277386188507,270.0
163.90464687347412,271.0
163.9921269416809,272.0
164.6530225276947,273.0
164.65325093269348,274.0
164.83304405212402,275.0
164.83318996429443,276.0
164.89214420318604,277.0
165.27945232391357,278.0
166.48621082305908,279.0
166.7769329547882,280.0
166.9121389389038,281.0
167.32172107696533,282.0
167.72314500808716,283.0
167.7428617477417,284.0
168.01507329940796,285.0
168.0532841682434,286.0
168.24206495285034,287.0
168.260835647583,288.0
168.80814266204834,289.0
168.80831241607666,290.0
169.48728013038635,291.0
169.48783159255981,292.0
170.10860133171082,293.0
170.1087760925293,294.0
174.64782428741455,295.0
174.64815878868103,296.0
179.2406520843506,297.0
179.24090027809143,298.0
181.35679054260254,299.0
181.4076690673828,300.0
184.81259965896606,301.0
184.81313371658325,302.0
185.53238677978516,303.0
185.53258538246155,304.0
186.42542910575867,305.0
186.42627549171448,306.0
187.2330572605133,307.0
187.2562289237976,308.0
188.6956627368927,309.0
188.71810936927795,310.0
189.24209785461426,311.0
189.2422218322754,312.0
189.37745094299316,313.0
189.40021443367004,314.0
189.42077112197876,315.0
189.73185682296753,316.0
190.59734559059143,317.0
190.59744572639465,318.0
191.84133458137512,319.0
191.86426854133606,320.0
191.94254398345947,321.0
191.98049974441528,322.0
192.7348599433899,323.0
192.73502111434937,324.0
193.04276037216187,325.0
193.2610800266266,326.0
193.7067573070526,327.0
193.70690774917603,328.0
195.55228447914124,329.0
195.64951944351196,330.0
195.6497941017151,331.0
195.65032601356506,332.0
195.7706115245819,333.0
195.77074098587036,334.0
196.40822505950928,335.0
196.42451763153076,336.0
198.1934323310852,337.0
198.19355297088623,338.0
200.9545578956604,339.0
200.99665021896362,340.0
201.11867713928223,341.0
201.1395080089569,342.0
201.17955565452576,343.0
201.17987656593323,344.0
202.65215635299683,345.0
202.6526439189911,346.0
203.59198713302612,347.0
203.7907202243805,348.0
204.48897457122803,349.0
204.51110911369324,350.0
207.43997240066528,351.0
207.44017601013184,352.0
211.11097121238708,353.0
211.1111831665039,354.0
216.91103601455688,355.0
216.91136717796326,356.0
218.80888962745667,357.0
218.80918669700623,358.0
219.67003417015076,359.0
219.74489068984985,360.0
219.74519896507263,361.0
220.13216829299927,362.0
220.70719289779663,363.0
220.70756220817566,364.0
220.8896563053131,365.0
220.9569797515869,366.0
221.01303243637085,367.0
221.34742760658264,368.0
221.3476119041443,369.0
221.66264700889587,370.0
221.66279006004333,371.0
222.15405774116516,372.0
222.55335068702698,373.0
222.8272829055786,374.0
222.90461373329163,375.0
223.94656682014465,376.0
224.19514966011047,377.0
225.24196815490723,378.0
225.64075684547424,379.0
226.79031896591187,380.0
226.87896180152893,381.0
226.90139317512512,382.0
227.44799089431763,383.0
228.08295893669128,384.0
228.13426065444946,385.0
228.13436603546143,386.0
230.4931924343109,387.0
231.63049244880676,388.0
231.84027457237244,389.0
234.0889916419983,390.0
234.24871349334717,391.0
239.23745465278625,392.0
239.23767614364624,393.0
241.58905959129333,394.0
