Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2048.00000,2048.78465,2048.78465,2048.78465
29.00000,28.99144,28.99144,28.99144
2077.00000,2077.66936,2077.66936,2077.66936
0.01213,0.01212,0.01212,0.01212
0.20254,0.20250,0.20250,0.20250
0.01213,0.01241,0.01302,0.01313
0.54207,0.54172,0.54172,0.54172
0.01869,0.01870,0.01870,0.01870
53.49819,53.46359,53.46359,53.46359
0.09677,0.09681,0.09681,0.09681
0.03429,0.03429,0.03429,0.03429
