Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2048.00000,2048.78465,2048.78465,2048.78465
85.00000,85.02973,85.02973,85.02973
2133.00000,2132.39716,2132.39716,2132.39716
0.01766,0.01692,0.02071,0.02071
0.74355,0.67233,1.13088,1.13088
0.01766,0.01364,0.04163,0.04438
2.22678,2.21002,2.34199,2.34199
0.02620,0.02602,0.02757,0.02757
38.26121,37.67515,40.32617,40.32617
0.13291,0.12506,0.20009,0.20009
0.07650,0.06386,0.11475,0.11475
