SECONDS,prefix_cache_block_movements_cpu_to_gpu
1746691983.4023032,0.0
1746691983.440595,0.0
1746691983.478462,0.0
1746691983.516633,0.0
1746691983.55541,0.0
1746691983.5943742,0.0
1746691983.6337383,0.0
1746691983.673464,0.0
1746691983.7135081,0.0
1746691983.7538698,0.0
1746691983.7945063,0.0
1746691983.8353953,0.0
1746691983.8767872,0.0
1746691983.9183056,0.0
1746691983.937093,0.0
1746691983.9526365,0.0
1746691983.967793,0.0
1746691983.983035,0.0
1746691983.9983199,0.0
1746691984.0138552,0.0
1746691984.0291786,0.0
1746691984.044513,0.0
1746691984.059821,0.0
1746691984.0751653,0.0
1746691984.090408,0.0
1746691984.1058476,0.0
1746691984.1211703,0.0
1746691984.1365538,0.0
1746691984.1518798,0.0
1746691984.1671708,0.0
1746691984.182501,0.0
1746691984.1977682,0.0
1746691984.21304,0.0
1746691984.2284472,0.0
1746691984.2437663,0.0
1746691984.2593374,0.0
1746691984.274677,0.0
1746691984.2900882,0.0
1746691984.3053966,0.0
1746691984.3208308,0.0
1746691984.3361797,0.0
1746691984.3515828,0.0
1746691984.3668873,0.0
1746691984.3822277,0.0
1746691984.3984966,0.0
1746691984.4139216,0.0
1746691984.4293098,0.0
1746691984.4447217,0.0
1746691984.4601872,0.0
1746691984.4755821,0.0
1746691984.4909465,0.0
1746691984.5064154,0.0
1746691984.521862,0.0
1746691984.5372581,0.0
1746691984.5530133,0.0
1746691984.5684404,0.0
1746691984.583792,0.0
1746691984.599161,0.0
1746691984.614498,0.0
1746691984.6298997,0.0
1746691984.6453073,0.0
1746691984.660763,0.0
1746691984.676218,0.0
1746691984.691508,0.0
1746691984.7068353,0.0
1746691984.7221706,0.0
1746691984.7374706,0.0
1746691984.7530367,0.0
1746691984.7684596,0.0
1746691984.783851,0.0
1746691984.7991827,0.0
1746691984.8144279,0.0
1746691984.8297217,0.0
1746691984.8449311,0.0
1746691984.8602352,0.0
1746691984.8755164,0.0
1746691984.890721,0.0
1746691984.9060059,0.0
1746691984.9508543,0.0
1746691985.0028183,0.0
1746691985.0425038,0.0
1746691985.0826507,0.0
1746691985.1230106,0.0
1746691985.1638713,0.0
1746691985.205099,0.0
1746691985.2465186,0.0
1746691985.28823,0.0
1746691985.3302968,0.0
1746691985.3726804,0.0
1746691985.4155152,0.0
1746691985.4585063,0.0
1746691985.4776428,0.0
1746691985.4940648,0.0
1746691985.5102687,0.0
1746691985.5265856,0.0
1746691985.5427787,0.0
1746691985.5591805,0.0
1746691985.5754428,0.0
1746691985.591692,0.0
1746691985.6081424,0.0
1746691985.6245635,0.0
1746691985.6408749,0.0
1746691985.657158,0.0
1746691985.6733775,0.0
1746691985.6896887,0.0
1746691985.705965,0.0
1746691985.7221222,0.0
1746691985.7383761,0.0
1746691985.7546706,0.0
1746691985.7709873,0.0
1746691985.7881048,0.0
1746691985.8037753,0.0
1746691985.8193555,0.0
1746691985.8349183,0.0
1746691985.8505595,0.0
1746691985.866226,0.0
1746691985.8819761,0.0
1746691985.8975747,0.0
1746691985.9132004,0.0
1746691985.928808,0.0
1746691985.9446354,0.0
1746691985.9601998,0.0
1746691985.975695,0.0
1746691985.9913397,0.0
1746691986.0069172,0.0
1746691986.0225308,0.0
1746691986.038208,0.0
1746691986.053833,0.0
1746691986.0693986,0.0
1746691986.0849454,0.0
1746691986.1006181,0.0
1746691986.1163888,0.0
1746691986.1322064,0.0
1746691986.1478736,0.0
1746691986.1635344,0.0
1746691986.1792054,0.0
1746691986.1948647,0.0
1746691986.21052,0.0
1746691986.226283,0.0
1746691986.2419603,0.0
1746691986.2575967,0.0
1746691986.2732577,0.0
1746691986.2889562,0.0
1746691986.3046896,0.0
1746691986.320365,0.0
1746691986.3360713,0.0
1746691986.3517654,0.0
1746691986.367563,0.0
1746691986.3833177,0.0
1746691986.3989427,0.0
1746691986.4145677,0.0
1746691986.4302018,0.0
1746691986.445818,0.0
1746691986.4614282,0.0
1746691986.4771209,0.0
1746691986.4927495,0.0
1746691986.5084774,0.0
1746691986.524205,0.0
1746691986.539933,0.0
1746691986.5555983,0.0
1746691986.5711997,0.0
1746691986.5869522,0.0
1746691986.6025858,0.0
1746691986.6189475,0.0
1746691986.6349533,0.0
1746691986.6506455,0.0
1746691986.66626,0.0
