Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
4086.00000,4084.69472,4084.69472,4084.69472
35.00000,34.98784,34.98784,34.98784
4121.00000,4117.50334,4117.50334,4117.50334
0.01223,0.01224,0.01224,0.01224
0.36667,0.36678,0.36678,0.36678
0.01223,0.01261,0.01274,0.01284
0.78264,0.78270,0.78270,0.78270
0.02236,0.02235,0.02235,0.02235
44.72045,44.74594,44.74594,44.74594
0.15000,0.15002,0.15002,0.15002
0.08914,0.08919,0.08919,0.08919
