Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1024.00000,1023.51884,1023.51884,1023.51884
53.00000,53.03759,53.03759,53.03759
1077.00000,1075.99579,1075.99579,1075.99579
0.01591,0.01556,0.01830,0.01830
0.37796,0.35665,0.57064,0.57064
0.01591,0.01300,0.03992,0.04255
1.20508,1.19602,1.26744,1.26744
0.02274,0.02257,0.02392,0.02392
44.06161,44.03570,46.10866,46.10866
0.10043,0.10342,0.16122,0.16122
0.06225,0.05135,0.09433,0.09433
