Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
4086.00000,4084.69472,4084.69472,4084.69472
469.00000,469.18707,469.18707,469.18707
4555.00000,4550.54510,4550.54510,4550.54510
0.02951,0.02981,0.03491,0.03590
5.77838,5.54557,10.08451,11.32486
0.02951,0.02416,0.05084,0.05574
19.59138,19.70752,21.09425,21.47739
0.04177,0.04196,0.04500,0.04573
24.03939,23.68876,26.02352,26.81605
0.19528,0.19929,0.31068,0.32465
0.11477,0.10487,0.19186,0.21632
