,cdf,Number of Total Tokens
0,0.0,4217.518843472043
1,0.01,4217.518843472043
2,0.02,4217.518843472043
3,0.03,4217.518843472043
4,0.04,4217.518843472043
5,0.05,4217.518843472043
6,0.06,4217.518843472043
7,0.07,4217.518843472043
8,0.08,4217.518843472043
9,0.09,4217.518843472043
10,0.1,4217.518843472043
11,0.11,4217.518843472043
12,0.12,4217.518843472043
13,0.13,4217.518843472043
14,0.14,4217.518843472043
15,0.15,4217.518843472043
16,0.16,4217.518843472043
17,0.17,4217.518843472043
18,0.18,4217.518843472043
19,0.19,4217.518843472043
20,0.2,4217.518843472043
21,0.21,4217.518843472043
22,0.22,4217.518843472043
23,0.23,4217.518843472043
24,0.24,4217.518843472043
25,0.25,4217.518843472043
26,0.26,4217.518843472043
27,0.27,4217.518843472043
28,0.28,4217.518843472043
29,0.29,4217.518843472043
30,0.3,4217.518843472043
31,0.31,4217.518843472043
32,0.32,4217.518843472043
33,0.33,4217.518843472043
34,0.34,4217.518843472043
35,0.35000000000000003,4217.518843472043
36,0.36,4217.518843472043
37,0.37,4217.518843472043
38,0.38,4217.518843472043
39,0.39,4217.518843472043
40,0.4,4217.518843472043
41,0.41000000000000003,4217.518843472043
42,0.42,4217.518843472043
43,0.43,4217.518843472043
44,0.44,4217.518843472043
45,0.45,4217.518843472043
46,0.46,4217.518843472043
47,0.47000000000000003,4217.518843472043
48,0.48,4217.518843472043
49,0.49,4217.518843472043
50,0.5,4217.518843472043
51,0.51,4217.518843472043
52,0.52,4217.518843472043
53,0.53,4217.518843472043
54,0.54,4217.518843472043
55,0.55,4217.518843472043
56,0.56,4217.518843472043
57,0.5700000000000001,4217.518843472043
58,0.58,4217.518843472043
59,0.59,4217.518843472043
60,0.6,4217.518843472043
61,0.61,4217.518843472043
62,0.62,4217.518843472043
63,0.63,4217.518843472043
64,0.64,4217.518843472043
65,0.65,4217.518843472043
66,0.66,4217.518843472043
67,0.67,4217.518843472043
68,0.68,4217.518843472043
69,0.6900000000000001,4217.518843472043
70,0.7000000000000001,4217.518843472043
71,0.71,4217.518843472043
72,0.72,4217.518843472043
73,0.73,4217.518843472043
74,0.74,4217.518843472043
75,0.75,4217.518843472043
76,0.76,4217.518843472043
77,0.77,4217.518843472043
78,0.78,4217.518843472043
79,0.79,4217.518843472043
80,0.8,4217.518843472043
81,0.81,4217.518843472043
82,0.8200000000000001,4217.518843472043
83,0.8300000000000001,4217.518843472043
84,0.84,4217.518843472043
85,0.85,4217.518843472043
86,0.86,4217.518843472043
87,0.87,4217.518843472043
88,0.88,4217.518843472043
89,0.89,4217.518843472043
90,0.9,4217.518843472043
91,0.91,4217.518843472043
92,0.92,4217.518843472043
93,0.93,4217.518843472043
94,0.9400000000000001,4217.518843472043
95,0.9500000000000001,4217.518843472043
96,0.96,4217.518843472043
97,0.97,4217.518843472043
98,0.98,4217.518843472043
99,0.99,4217.518843472043
100,1.0,4217.518843472043
