,cdf,"Deadline Miss Rate with 0.05s TBT Deadline, 0.1s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.04349968662219686
1,0.01,0.04349968662219686
2,0.02,0.04349968662219686
3,0.03,0.04349968662219686
4,0.04,0.04349968662219686
5,0.05,0.04349968662219686
6,0.06,0.04349968662219686
7,0.07,0.04349968662219686
8,0.08,0.04349968662219686
9,0.09,0.04349968662219686
10,0.1,0.04349968662219686
11,0.11,0.04349968662219686
12,0.12,0.04349968662219686
13,0.13,0.04349968662219686
14,0.14,0.04349968662219686
15,0.15,0.08332544382798268
16,0.16,0.08332544382798268
17,0.17,0.08332544382798268
18,0.18,0.08332544382798268
19,0.19,0.08332544382798268
20,0.2,0.08332544382798268
21,0.21,0.08332544382798268
22,0.22,0.08332544382798268
23,0.23,0.08332544382798268
24,0.24,0.08332544382798268
25,0.25,0.08332544382798268
26,0.26,0.08332544382798268
27,0.27,0.08332544382798268
28,0.28,0.08332544382798268
29,0.29,0.1258076417914567
30,0.3,0.1258076417914567
31,0.31,0.1258076417914567
32,0.32,0.1258076417914567
33,0.33,0.1258076417914567
34,0.34,0.1258076417914567
35,0.35000000000000003,0.1258076417914567
36,0.36,0.1258076417914567
37,0.37,0.1258076417914567
38,0.38,0.1258076417914567
39,0.39,0.1258076417914567
40,0.4,0.1258076417914567
41,0.41000000000000003,0.1258076417914567
42,0.42,0.1258076417914567
43,0.43,0.1644742753811279
44,0.44,0.1644742753811279
45,0.45,0.1644742753811279
46,0.46,0.1644742753811279
47,0.47000000000000003,0.1644742753811279
48,0.48,0.1644742753811279
49,0.49,0.1644742753811279
50,0.5,0.1644742753811279
51,0.51,0.1644742753811279
52,0.52,0.1644742753811279
53,0.53,0.1644742753811279
54,0.54,0.1644742753811279
55,0.55,0.1644742753811279
56,0.56,0.1644742753811279
57,0.5700000000000001,0.1644742753811279
58,0.58,0.19495216757394843
59,0.59,0.19495216757394843
60,0.6,0.19495216757394843
61,0.61,0.19495216757394843
62,0.62,0.19495216757394843
63,0.63,0.19495216757394843
64,0.64,0.19495216757394843
65,0.65,0.19495216757394843
66,0.66,0.19495216757394843
67,0.67,0.19495216757394843
68,0.68,0.19495216757394843
69,0.6900000000000001,0.19495216757394843
70,0.7000000000000001,0.19495216757394843
71,0.71,0.19495216757394843
72,0.72,0.227865213658596
73,0.73,0.227865213658596
74,0.74,0.227865213658596
75,0.75,0.227865213658596
76,0.76,0.227865213658596
77,0.77,0.227865213658596
78,0.78,0.227865213658596
79,0.79,0.227865213658596
80,0.8,0.227865213658596
81,0.81,0.227865213658596
82,0.8200000000000001,0.227865213658596
83,0.8300000000000001,0.227865213658596
84,0.84,0.227865213658596
85,0.85,0.227865213658596
86,0.86,0.2543609503540895
87,0.87,0.2543609503540895
88,0.88,0.2543609503540895
89,0.89,0.2543609503540895
90,0.9,0.2543609503540895
91,0.91,0.2543609503540895
92,0.92,0.2543609503540895
93,0.93,0.2543609503540895
94,0.9400000000000001,0.2543609503540895
95,0.9500000000000001,0.2543609503540895
96,0.96,0.2543609503540895
97,0.97,0.2543609503540895
98,0.98,0.2543609503540895
99,0.99,0.2543609503540895
100,1.0,0.28280407912508504
