,cdf,Output Throughput
0,0.0,29.22430204643042
1,0.01,29.22430204643042
2,0.02,29.22430204643042
3,0.03,29.22430204643042
4,0.04,29.22430204643042
5,0.05,29.22430204643042
6,0.06,29.22430204643042
7,0.07,29.22430204643042
8,0.08,29.22430204643042
9,0.09,29.22430204643042
10,0.1,29.22430204643042
11,0.11,29.22430204643042
12,0.12,29.22430204643042
13,0.13,29.22430204643042
14,0.14,29.22430204643042
15,0.15,29.874361341528978
16,0.16,29.874361341528978
17,0.17,29.874361341528978
18,0.18,29.874361341528978
19,0.19,29.874361341528978
20,0.2,29.874361341528978
21,0.21,29.874361341528978
22,0.22,29.874361341528978
23,0.23,29.874361341528978
24,0.24,29.874361341528978
25,0.25,29.874361341528978
26,0.26,29.874361341528978
27,0.27,29.874361341528978
28,0.28,29.874361341528978
29,0.29,30.538880420353877
30,0.3,30.538880420353877
31,0.31,30.538880420353877
32,0.32,30.538880420353877
33,0.33,30.538880420353877
34,0.34,30.538880420353877
35,0.35000000000000003,30.538880420353877
36,0.36,30.538880420353877
37,0.37,30.538880420353877
38,0.38,30.538880420353877
39,0.39,30.538880420353877
40,0.4,30.538880420353877
41,0.41000000000000003,30.538880420353877
42,0.42,30.538880420353877
43,0.43,31.28067978403353
44,0.44,31.28067978403353
45,0.45,31.28067978403353
46,0.46,31.28067978403353
47,0.47000000000000003,31.28067978403353
48,0.48,31.28067978403353
49,0.49,31.28067978403353
50,0.5,31.28067978403353
51,0.51,31.28067978403353
52,0.52,31.28067978403353
53,0.53,31.28067978403353
54,0.54,31.28067978403353
55,0.55,31.28067978403353
56,0.56,31.28067978403353
57,0.5700000000000001,31.28067978403353
58,0.58,31.976480717732706
59,0.59,31.976480717732706
60,0.6,31.976480717732706
61,0.61,31.976480717732706
62,0.62,31.976480717732706
63,0.63,31.976480717732706
64,0.64,31.976480717732706
65,0.65,31.976480717732706
66,0.66,31.976480717732706
67,0.67,31.976480717732706
68,0.68,31.976480717732706
69,0.6900000000000001,31.976480717732706
70,0.7000000000000001,31.976480717732706
71,0.71,31.976480717732706
72,0.72,32.687758902651446
73,0.73,32.687758902651446
74,0.74,32.687758902651446
75,0.75,32.687758902651446
76,0.76,32.687758902651446
77,0.77,32.687758902651446
78,0.78,32.687758902651446
79,0.79,32.687758902651446
80,0.8,32.687758902651446
81,0.81,32.687758902651446
82,0.8200000000000001,32.687758902651446
83,0.8300000000000001,32.687758902651446
84,0.84,32.687758902651446
85,0.85,32.687758902651446
86,0.86,33.68324970284932
87,0.87,33.68324970284932
88,0.88,33.68324970284932
89,0.89,33.68324970284932
90,0.9,33.68324970284932
91,0.91,33.68324970284932
92,0.92,33.68324970284932
93,0.93,33.68324970284932
94,0.9400000000000001,33.68324970284932
95,0.9500000000000001,33.68324970284932
96,0.96,33.68324970284932
97,0.97,33.68324970284932
98,0.98,33.68324970284932
99,0.99,33.68324970284932
100,1.0,34.50142682173228
