Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2048.00000,2048.78465,2048.78465,2048.78465
149.00000,148.85924,148.85924,148.85924
2197.00000,2197.33835,2197.33835,2197.33835
0.02009,0.01974,0.02416,0.02475
1.36405,1.30865,2.18365,2.43757
0.02009,0.01525,0.04315,0.04582
4.33774,4.34489,4.55853,4.65993
0.02911,0.02916,0.03059,0.03127
34.43487,34.22652,36.63488,36.85535
0.14243,0.14442,0.22113,0.24099
0.08442,0.07585,0.13068,0.14617
