Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
1024.00000,1023.51884,1023.51884,1023.51884
85.00000,85.02973,85.02973,85.02973
1109.00000,1108.76475,1108.76475,1108.76475
0.01803,0.01762,0.02130,0.02208
0.60355,0.50814,0.97726,1.11293
0.01803,0.01400,0.04138,0.04333
2.11795,2.08131,2.29103,2.33264
0.02492,0.02450,0.02692,0.02741
40.32098,40.24560,43.77228,44.38940
0.10725,0.09681,0.17640,0.20009
0.06593,0.04537,0.09759,0.11248
