,cdf,Number of Prompt Tokens
0,0.0,1023.5188379294614
1,0.01,1023.5188379294614
2,0.02,1023.5188379294614
3,0.03,1023.5188379294614
4,0.04,1023.5188379294614
5,0.05,1023.5188379294614
6,0.06,1023.5188379294614
7,0.07,1023.5188379294614
8,0.08,1023.5188379294614
9,0.09,1023.5188379294614
10,0.1,1023.5188379294614
11,0.11,1023.5188379294614
12,0.12,1023.5188379294614
13,0.13,1023.5188379294614
14,0.14,1023.5188379294614
15,0.15,1023.5188379294614
16,0.16,1023.5188379294614
17,0.17,1023.5188379294614
18,0.18,1023.5188379294614
19,0.19,1023.5188379294614
20,0.2,1023.5188379294614
21,0.21,1023.5188379294614
22,0.22,1023.5188379294614
23,0.23,1023.5188379294614
24,0.24,1023.5188379294614
25,0.25,1023.5188379294614
26,0.26,1023.5188379294614
27,0.27,1023.5188379294614
28,0.28,1023.5188379294614
29,0.29,1023.5188379294614
30,0.3,1023.5188379294614
31,0.31,1023.5188379294614
32,0.32,1023.5188379294614
33,0.33,1023.5188379294614
34,0.34,1023.5188379294614
35,0.35000000000000003,1023.5188379294614
36,0.36,1023.5188379294614
37,0.37,1023.5188379294614
38,0.38,1023.5188379294614
39,0.39,1023.5188379294614
40,0.4,1023.5188379294614
41,0.41000000000000003,1023.5188379294614
42,0.42,1023.5188379294614
43,0.43,1023.5188379294614
44,0.44,1023.5188379294614
45,0.45,1023.5188379294614
46,0.46,1023.5188379294614
47,0.47000000000000003,1023.5188379294614
48,0.48,1023.5188379294614
49,0.49,1023.5188379294614
50,0.5,1023.5188379294614
51,0.51,1023.5188379294614
52,0.52,1023.5188379294614
53,0.53,1023.5188379294614
54,0.54,1023.5188379294614
55,0.55,1023.5188379294614
56,0.56,1023.5188379294614
57,0.5700000000000001,1023.5188379294614
58,0.58,1023.5188379294614
59,0.59,1023.5188379294614
60,0.6,1023.5188379294614
61,0.61,1023.5188379294614
62,0.62,1023.5188379294614
63,0.63,1023.5188379294614
64,0.64,1023.5188379294614
65,0.65,1023.5188379294614
66,0.66,1023.5188379294614
67,0.67,1023.5188379294614
68,0.68,1023.5188379294614
69,0.6900000000000001,1023.5188379294614
70,0.7000000000000001,1023.5188379294614
71,0.71,1023.5188379294614
72,0.72,1023.5188379294614
73,0.73,1023.5188379294614
74,0.74,1023.5188379294614
75,0.75,1023.5188379294614
76,0.76,1023.5188379294614
77,0.77,1023.5188379294614
78,0.78,1023.5188379294614
79,0.79,1023.5188379294614
80,0.8,1023.5188379294614
81,0.81,1023.5188379294614
82,0.8200000000000001,1023.5188379294614
83,0.8300000000000001,1023.5188379294614
84,0.84,1023.5188379294614
85,0.85,1023.5188379294614
86,0.86,1023.5188379294614
87,0.87,1023.5188379294614
88,0.88,1023.5188379294614
89,0.89,1023.5188379294614
90,0.9,1023.5188379294614
91,0.91,1023.5188379294614
92,0.92,1023.5188379294614
93,0.93,1023.5188379294614
94,0.9400000000000001,1023.5188379294614
95,0.9500000000000001,1023.5188379294614
96,0.96,1023.5188379294614
97,0.97,1023.5188379294614
98,0.98,1023.5188379294614
99,0.99,1023.5188379294614
100,1.0,1023.5188379294614
