,cdf,Time per Output Token
0,0.0,0.013446963825009393
1,0.01,0.013446963825009393
2,0.02,0.013446963825009393
3,0.03,0.013446963825009393
4,0.04,0.013446963825009393
5,0.05,0.013446963825009393
6,0.06,0.013446963825009393
7,0.07,0.013801169725858414
8,0.08,0.013801169725858414
9,0.09,0.013801169725858414
10,0.1,0.013801169725858414
11,0.11,0.013801169725858414
12,0.12,0.013801169725858414
13,0.13,0.013801169725858414
14,0.14,0.014508771070787758
15,0.15,0.014508771070787758
16,0.16,0.014508771070787758
17,0.17,0.014508771070787758
18,0.18,0.014508771070787758
19,0.19,0.014508771070787758
20,0.2,0.01519176315559465
21,0.21,0.01519176315559465
22,0.22,0.01519176315559465
23,0.23,0.01519176315559465
24,0.24,0.01519176315559465
25,0.25,0.01519176315559465
26,0.26,0.01519176315559465
27,0.27,0.01590690670144762
28,0.28,0.01590690670144762
29,0.29,0.01590690670144762
30,0.3,0.01590690670144762
31,0.31,0.01590690670144762
32,0.32,0.01590690670144762
33,0.33,0.01590690670144762
34,0.34,0.01662243706766539
35,0.35000000000000003,0.01662243706766539
36,0.36,0.01662243706766539
37,0.37,0.01662243706766539
38,0.38,0.01662243706766539
39,0.39,0.01662243706766539
40,0.4,0.017300811824038694
41,0.41000000000000003,0.017300811824038694
42,0.42,0.017300811824038694
43,0.43,0.017300811824038694
44,0.44,0.017300811824038694
45,0.45,0.017300811824038694
46,0.46,0.017300811824038694
47,0.47000000000000003,0.017615046166413306
48,0.48,0.017615046166413306
49,0.49,0.017615046166413306
50,0.5,0.017615046166413306
51,0.51,0.017615046166413306
52,0.52,0.017615046166413306
53,0.53,0.017615046166413306
54,0.54,0.01833393008235185
55,0.55,0.01833393008235185
56,0.56,0.01833393008235185
57,0.5700000000000001,0.01833393008235185
58,0.58,0.01833393008235185
59,0.59,0.01833393008235185
60,0.6,0.01896800205900161
61,0.61,0.01896800205900161
62,0.62,0.01896800205900161
63,0.63,0.01896800205900161
64,0.64,0.01896800205900161
65,0.65,0.01896800205900161
66,0.66,0.01896800205900161
67,0.67,0.01966329046667553
68,0.68,0.01966329046667553
69,0.6900000000000001,0.01966329046667553
70,0.7000000000000001,0.01966329046667553
71,0.71,0.01966329046667553
72,0.72,0.01966329046667553
73,0.73,0.01966329046667553
74,0.74,0.020302691835303904
75,0.75,0.020302691835303904
76,0.76,0.020302691835303904
77,0.77,0.020302691835303904
78,0.78,0.020302691835303904
79,0.79,0.020302691835303904
80,0.8,0.02063014767483993
81,0.81,0.02063014767483993
82,0.8200000000000001,0.02063014767483993
83,0.8300000000000001,0.02063014767483993
84,0.84,0.02063014767483993
85,0.85,0.02063014767483993
86,0.86,0.02063014767483993
87,0.87,0.0213009888385126
88,0.88,0.0213009888385126
89,0.89,0.0213009888385126
90,0.9,0.0213009888385126
91,0.91,0.0213009888385126
92,0.92,0.0213009888385126
93,0.93,0.0213009888385126
94,0.9400000000000001,0.02208179488046369
95,0.9500000000000001,0.02208179488046369
96,0.96,0.02208179488046369
97,0.97,0.02208179488046369
98,0.98,0.02208179488046369
99,0.99,0.02208179488046369
100,1.0,0.022799840005834144
