,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.014108160074140246
2,0.02,0.015010551382498934
3,0.03,0.015591928741227034
4,0.04,0.016131169647695245
5,0.05,0.016722471526689982
6,0.06,0.017266244767447207
7,0.07,0.017827700163434393
8,0.08,0.018187843717583342
9,0.09,0.018518189204716273
10,0.1,0.018854534751150547
11,0.11,0.019196989335858235
12,0.12,0.019506611641635776
13,0.13,0.019781624897208798
14,0.14,0.01998043359922357
15,0.15,0.020221643246189514
16,0.16,0.020384065268137352
17,0.17,0.020547791878089864
18,0.18,0.02071283355461296
19,0.19,0.02087920086043729
20,0.2,0.020962884948370824
21,0.21,0.021089040387965444
22,0.22,0.021215955035797776
23,0.23,0.0213009888385126
24,0.24,0.021386363457730474
25,0.25,0.021472080259448016
26,0.26,0.021558140615136834
27,0.27,0.02160130005580778
28,0.28,0.021687878325993115
29,0.29,0.021731297501820922
30,0.3,0.021818396803331926
31,0.31,0.021862077277412673
32,0.32,0.02190584519988998
33,0.33,0.021949700745835708
34,0.34,0.022037675410173048
35,0.35000000000000003,0.022037675410173048
36,0.36,0.02208179488046369
37,0.37,0.022126002678022175
38,0.38,0.02217029897967988
39,0.39,0.022214683962622186
40,0.4,0.022259157804389196
41,0.41000000000000003,0.022259157804389196
42,0.42,0.022303720682876463
43,0.43,0.022348372776335664
44,0.44,0.022393114263375376
45,0.45,0.022393114263375376
46,0.46,0.022437945322961717
47,0.47000000000000003,0.022482866134419098
48,0.48,0.02252787687743095
49,0.49,0.02252787687743095
50,0.5,0.022572977732040426
51,0.51,0.022618168878651118
52,0.52,0.022663450498027784
53,0.53,0.022663450498027784
54,0.54,0.022708822771297113
55,0.55,0.022754285879948363
56,0.56,0.022799840005834144
57,0.5700000000000001,0.022799840005834144
58,0.58,0.02284548533117115
59,0.59,0.022891222038540864
60,0.6,0.0229370503108903
61,0.61,0.02298297033153271
62,0.62,0.023028982284148392
63,0.63,0.02307508635278533
64,0.64,0.023121282721859978
65,0.65,0.023167571576157994
66,0.66,0.023213953100834992
67,0.67,0.023306994903802454
68,0.68,0.023353655554260517
69,0.6900000000000001,0.02344725728633999
70,0.7000000000000001,0.023494198742368702
71,0.71,0.023588363773234883
72,0.72,0.02368290621867625
73,0.73,0.02377782759137498
74,0.74,0.023968813199611645
75,0.75,0.024113058429846207
76,0.76,0.024258171733367175
77,0.77,0.024501970494117235
78,0.78,0.02479776545890145
79,0.79,0.04263833483208122
80,0.8,0.045821515488995365
81,0.81,0.0469345350419296
82,0.8200000000000001,0.04778700618048432
83,0.8300000000000001,0.04855774802864329
84,0.84,0.049439701556267444
85,0.85,0.050237099217171066
86,0.86,0.050945365135418495
87,0.87,0.05166361651498372
88,0.88,0.05239199413553034
89,0.89,0.05313064076149899
90,0.9,0.05387970117008953
91,0.91,0.05442120135069811
92,0.92,0.055188456680870634
93,0.93,0.05585470789541409
94,0.9400000000000001,0.05664217346552936
95,0.9500000000000001,0.05744074109037704
96,0.96,0.05825056729187244
97,0.97,0.0590718107986494
98,0.98,0.06002456177152037
99,0.99,0.06148257795005675
100,1.0,0.06594056939465015
