Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8192.00000,8192.73040,8192.73040,8192.73040
533.00000,533.25599,533.25599,533.25599
8725.00000,8716.75683,8716.75683,8716.75683
0.02825,0.02813,0.03347,0.03429
6.40909,5.78345,10.81572,11.64644
0.02825,0.02257,0.05388,0.06148
21.43884,21.26368,22.89688,23.08079
0.04022,0.03992,0.04298,0.04333
24.94447,24.50802,26.60238,27.08556
0.25677,0.26955,0.30697,0.30820
0.11282,0.09662,0.18177,0.19573
