,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0
2,0.02,0.009628748234369088
3,0.03,0.010514479010355916
4,0.04,0.011075697326653724
5,0.05,0.011254333824511598
6,0.06,0.011413002641077271
7,0.07,0.011527705262977854
8,0.08,0.011666871097543038
9,0.09,0.011737082771920364
10,0.1,0.011807716982826767
11,0.11,0.011855042454375702
12,0.12,0.01190255760698327
13,0.13,0.01199815999939721
14,0.14,0.012046248768844926
15,0.15,0.012070365382996768
16,0.16,0.012118743552489568
17,0.17,0.012167315622267012
18,0.18,0.012265044574409346
19,0.19,0.012289599218201957
20,0.2,0.012338856079540583
21,0.21,0.01236355849411424
22,0.22,0.012437962859764295
23,0.23,0.012487814364361043
24,0.24,0.012512814993719123
25,0.25,0.01253786567438723
26,0.26,0.012588117590665422
27,0.27,0.012613319027283364
28,0.28,0.012663873361506612
29,0.29,0.01268922646132945
30,0.3,0.01268922646132945
31,0.31,0.01274008503346046
32,0.32,0.012765590709203124
33,0.33,0.0128167553501572
34,0.34,0.012842414520027386
35,0.35000000000000003,0.012868125059607022
36,0.36,0.012893887071738367
37,0.37,0.012945565926055102
38,0.38,0.012971482974956107
39,0.39,0.013023472834585331
40,0.4,0.013049545853273191
41,0.41000000000000003,0.013075671070196661
42,0.42,0.013101848589856717
43,0.43,0.013128078516963538
44,0.44,0.013180696013406776
45,0.45,0.013207083793213397
46,0.46,0.01323352440140802
47,0.47000000000000003,0.013260017943753182
48,0.48,0.01328656452622316
49,0.49,0.013313164255004388
50,0.5,0.013313164255004388
51,0.51,0.013339817236495882
52,0.52,0.013366523577309688
53,0.53,0.013393283384271272
54,0.54,0.013420096764419964
55,0.55,0.013446963825009393
56,0.56,0.013473884673507913
57,0.5700000000000001,0.013500859417599022
58,0.58,0.013527888165181794
59,0.59,0.013554971024371348
60,0.6,0.01358210810349922
61,0.61,0.01358210810349922
62,0.62,0.01363654535598093
63,0.63,0.013663845747083996
64,0.64,0.013691200793624706
65,0.65,0.013718610605023348
66,0.66,0.013773594961171384
67,0.67,0.013801169725858414
68,0.68,0.01385648497995479
69,0.6900000000000001,0.013912021938254242
70,0.7000000000000001,0.013939873834026525
71,0.71,0.01399574501585511
72,0.72,0.01399574501585511
73,0.73,0.014023764525396363
74,0.74,0.014079971942123988
75,0.75,0.014136404638853238
76,0.76,0.014193063518509087
77,0.77,0.014249949487635409
78,0.78,0.014364406338656776
79,0.79,0.01442197905186511
80,0.8,0.014508771070787758
81,0.81,0.014596085407384123
82,0.8200000000000001,0.014683925204981843
83,0.8300000000000001,0.014742778553645742
84,0.84,0.014920757694717035
85,0.85,0.015040602536417851
86,0.86,0.015344442964759656
87,0.87,0.01574863028273627
88,0.88,0.01626073662495146
89,0.89,0.03904651774248419
90,0.9,0.03975571896087905
91,0.91,0.040075040401723556
92,0.92,0.0403969266605426
93,0.93,0.04072139833818039
94,0.9400000000000001,0.04113065533248235
95,0.9500000000000001,0.04137818118195694
96,0.96,0.04171053438244991
97,0.97,0.041877710705449364
98,0.98,0.042383270695668794
99,0.99,0.04298080969782792
100,1.0,0.046653770872889355
