Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
512.00000,512.34672,512.34672,512.34672
37.00000,37.00306,37.00306,37.00306
549.00000,549.49606,549.49606,549.49606
0.01449,0.01388,0.01659,0.01659
0.21218,0.19889,0.31759,0.31759
0.01449,0.01269,0.01411,0.04518
0.73371,0.72979,0.75957,0.75957
0.01983,0.01970,0.02055,0.02055
50.47468,50.04891,52.40494,52.40494
0.06914,0.05260,0.12185,0.12185
0.03934,0.03374,0.05442,0.05442
