Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8192.00000,8192.73040,8192.73040,8192.73040
2.00000,1.99971,1.99971,1.99971
8194.00000,8192.73040,8192.73040,8192.73040
0.00000,0.00000,0.00000,0.00000
0.72612,0.72397,0.73125,0.73125
0.00000,0.00000,0.00000,0.00000
0.72612,0.72397,0.73125,0.73125
0.36306,0.36168,0.36531,0.36531
2.75449,2.75936,2.77042,2.77042
0.92857,0.92774,0.92774,0.92774
10000000000.00000,9991566009.24997,9991566009.24997,9991566009.24997
