SECONDS,request_arrived
-63.94168424606323,1.0
-63.2038893699646,2.0
-62.19275450706482,3.0
-58.198570728302,4.0
-58.187068700790405,5.0
-55.189138889312744,6.0
-55.17725896835327,7.0
-52.13854718208313,8.0
-52.12669587135315,9.0
-49.134037733078,10.0
-49.122275829315186,11.0
-41.02259016036987,12.0
-40.07744884490967,13.0
-40.06498622894287,14.0
-39.07401466369629,15.0
-37.03454923629761,16.0
-36.06693124771118,17.0
-34.08572602272034,18.0
-34.063599824905396,19.0
-34.046523094177246,20.0
-30.997395515441895,21.0
-28.071438312530518,22.0
-28.051496028900146,23.0
-25.057154417037964,24.0
-25.050123929977417,25.0
-22.024069786071777,26.0
-22.012145519256592,27.0
-21.02316188812256,28.0
-18.979001760482788,29.0
-18.96718120574951,30.0
-17.97455072402954,31.0
-17.962721824645996,32.0
-15.918088674545288,33.0
-15.906151056289673,34.0
-15.894352912902832,35.0
-15.882514953613281,36.0
-12.903110980987549,37.0
-12.891252756118774,38.0
-11.896458864212036,39.0
-9.879456996917725,40.0
-9.862597942352295,41.0
-6.8794591426849365,42.0
-3.870544910430908,43.0
-1.8703153133392334,44.0
-1.8583416938781738,45.0
-1.8464858531951904,46.0
-0.8605489730834961,47.0
-0.8485720157623291,48.0
2.15242600440979,49.0
2.1642439365386963,50.0
2.176112174987793,51.0
2.1878769397735596,52.0
2.199629068374634,53.0
3.182194471359253,54.0
4.186364412307739,55.0
5.200251817703247,56.0
7.176911354064941,57.0
7.188732385635376,58.0
7.200605630874634,59.0
7.21245551109314,60.0
7.224314451217651,61.0
9.204465627670288,62.0
14.221099615097046,63.0
14.23292350769043,64.0
17.227943420410156,65.0
17.239864826202393,66.0
17.30736231803894,67.0
18.251226902008057,68.0
19.282479524612427,69.0
19.310580015182495,70.0
19.322510957717896,71.0
19.33457374572754,72.0
21.2991464138031,73.0
21.311054944992065,74.0
23.315176963806152,75.0
24.337258338928223,76.0
25.31131339073181,77.0
26.344714403152466,78.0
26.35659646987915,79.0
28.354068517684937,80.0
28.36589741706848,81.0
32.36496162414551,82.0
32.376956939697266,83.0
32.3941810131073,84.0
33.3911566734314,85.0
33.40387225151062,86.0
34.41819667816162,87.0
35.41096210479736,88.0
35.42286133766174,89.0
35.4346809387207,90.0
38.490859270095825,91.0
38.50263833999634,92.0
41.53182077407837,93.0
42.49908804893494,94.0
44.51613163948059,95.0
44.52787709236145,96.0
44.53960847854614,97.0
45.53832125663757,98.0
48.54419803619385,99.0
49.54897499084473,100.0
50.56792068481445,101.0
50.57965803146362,102.0
50.596375703811646,103.0
53.57113695144653,104.0
53.58811330795288,105.0
53.59996151924133,106.0
55.57450985908508,107.0
56.578943490982056,108.0
56.58984637260437,109.0
57.589861154556274,110.0
57.60170245170593,111.0
58.61946105957031,112.0
59.595802307128906,113.0
60.60223031044006,114.0
64.61512303352356,115.0
64.62867999076843,116.0
64.64049935340881,117.0
64.65752124786377,118.0
65.6458899974823,119.0
71.75017166137695,120.0
71.76205539703369,121.0
71.77394127845764,122.0
71.78577828407288,123.0
74.79021215438843,124.0
76.76191687583923,125.0
77.78159856796265,126.0
77.79351353645325,127.0
78.86422371864319,128.0
80.821133852005,129.0
80.83301544189453,130.0
80.85725998878479,131.0
82.82913827896118,132.0
82.84064030647278,133.0
82.85208082199097,134.0
82.86357688903809,135.0
82.87506794929504,136.0
83.85579872131348,137.0
84.85737419128418,138.0
85.8909969329834,139.0
86.91060638427734,140.0
86.92253828048706,141.0
87.91556859016418,142.0
87.92742872238159,143.0
88.92586588859558,144.0
89.95321464538574,145.0
90.93351936340332,146.0
92.01898717880249,147.0
92.95078539848328,148.0
92.96254181861877,149.0
92.97525000572205,150.0
92.98692679405212,151.0
93.9838194847107,152.0
93.99595499038696,153.0
95.00026512145996,154.0
95.0121123790741,155.0
96.00438356399536,156.0
97.01491522789001,157.0
99.03671312332153,158.0
100.02941560745239,159.0
100.05912375450134,160.0
101.04275870323181,161.0
102.05096197128296,162.0
102.06294345855713,163.0
102.0817301273346,164.0
105.14962315559387,165.0
105.16727304458618,166.0
105.19899034500122,167.0
105.22702407836914,168.0
105.23904943466187,169.0
106.21645951271057,170.0
107.21117210388184,171.0
108.20210552215576,172.0
109.1842029094696,173.0
110.2709321975708,174.0
110.28179669380188,175.0
110.2926504611969,176.0
110.30355978012085,177.0
113.25941896438599,178.0
113.27112054824829,179.0
113.28278183937073,180.0
114.27254605293274,181.0
117.32884907722473,182.0
117.34581923484802,183.0
118.2855498790741,184.0
118.36684203147888,185.0
120.48937559127808,186.0
120.56403112411499,187.0
122.33603048324585,188.0
123.28093218803406,189.0
124.91494297981262,190.0
125.6840763092041,191.0
125.85201048851013,192.0
126.1405611038208,193.0
127.32293248176575,194.0
128.36404514312744,195.0
128.3761327266693,196.0
128.3881778717041,197.0
128.40019154548645,198.0
128.41221380233765,199.0
131.38921236991882,200.0
134.4037230014801,201.0
134.4156618118286,202.0
134.427663564682,203.0
136.40848088264465,204.0
138.42981505393982,205.0
138.44170999526978,206.0
138.4534730911255,207.0
138.46517372131348,208.0
138.4770646095276,209.0
140.44103598594666,210.0
140.45281720161438,211.0
140.46466207504272,212.0
142.41261506080627,213.0
144.4329674243927,214.0
144.49836897850037,215.0
147.451824426651,216.0
147.46880769729614,217.0
147.48078775405884,218.0
148.47888565063477,219.0
148.49084329605103,220.0
150.46688199043274,221.0
152.48064994812012,222.0
152.49269032478333,223.0
152.504625082016,224.0
153.49040508270264,225.0
156.49533772468567,226.0
156.51569724082947,227.0
156.52740812301636,228.0
156.5390923023224,229.0
156.55075931549072,230.0
156.5623815059662,231.0
159.52412819862366,232.0
159.53593063354492,233.0
161.52862167358398,234.0
162.5556070804596,235.0
162.56735682487488,236.0
164.56477737426758,237.0
164.57682251930237,238.0
165.57022047042847,239.0
167.58308744430542,240.0
168.60406923294067,241.0
168.61601567268372,242.0
168.62774014472961,243.0
168.63957905769348,244.0
168.65135145187378,245.0
168.66319489479065,246.0
168.7122097015381,247.0
170.64867305755615,248.0
170.6596531867981,249.0
170.6705186367035,250.0
170.68137907981873,251.0
172.68151926994324,252.0
172.6930902004242,253.0
173.6829240322113,254.0
175.71799278259277,255.0
176.70953679084778,256.0
177.7123827934265,257.0
178.70420789718628,258.0
179.7250943183899,259.0
179.73601841926575,260.0
180.76863288879395,261.0
180.81535387039185,262.0
180.8540234565735,263.0
180.86578059196472,264.0
180.87751483917236,265.0
181.87354516983032,266.0
181.88539910316467,267.0
182.9182906150818,268.0
183.89173698425293,269.0
183.90348553657532,270.0
183.91521072387695,271.0
184.9310290813446,272.0
186.86619210243225,273.0
186.8780162334442,274.0
187.90773701667786,275.0
188.89823627471924,276.0
188.96019744873047,277.0
188.97157669067383,278.0
188.9876630306244,279.0
189.94948530197144,280.0
192.97958302497864,281.0
192.9913821220398,282.0
193.00316905975342,283.0
193.01489448547363,284.0
193.09141969680786,285.0
193.1813666820526,286.0
194.81350827217102,287.0
195.9942228794098,288.0
196.00606036186218,289.0
196.01784443855286,290.0
196.02988362312317,291.0
199.0183138847351,292.0
199.0300145149231,293.0
199.0409381389618,294.0
200.06474232673645,295.0
201.03562474250793,296.0
204.0810215473175,297.0
205.05872583389282,298.0
205.06974029541016,299.0
205.08063054084778,300.0
205.09150075912476,301.0
207.08119297027588,302.0
207.0930211544037,303.0
208.13182020187378,304.0
208.14366269111633,305.0
208.1555049419403,306.0
208.16741156578064,307.0
210.17845058441162,308.0
211.17083954811096,309.0
211.18262696266174,310.0
212.21611547470093,311.0
213.22178196907043,312.0
213.25375294685364,313.0
213.46783995628357,314.0
214.04826021194458,315.0
214.70612382888794,316.0
214.942932844162,317.0
216.23078298568726,318.0
219.0825171470642,319.0
219.33264756202698,320.0
221.83628273010254,321.0
221.98893451690674,322.0
222.20830535888672,323.0
224.79369068145752,324.0
224.89349269866943,325.0
224.96144342422485,326.0
225.12924695014954,327.0
225.3628499507904,328.0
225.42625045776367,329.0
225.48794388771057,330.0
226.35505032539368,331.0
226.37275624275208,332.0
227.3201220035553,333.0
228.38108468055725,334.0
230.36300778388977,335.0
231.3668086528778,336.0
231.3781123161316,337.0
231.39439463615417,338.0
232.36135077476501,339.0
232.377836227417,340.0
233.380202293396,341.0
235.42421340942383,342.0
236.49109816551208,343.0
238.32633924484253,344.0
238.73654007911682,345.0
238.85522770881653,346.0
240.44668412208557,347.0
241.4476454257965,348.0
242.47852063179016,349.0
245.67806363105774,350.0
246.7997179031372,351.0
246.81095051765442,352.0
247.4991672039032,353.0
247.56416273117065,354.0
247.62676548957825,355.0
247.75211477279663,356.0
247.84587025642395,357.0
250.03505897521973,358.0
258.9249391555786,359.0
259.59432721138,360.0
259.70944809913635,361.0
259.7800192832947,362.0
260.05189633369446,363.0
261.7034158706665,364.0
262.0880904197693,365.0
262.21474719047546,366.0
262.37368845939636,367.0
264.4774136543274,368.0
264.9008455276489,369.0
269.27236557006836,370.0
269.6164529323578,371.0
269.73015809059143,372.0
269.90214920043945,373.0
270.36916279792786,374.0
272.19435453414917,375.0
273.186235666275,376.0
276.399151802063,377.0
276.4993121623993,378.0
276.5626447200775,379.0
277.0106565952301,380.0
277.0224885940552,381.0
277.11329889297485,382.0
278.9871783256531,383.0
280.06117391586304,384.0
280.8286521434784,385.0
281.54794907569885,386.0
281.66044092178345,387.0
284.3589560985565,388.0
284.44820737838745,389.0
286.86839532852173,390.0
286.9308559894562,391.0
287.9756991863251,392.0
288.1567850112915,393.0
295.67002296447754,394.0
295.7503664493561,395.0
296.01241302490234,396.0
298.2588427066803,397.0
298.3837101459503,398.0
298.7214152812958,399.0
299.0525493621826,400.0
300.51568055152893,401.0
302.8233468532562,402.0
303.21792697906494,403.0
303.60947585105896,404.0
305.34697365760803,405.0
305.95854139328003,406.0
306.9223189353943,407.0
309.2777564525604,408.0
309.43504905700684,409.0
310.1104919910431,410.0
310.1641900539398,411.0
310.28626322746277,412.0
313.51981115341187,413.0
316.6555953025818,414.0
319.54758167266846,415.0
319.8438205718994,416.0
320.20796728134155,417.0
320.4128007888794,418.0
320.46748423576355,419.0
320.52660846710205,420.0
320.58256578445435,421.0
320.6993975639343,422.0
326.41815066337585,423.0
326.66076159477234,424.0
326.81410908699036,425.0
330.00498270988464,426.0
331.78141927719116,427.0
332.62797832489014,428.0
333.50478959083557,429.0
335.24446749687195,430.0
336.5178666114807,431.0
338.71539974212646,432.0
339.1427137851715,433.0
341.37127161026,434.0
342.718870639801,435.0
357.0964832305908,436.0
358.95831656455994,437.0
359.02171778678894,438.0
359.04509949684143,439.0
359.137934923172,440.0
360.9939434528351,441.0
361.2643070220947,442.0
361.8103885650635,443.0
362.4611337184906,444.0
362.55993700027466,445.0
362.8520927429199,446.0
364.29491233825684,447.0
365.03065943717957,448.0
367.6606948375702,449.0
367.6740598678589,450.0
367.9394881725311,451.0
368.1632306575775,452.0
369.6058843135834,453.0
370.0445022583008,454.0
371.0153715610504,455.0
371.08388113975525,456.0
371.0955970287323,457.0
371.5875794887543,458.0
371.6530909538269,459.0
371.78754138946533,460.0
372.35778284072876,461.0
373.454039812088,462.0
373.78640055656433,463.0
373.888790845871,464.0
376.2389853000641,465.0
377.2832467556,466.0
377.3924095630646,467.0
377.5035238265991,468.0
377.64980149269104,469.0
381.7212405204773,470.0
383.73648500442505,471.0
385.23615288734436,472.0
385.24801230430603,473.0
385.66340255737305,474.0
385.9005355834961,475.0
389.09354043006897,476.0
389.28641152381897,477.0
391.3182179927826,478.0
392.23353028297424,479.0
392.60357546806335,480.0
395.9110107421875,481.0
397.1766834259033,482.0
397.2298934459686,483.0
397.2781763076782,484.0
397.28986716270447,485.0
397.51232075691223,486.0
398.23423886299133,487.0
398.7050132751465,488.0
399.0627074241638,489.0
400.6032280921936,490.0
403.4145681858063,491.0
403.42649960517883,492.0
404.1424009799957,493.0
406.76654505729675,494.0
407.05344915390015,495.0
407.4027111530304,496.0
407.6317238807678,497.0
407.90265917778015,498.0
408.01521611213684,499.0
408.4796233177185,500.0
409.3807134628296,501.0
410.43957781791687,502.0
412.9402120113373,503.0
413.001665353775,504.0
413.12699031829834,505.0
414.8383491039276,506.0
416.8242356777191,507.0
417.46210646629333,508.0
419.40431666374207,509.0
419.7977159023285,510.0
420.9966359138489,511.0
421.79765820503235,512.0
422.14338302612305,513.0
422.3960266113281,514.0
422.52310585975647,515.0
424.21602296829224,516.0
424.261616230011,517.0
424.36775255203247,518.0
426.8644223213196,519.0
428.5204367637634,520.0
428.6428771018982,521.0
429.78941679000854,522.0
429.8582196235657,523.0
431.91642808914185,524.0
431.9881055355072,525.0
434.2540566921234,526.0
435.3287854194641,527.0
437.0117619037628,528.0
437.07887601852417,529.0
437.4663236141205,530.0
437.62733221054077,531.0
437.8606595993042,532.0
440.74622654914856,533.0
443.41710352897644,534.0
445.0709207057953,535.0
445.79766273498535,536.0
446.0257029533386,537.0
446.88194704055786,538.0
447.0441629886627,539.0
447.3512167930603,540.0
447.51225781440735,541.0
447.68957924842834,542.0
448.4952862262726,543.0
448.96862864494324,544.0
449.14649629592896,545.0
449.5734815597534,546.0
449.6433537006378,547.0
451.07307267189026,548.0
452.7178339958191,549.0
453.0532155036926,550.0
456.7251648902893,551.0
457.0856509208679,552.0
458.84417819976807,553.0
458.90679931640625,554.0
459.11881399154663,555.0
459.282949924469,556.0
460.48682475090027,557.0
461.74152541160583,558.0
462.6088080406189,559.0
465.25117659568787,560.0
465.7594769001007,561.0
465.7765233516693,562.0
467.22788882255554,563.0
467.3065962791443,564.0
468.81794333457947,565.0
469.43455362319946,566.0
470.1720652580261,567.0
471.36701798439026,568.0
471.5535011291504,569.0
479.74023056030273,570.0
479.8026511669159,571.0
480.1251120567322,572.0
482.5513229370117,573.0
490.06891345977783,574.0
492.0732967853546,575.0
492.3723850250244,576.0
493.4275949001312,577.0
493.5021734237671,578.0
495.0447766780853,579.0
498.74360632896423,580.0
499.15220165252686,581.0
500.12206196784973,582.0
511.61015248298645,583.0
511.6462917327881,584.0
523.5243105888367,585.0
525.5331861972809,586.0
525.7190806865692,587.0
525.9363098144531,588.0
