inter_batch_delay,cdf
2.288818359375e-05,7.305135510263716e-05
2.288818359375e-05,0.00014610271020527432
2.288818359375e-05,0.00021915406530791147
2.3126602172851562e-05,0.00029220542041054863
2.3126602172851562e-05,0.0003652567755131858
2.3126602172851562e-05,0.00043830813061582295
2.3126602172851562e-05,0.0005113594857184601
2.3126602172851562e-05,0.0005844108408210973
2.3126602172851562e-05,0.0006574621959237344
2.3126602172851562e-05,0.0007305135510263716
2.3365020751953125e-05,0.0008035649061290087
2.3365020751953125e-05,0.0008766162612316459
2.3365020751953125e-05,0.000949667616334283
2.3603439331054688e-05,0.0010227189714369202
2.3603439331054688e-05,0.0010957703265395574
2.3603439331054688e-05,0.0011688216816421945
2.3603439331054688e-05,0.0012418730367448317
2.384185791015625e-05,0.0013149243918474688
2.384185791015625e-05,0.001387975746950106
2.384185791015625e-05,0.0014610271020527432
2.384185791015625e-05,0.0015340784571553803
2.384185791015625e-05,0.0016071298122580175
2.384185791015625e-05,0.0016801811673606546
2.4080276489257812e-05,0.0017532325224632918
2.4080276489257812e-05,0.001826283877565929
2.4080276489257812e-05,0.001899335232668566
2.4080276489257812e-05,0.0019723865877712033
2.4080276489257812e-05,0.0020454379428738404
2.4080276489257812e-05,0.0021184892979764776
2.4080276489257812e-05,0.0021915406530791147
2.4080276489257812e-05,0.002264592008181752
2.4080276489257812e-05,0.002337643363284389
2.4080276489257812e-05,0.002410694718387026
2.4080276489257812e-05,0.0024837460734896634
2.4318695068359375e-05,0.0025567974285923005
2.4318695068359375e-05,0.0026298487836949377
2.4318695068359375e-05,0.002702900138797575
2.4318695068359375e-05,0.002775951493900212
2.4318695068359375e-05,0.002849002849002849
2.4318695068359375e-05,0.0029220542041054863
2.4318695068359375e-05,0.0029951055592081235
2.4318695068359375e-05,0.0030681569143107606
2.4318695068359375e-05,0.0031412082694133978
2.4318695068359375e-05,0.003214259624516035
2.4318695068359375e-05,0.003287310979618672
2.4318695068359375e-05,0.0033603623347213092
2.4318695068359375e-05,0.0034334136898239464
2.4318695068359375e-05,0.0035064650449265836
2.4557113647460938e-05,0.0035795164000292207
2.4557113647460938e-05,0.003652567755131858
2.4557113647460938e-05,0.003725619110234495
2.4557113647460938e-05,0.003798670465337132
2.4557113647460938e-05,0.0038717218204397694
2.4557113647460938e-05,0.0039447731755424065
2.4557113647460938e-05,0.004017824530645043
2.4557113647460938e-05,0.004090875885747681
2.4557113647460938e-05,0.0041639272408503175
2.4557113647460938e-05,0.004236978595952955
2.4557113647460938e-05,0.004310029951055592
2.4557113647460938e-05,0.0043830813061582295
2.4557113647460938e-05,0.004456132661260866
2.4557113647460938e-05,0.004529184016363504
2.4557113647460938e-05,0.0046022353714661405
2.4557113647460938e-05,0.004675286726568778
2.4557113647460938e-05,0.004748338081671415
2.4557113647460938e-05,0.004821389436774052
2.4557113647460938e-05,0.004894440791876689
2.4557113647460938e-05,0.004967492146979327
2.47955322265625e-05,0.0050405435020819634
2.47955322265625e-05,0.005113594857184601
2.47955322265625e-05,0.005186646212287238
2.47955322265625e-05,0.005259697567389875
2.47955322265625e-05,0.005332748922492512
2.47955322265625e-05,0.00540580027759515
2.47955322265625e-05,0.005478851632697786
