SECONDS,decode_completed
-63.199448347091675,1.0
-63.1840386390686,2.0
-63.13947367668152,3.0
-63.122971057891846,5.0
-63.122971057891846,4.0
-63.10737347602844,7.0
-63.10737347602844,6.0
-63.09122014045715,9.0
-63.09122014045715,8.0
-63.07560729980469,10.0
-63.07560729980469,11.0
-63.05996537208557,12.0
-63.05996537208557,13.0
-63.044394969940186,14.0
-63.044394969940186,15.0
-63.02893924713135,16.0
-63.02893924713135,17.0
-63.0134482383728,18.0
-63.0134482383728,19.0
-62.99791932106018,20.0
-62.99791932106018,21.0
-62.98244762420654,22.0
-62.98244762420654,23.0
-62.96687030792236,24.0
-62.96687030792236,25.0
-62.951342821121216,26.0
-62.951342821121216,27.0
-62.935776472091675,28.0
-62.935776472091675,29.0
-62.92026448249817,30.0
-62.92026448249817,31.0
-62.90471315383911,32.0
-62.90471315383911,33.0
-62.88922595977783,35.0
-62.88922595977783,34.0
-62.87361288070679,37.0
-62.87361288070679,36.0
-62.8580904006958,39.0
-62.8580904006958,38.0
-62.842350006103516,40.0
-62.842350006103516,41.0
-62.826881647109985,42.0
-62.826881647109985,43.0
-62.81159210205078,45.0
-62.81159210205078,44.0
-62.79621720314026,46.0
-62.79621720314026,47.0
-62.78089499473572,48.0
-62.78089499473572,49.0
-62.765576124191284,51.0
-62.765576124191284,50.0
-62.75032043457031,52.0
-62.75032043457031,53.0
-62.73504638671875,55.0
-62.73504638671875,54.0
-62.71974325180054,56.0
-62.71974325180054,57.0
-62.70447492599487,58.0
-62.70447492599487,59.0
-62.68912148475647,60.0
-62.68912148475647,61.0
-62.673858880996704,62.0
-62.673858880996704,63.0
-62.658493995666504,64.0
-62.658493995666504,65.0
-62.643139600753784,66.0
-62.643139600753784,67.0
-62.62781834602356,68.0
-62.62781834602356,69.0
-62.61250376701355,70.0
-62.61250376701355,71.0
-62.596956729888916,72.0
-62.596956729888916,73.0
-62.58063578605652,74.0
-62.58063578605652,75.0
-62.56514000892639,76.0
-62.56514000892639,77.0
-62.549622774124146,78.0
-62.549622774124146,79.0
-62.53418779373169,80.0
-62.53418779373169,81.0
-62.518465757369995,82.0
-62.518465757369995,83.0
-62.503047704696655,84.0
-62.503047704696655,85.0
-62.48769807815552,86.0
-62.48769807815552,87.0
-62.47230529785156,88.0
-62.47230529785156,89.0
-62.45696234703064,90.0
-62.45696234703064,91.0
-62.44159293174744,93.0
-62.44159293174744,92.0
-62.42627573013306,95.0
-62.42627573013306,94.0
-62.41089749336243,97.0
-62.41089749336243,96.0
-62.3955454826355,99.0
-62.3955454826355,98.0
-62.38016390800476,101.0
-62.38016390800476,100.0
-62.36478090286255,103.0
-62.36478090286255,102.0
-62.34923052787781,105.0
-62.34923052787781,104.0
-62.33375310897827,107.0
-62.33375310897827,106.0
-62.31839036941528,109.0
-62.31839036941528,108.0
-62.30280303955078,110.0
-62.30280303955078,111.0
-62.287428855895996,113.0
-62.287428855895996,112.0
-62.271968841552734,114.0
-62.271968841552734,115.0
-62.2564959526062,116.0
-62.2564959526062,117.0
-62.24099802970886,118.0
-62.24099802970886,119.0
-62.225475788116455,120.0
-62.225475788116455,121.0
-62.20996880531311,122.0
-62.20996880531311,123.0
-62.19449234008789,124.0
-62.19449234008789,125.0
-62.17897820472717,126.0
-62.17897820472717,127.0
-62.163336515426636,128.0
-62.163336515426636,129.0
-62.112244844436646,130.0
-62.112244844436646,131.0
-62.072824478149414,133.0
-62.072824478149414,132.0
-62.033220291137695,134.0
-62.033220291137695,135.0
-61.99327611923218,136.0
-61.99327611923218,137.0
-61.95303273200989,138.0
-61.95303273200989,139.0
-61.912463426589966,140.0
-61.912463426589966,141.0
-61.87136936187744,143.0
-61.87136936187744,142.0
-61.830024003982544,145.0
-61.830024003982544,144.0
-61.78836131095886,147.0
-61.78836131095886,146.0
-61.74631881713867,149.0
-61.74631881713867,148.0
-61.703938722610474,151.0
-61.703938722610474,150.0
-61.66124987602234,153.0
-61.66124987602234,152.0
-61.642186641693115,156.0
-61.642186641693115,154.0
-61.642186641693115,155.0
-61.62602114677429,157.0
-61.62602114677429,158.0
-61.62602114677429,159.0
-61.60972595214844,161.0
-61.60972595214844,160.0
-61.60972595214844,162.0
-61.593478202819824,165.0
-61.593478202819824,163.0
-61.593478202819824,164.0
-61.57732701301575,167.0
-61.57732701301575,166.0
-61.57732701301575,168.0
-61.560964822769165,170.0
-61.560964822769165,169.0
-61.560964822769165,171.0
-61.544666051864624,172.0
-61.544666051864624,174.0
-61.544666051864624,173.0
-61.52834153175354,177.0
-61.52834153175354,176.0
-61.52834153175354,175.0
-61.51219606399536,178.0
-61.51219606399536,179.0
-61.51219606399536,180.0
-61.49592137336731,181.0
-61.49592137336731,183.0
-61.49592137336731,182.0
-61.47957253456116,186.0
-61.47957253456116,185.0
-61.47957253456116,184.0
-61.46337008476257,187.0
-61.46337008476257,189.0
-61.46337008476257,188.0
-61.447121381759644,191.0
-61.447121381759644,190.0
-61.447121381759644,192.0
-61.43087553977966,194.0
-61.43087553977966,193.0
-61.43087553977966,195.0
-61.41460609436035,198.0
-61.41460609436035,197.0
-61.41460609436035,196.0
-61.398409843444824,199.0
-61.398409843444824,200.0
-61.398409843444824,201.0
-61.382126569747925,202.0
-61.382126569747925,204.0
-61.382126569747925,203.0
-61.365981578826904,207.0
-61.365981578826904,205.0
-61.365981578826904,206.0
-61.34978723526001,209.0
-61.34978723526001,208.0
-61.34978723526001,210.0
-61.33286452293396,212.0
-61.33286452293396,213.0
-61.33286452293396,211.0
-61.31738901138306,215.0
-61.31738901138306,214.0
-61.30187392234802,217.0
-61.30187392234802,216.0
-61.28641128540039,219.0
-61.28641128540039,218.0
-61.27082109451294,221.0
-61.27082109451294,220.0
-61.25536489486694,223.0
-61.25536489486694,222.0
-61.23984146118164,225.0
-61.23984146118164,224.0
-61.224228858947754,226.0
-61.224228858947754,227.0
-61.20882964134216,229.0
-61.20882964134216,228.0
-61.19337034225464,231.0
-61.19337034225464,230.0
-61.177918434143066,233.0
-61.177918434143066,232.0
-61.16253662109375,234.0
-61.16253662109375,235.0
-61.14709138870239,236.0
-61.14709138870239,237.0
-61.131593227386475,239.0
-61.131593227386475,238.0
-61.116121768951416,240.0
-61.116121768951416,241.0
-61.100565910339355,243.0
-61.100565910339355,242.0
-61.08502554893494,244.0
-61.08502554893494,245.0
-61.06958508491516,247.0
-61.06958508491516,246.0
-61.05412316322327,248.0
-61.05412316322327,249.0
-61.038620948791504,250.0
-61.038620948791504,251.0
-61.02305483818054,252.0
-61.02305483818054,253.0
-61.00758075714111,254.0
-61.00758075714111,255.0
-60.99221181869507,256.0
-60.99221181869507,257.0
-60.97663855552673,258.0
-60.97663855552673,259.0
-60.96093249320984,260.0
-60.96093249320984,261.0
-60.94543766975403,262.0
-60.94543766975403,263.0
-60.92994403839111,265.0
-60.92994403839111,264.0
-60.91449332237244,266.0
-60.91449332237244,267.0
-60.89911222457886,268.0
-60.89911222457886,269.0
-60.883676528930664,270.0
-60.883676528930664,271.0
-60.86832118034363,273.0
-60.86832118034363,272.0
-60.85286355018616,274.0
-60.85286355018616,275.0
-60.83732724189758,276.0
-60.83732724189758,277.0
-60.82188367843628,278.0
-60.82188367843628,279.0
-60.80646824836731,280.0
-60.80646824836731,281.0
-60.7910053730011,282.0
-60.7910053730011,283.0
-60.775461196899414,284.0
-60.775461196899414,285.0
-60.760164976119995,286.0
-60.760164976119995,287.0
-60.744755029678345,289.0
-60.744755029678345,288.0
-60.72915244102478,291.0
-60.72915244102478,290.0
-60.71358799934387,293.0
-60.71358799934387,292.0
-60.69814896583557,294.0
-60.69814896583557,295.0
-60.682687759399414,296.0
-60.682687759399414,297.0
-60.667295694351196,298.0
-60.667295694351196,299.0
-60.651848793029785,300.0
-60.651848793029785,301.0
-60.63631248474121,302.0
-60.63631248474121,303.0
-60.6208176612854,304.0
-60.6208176612854,305.0
-60.60531949996948,306.0
-60.60531949996948,307.0
-60.58978533744812,308.0
-60.58978533744812,309.0
-60.57428312301636,310.0
-60.57428312301636,311.0
-60.55874586105347,313.0
-60.55874586105347,312.0
-60.54315400123596,315.0
-60.54315400123596,314.0
-60.52746105194092,316.0
-60.52746105194092,317.0
-60.511900901794434,318.0
-60.511900901794434,319.0
-60.49630165100098,321.0
-60.49630165100098,320.0
-60.48063945770264,322.0
-60.48063945770264,323.0
-60.46502757072449,324.0
-60.46502757072449,325.0
-60.44959998130798,326.0
-60.44959998130798,327.0
-60.43423128128052,328.0
-60.43423128128052,329.0
-60.41902756690979,330.0
-60.41902756690979,331.0
-60.403581619262695,333.0
-60.403581619262695,332.0
-60.38801026344299,335.0
-60.38801026344299,334.0
-60.37252354621887,337.0
-60.37252354621887,336.0
-60.35696887969971,339.0
-60.35696887969971,338.0
-60.34134316444397,340.0
-60.34134316444397,341.0
-60.325806856155396,342.0
-60.325806856155396,343.0
-60.31022238731384,344.0
-60.31022238731384,345.0
-60.294657707214355,347.0
-60.294657707214355,346.0
-60.27893686294556,348.0
-60.27893686294556,349.0
-60.2634379863739,350.0
-60.2634379863739,351.0
-60.24798035621643,352.0
-60.24798035621643,353.0
-60.23237180709839,355.0
-60.23237180709839,354.0
-60.21679615974426,356.0
-60.21679615974426,357.0
-60.201247692108154,358.0
-60.201247692108154,359.0
-60.185678482055664,360.0
-60.185678482055664,361.0
-60.17019772529602,362.0
-60.17019772529602,363.0
-60.15462255477905,365.0
-60.15462255477905,364.0
-60.139090061187744,367.0
-60.139090061187744,366.0
-60.12360620498657,369.0
-60.12360620498657,368.0
-60.1080584526062,371.0
-60.1080584526062,370.0
-60.09248161315918,372.0
-60.09248161315918,373.0
-60.07687830924988,374.0
-60.07687830924988,375.0
-60.061277866363525,377.0
-60.061277866363525,376.0
-60.045769929885864,378.0
-60.045769929885864,379.0
-60.030044078826904,380.0
-60.030044078826904,381.0
-60.01453256607056,382.0
-60.01453256607056,383.0
-59.99892449378967,385.0
-59.99892449378967,384.0
-59.98326826095581,387.0
-59.98326826095581,386.0
-59.96775698661804,389.0
-59.96775698661804,388.0
-59.95235538482666,391.0
-59.95235538482666,390.0
-59.936856508255005,392.0
-59.936856508255005,393.0
-59.92135524749756,394.0
-59.92135524749756,395.0
-59.90580487251282,396.0
-59.90580487251282,397.0
-59.89026927947998,399.0
-59.89026927947998,398.0
-59.87483239173889,401.0
-59.87483239173889,400.0
-59.85939931869507,402.0
-59.85939931869507,403.0
-59.84384226799011,404.0
-59.84384226799011,405.0
-59.82832098007202,407.0
-59.82832098007202,406.0
-59.81273937225342,408.0
-59.81273937225342,409.0
-59.79718780517578,411.0
-59.79718780517578,410.0
-59.78146576881409,413.0
-59.78146576881409,412.0
-59.76590871810913,415.0
-59.76590871810913,414.0
-59.7503924369812,417.0
-59.7503924369812,416.0
-59.73478722572327,418.0
-59.73478722572327,419.0
-59.719226598739624,420.0
-59.719226598739624,421.0
-59.70380640029907,422.0
-59.70380640029907,423.0
-59.68833589553833,424.0
-59.68833589553833,425.0
-59.67285442352295,426.0
-59.67285442352295,427.0
-59.6572699546814,428.0
-59.6572699546814,429.0
-59.641608238220215,430.0
-59.641608238220215,431.0
-59.62600779533386,432.0
-59.62600779533386,433.0
-59.61037826538086,435.0
-59.61037826538086,434.0
-59.59477353096008,436.0
-59.59477353096008,437.0
-59.57915782928467,438.0
-59.57915782928467,439.0
-59.56366157531738,440.0
-59.56366157531738,441.0
-59.54811382293701,443.0
-59.54811382293701,442.0
-59.53242635726929,445.0
-59.53242635726929,444.0
-59.51669955253601,447.0
-59.51669955253601,446.0
-59.50110197067261,449.0
-59.50110197067261,448.0
-59.485384464263916,450.0
-59.485384464263916,451.0
-59.46979522705078,452.0
-59.46979522705078,453.0
-59.45431733131409,454.0
-59.45431733131409,455.0
-59.43881964683533,456.0
-59.43881964683533,457.0
-59.42321705818176,458.0
-59.42321705818176,459.0
-59.40778565406799,460.0
-59.40778565406799,461.0
-59.39220929145813,463.0
-59.39220929145813,462.0
