SECONDS,prefill_completed
-63.199448347091675,7180.0
-63.122971057891846,8216.0
-61.642186641693115,14884.0
-58.04734230041504,16432.0
-57.983623027801514,17980.0
-55.03448224067688,19528.0
-54.97687792778015,21076.0
-52.04370975494385,22112.0
-49.8644654750824,45676.0
-49.018410444259644,46712.0
-48.99850606918335,47748.0
-29.845824480056763,133264.0
-29.722458600997925,134812.0
-27.829191207885742,153768.0
-25.716890335083008,176820.0
-25.664647817611694,177856.0
-25.478766918182373,180428.0
-25.337592601776123,182488.0
-25.16425323486328,183524.0
-25.107449054718018,258288.0
-24.995757579803467,259836.0
-24.877695560455322,261384.0
-24.22231388092041,268052.0
-24.164625644683838,269088.0
-24.0846209526062,270636.0
-21.883391857147217,271672.0
-20.533902645111084,286532.0
-20.51254653930664,287568.0
-18.886499166488647,288604.0
-16.695119380950928,310120.0
-16.63206911087036,311156.0
-16.60761260986328,317824.0
-15.740900754928589,319372.0
-15.655956983566284,320408.0
-12.608166456222534,348580.0
-12.450501441955566,350640.0
-12.342991828918457,352188.0
-12.31597900390625,353224.0
-11.306658267974854,358868.0
-9.649576663970947,360416.0
-8.49961543083191,372204.0
-6.794391870498657,373240.0
-3.7871365547180176,374276.0
-1.776601791381836,375312.0
-1.6920249462127686,376860.0
-1.6347296237945557,378408.0
-0.74853515625,379444.0
-0.255751371383667,386112.0
2.323579788208008,387660.0
2.4154160022735596,389208.0
2.471125364303589,390244.0
2.880749464035034,395376.0
2.989964008331299,397948.0
4.030691146850586,406664.0
4.860276460647583,413332.0
6.779466152191162,428704.0
7.352805852890015,430252.0
7.748857498168945,434872.0
7.809764862060547,435908.0
8.156827688217163,440016.0
8.181522130966187,441052.0
9.300127267837524,442088.0
14.364332914352417,443124.0
14.43496298789978,450304.0
17.394078254699707,451852.0
17.454723834991455,453400.0
19.859081268310547,538916.0
21.77548336982727,556848.0
22.1558837890625,560956.0
22.21558403968811,561992.0
22.36257791519165,563540.0
22.549112558364868,566112.0
22.600627183914185,567148.0
22.66750955581665,568696.0
23.969225883483887,575364.0
26.295854806900024,593296.0
26.4952392578125,595868.0
26.580976724624634,596904.0
28.684476375579834,616884.0
29.213231086730957,622528.0
29.345648050308228,627660.0
32.497167348861694,628696.0
32.549431800842285,629732.0
32.572558879852295,630768.0
34.78283739089966,644092.0
35.67252564430237,653832.0
35.72575235366821,658452.0
35.78791856765747,659488.0
36.33280634880066,665644.0
36.404064416885376,667192.0
39.05050849914551,671300.0
39.173524618148804,746576.0
44.85062861442566,778332.0
45.00992560386658,780392.0
46.10473871231079,792692.0
46.57602882385254,798336.0
46.6746551990509,799884.0
46.7434515953064,801432.0
49.19671845436096,808612.0
49.7145938873291,813232.0
50.682409048080444,814268.0
50.734163999557495,815816.0
51.229228258132935,822484.0
53.7178955078125,824032.0
53.7630500793457,825068.0
53.77917432785034,826104.0
55.6465961933136,827140.0
56.757445335388184,828688.0
56.819669246673584,834332.0
57.74513912200928,835880.0
57.7649872303009,838452.0
61.005409240722656,861504.0
61.058441162109375,862540.0
61.175944566726685,864600.0
64.7586579322815,865636.0
65.33150100708008,872816.0
66.70834565162659,888700.0
66.80036115646362,890248.0
66.8204231262207,891284.0
71.91491627693176,892832.0
71.97305727005005,893868.0
72.6570987701416,901048.0
83.60027480125427,983492.0
83.6577079296112,990160.0
83.76375699043274,992220.0
83.82238745689392,993256.0
84.01672792434692,994804.0
91.422607421875,1013760.0
92.58372163772583,1095692.0
94.5510904788971,1114136.0
95.0607361793518,1120292.0
96.74295711517334,1138736.0
96.79511499404907,1140284.0
96.9384491443634,1142344.0
97.18078064918518,1145428.0
98.04911494255066,1155168.0
98.19571304321289,1157228.0
98.25050044059753,1158264.0
98.56617522239685,1161348.0
106.19111704826355,1221776.0
106.72122812271118,1226396.0
106.78438305854797,1245352.0
106.89740824699402,1246900.0
107.08310914039612,1247936.0
107.75873064994812,1325772.0
108.48257684707642,1331928.0
111.51027631759644,1356516.0
114.20086884498596,1382128.0
114.31281447410583,1383164.0
114.40211296081543,1384200.0
116.83920097351074,1406228.0
117.04693078994751,1408288.0
120.44705080986023,1436972.0
120.53108739852905,1438008.0
122.14924263954163,1452356.0
123.24990677833557,1462608.0
124.87839770317078,1477468.0
125.6625463962555,1485160.0
125.83309125900269,1487220.0
126.0964994430542,1489792.0
126.0964994430542,1518476.0
126.20839285850525,1520024.0
126.3258490562439,1521572.0
127.11692714691162,1529264.0
127.17951488494873,1530300.0
127.30424642562866,1531848.0
128.87229537963867,1545684.0
129.15579509735107,1548768.0
129.21796107292175,1549804.0
129.28223395347595,1550840.0
129.45765614509583,1552900.0
129.59902000427246,1554448.0
131.31651663780212,1569308.0
133.11599969863892,1585192.0
133.26735711097717,1586740.0
136.20933175086975,1611840.0
136.27110052108765,1612876.0
136.33224296569824,1613912.0
136.3914988040924,1614948.0
136.45397353172302,1615984.0
136.58171463012695,1617532.0
136.64993572235107,1625224.0
137.8580677509308,1635988.0
137.92364740371704,1637024.0
138.04548001289368,1638572.0
138.1116235256195,1639608.0
138.23669934272766,1641156.0
138.47853088378906,1643728.0
138.5439841747284,1644764.0
138.6154339313507,1645800.0
139.1048595905304,1650420.0
139.17118644714355,1651456.0
139.25858688354492,1652492.0
141.1007890701294,1667352.0
141.47787594795227,1670948.0
141.5481035709381,1671984.0
141.8447961807251,1674556.0
141.91509628295898,1699656.0
141.98376655578613,1700692.0
142.05702590942383,1701728.0
142.38570308685303,1704812.0
142.5019176006317,1711992.0
142.5019176006317,1737092.0
144.21500635147095,1750416.0
144.28742122650146,1751452.0
144.55426144599915,1754024.0
144.98446369171143,1757620.0
148.06643986701965,1780160.0
148.19774436950684,1781708.0
148.27863192558289,1782744.0
148.45733737945557,1790436.0
152.2812008857727,1818608.0
152.40682101249695,1820156.0
152.5858383178711,1822216.0
152.6510670185089,1823252.0
152.7837700843811,1824800.0
153.56006526947021,1831980.0
153.68086457252502,1834040.0
153.76175165176392,1835076.0
155.14827346801758,1847888.0
155.3899643421173,1850460.0
156.99532318115234,1864808.0
157.05567145347595,1865844.0
157.11718940734863,1866880.0
157.17951941490173,1867916.0
157.3050572872162,1869464.0
158.11157941818237,1877156.0
158.18333554267883,1878192.0
158.94116306304932,1885372.0
159.00312089920044,1886408.0
159.03351664543152,1887444.0
159.70149397850037,1888480.0
160.65081405639648,1897708.0
161.79109239578247,1913080.0
162.77465963363647,1914628.0
164.61961674690247,1931024.0
164.7465147972107,1932060.0
165.06074833869934,1935656.0
165.7579357624054,1937204.0
168.17262506484985,1942336.0
168.83736038208008,1943884.0
170.53142547607422,1958744.0
170.6468846797943,1960292.0
170.80377292633057,1961328.0
184.15747666358948,2047356.0
184.28525638580322,2063240.0
184.4230146408081,2064788.0
186.2895107269287,2081184.0
189.78232622146606,2111916.0
190.87838459014893,2122680.0
192.9101526737213,2141636.0
193.07425665855408,2143696.0
193.15375113487244,2144732.0
194.785790681839,2160104.0
194.84454083442688,2161140.0
194.904803276062,2162176.0
194.96448802947998,2163724.0
195.02814316749573,2164760.0
195.1959159374237,2166308.0
195.30804991722107,2167856.0
195.82762956619263,2173500.0
196.34346914291382,2179144.0
196.34346914291382,2180180.0
196.42168951034546,2181216.0
198.09280943870544,2197612.0
198.15362977981567,2198648.0
198.41884541511536,2201220.0
198.49544954299927,2202256.0
199.79459476470947,2215580.0
199.87669396400452,2217128.0
199.99783277511597,2218676.0
200.96615600585938,2228416.0
201.25217986106873,2231500.0
202.65845775604248,2244824.0
203.11580085754395,2248932.0
203.718994140625,2255088.0
204.01008558273315,2258172.0
205.5806884765625,2272520.0
205.5806884765625,2273556.0
205.7673921585083,2275104.0
213.40990829467773,2329900.0
214.02524304389954,2335544.0
214.66661190986633,2341700.0
