Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
4086.00000,4084.69472,4084.69472,4084.69472
245.00000,244.93707,244.93707,244.93707
4331.00000,4328.61233,4328.61233,4328.61233
0.02373,0.02349,0.02881,0.02969
2.89598,2.71556,4.81146,5.13973
0.02373,0.01769,0.04712,0.05044
8.68702,8.66247,9.29057,9.38394
0.03546,0.03533,0.03797,0.03827
28.30214,27.96631,30.35620,30.84580
0.17852,0.17853,0.27999,0.29258
0.10794,0.09720,0.17464,0.18693
