,cdf,Output Throughput
0,0.0,26.923529251938415
1,0.01,26.923529251938415
2,0.02,26.923529251938415
3,0.03,26.923529251938415
4,0.04,26.923529251938415
5,0.05,26.923529251938415
6,0.06,26.923529251938415
7,0.07,26.923529251938415
8,0.08,26.923529251938415
9,0.09,26.923529251938415
10,0.1,26.923529251938415
11,0.11,26.923529251938415
12,0.12,32.622448695053734
13,0.13,32.622448695053734
14,0.14,32.622448695053734
15,0.15,32.622448695053734
16,0.16,32.622448695053734
17,0.17,32.622448695053734
18,0.18,32.622448695053734
19,0.19,32.622448695053734
20,0.2,32.622448695053734
21,0.21,32.622448695053734
22,0.22,32.622448695053734
23,0.23,32.687758902651446
24,0.24,32.687758902651446
25,0.25,32.687758902651446
26,0.26,32.687758902651446
27,0.27,32.687758902651446
28,0.28,32.687758902651446
29,0.29,32.687758902651446
30,0.3,32.687758902651446
31,0.31,32.687758902651446
32,0.32,32.687758902651446
33,0.33,32.687758902651446
34,0.34,33.01627645128441
35,0.35000000000000003,33.01627645128441
36,0.36,33.01627645128441
37,0.37,33.01627645128441
38,0.38,33.01627645128441
39,0.39,33.01627645128441
40,0.4,33.01627645128441
41,0.41000000000000003,33.01627645128441
42,0.42,33.01627645128441
43,0.43,33.01627645128441
44,0.44,33.01627645128441
45,0.45,34.84817204209353
46,0.46,34.84817204209353
47,0.47000000000000003,34.84817204209353
48,0.48,34.84817204209353
49,0.49,34.84817204209353
50,0.5,34.84817204209353
51,0.51,34.84817204209353
52,0.52,34.84817204209353
53,0.53,34.84817204209353
54,0.54,34.84817204209353
55,0.55,34.84817204209353
56,0.56,36.05338277596838
57,0.5700000000000001,36.05338277596838
58,0.58,36.05338277596838
59,0.59,36.05338277596838
60,0.6,36.05338277596838
61,0.61,36.05338277596838
62,0.62,36.05338277596838
63,0.63,36.05338277596838
64,0.64,36.05338277596838
65,0.65,36.05338277596838
66,0.66,36.05338277596838
67,0.67,36.41572541820215
68,0.68,36.41572541820215
69,0.6900000000000001,36.41572541820215
70,0.7000000000000001,36.41572541820215
71,0.71,36.41572541820215
72,0.72,36.41572541820215
73,0.73,36.41572541820215
74,0.74,36.41572541820215
75,0.75,36.41572541820215
76,0.76,36.41572541820215
77,0.77,36.41572541820215
78,0.78,36.48862977339375
79,0.79,36.48862977339375
80,0.8,36.48862977339375
81,0.81,36.48862977339375
82,0.8200000000000001,36.48862977339375
83,0.8300000000000001,36.48862977339375
84,0.84,36.48862977339375
85,0.85,36.48862977339375
86,0.86,36.48862977339375
87,0.87,36.48862977339375
88,0.88,36.48862977339375
89,0.89,39.765540778173616
90,0.9,39.765540778173616
91,0.91,39.765540778173616
92,0.92,39.765540778173616
93,0.93,39.765540778173616
94,0.9400000000000001,39.765540778173616
95,0.9500000000000001,39.765540778173616
96,0.96,39.765540778173616
97,0.97,39.765540778173616
98,0.98,39.765540778173616
99,0.99,39.765540778173616
100,1.0,40.084941108720805
