,cdf,End to End Latency
0,0.0,0.049936578983954726
1,0.01,0.049936578983954726
2,0.02,0.049936578983954726
3,0.03,0.049936578983954726
4,0.04,0.049936578983954726
5,0.05,0.049936578983954726
6,0.06,0.049936578983954726
7,0.07,0.049936578983954726
8,0.08,0.049936578983954726
9,0.09,0.049936578983954726
10,0.1,0.049936578983954726
11,0.11,0.049936578983954726
12,0.12,0.050237099217171066
13,0.13,0.050237099217171066
14,0.14,0.050237099217171066
15,0.15,0.050237099217171066
16,0.16,0.050237099217171066
17,0.17,0.050237099217171066
18,0.18,0.050237099217171066
19,0.19,0.050237099217171066
20,0.2,0.050237099217171066
21,0.21,0.050237099217171066
22,0.22,0.050237099217171066
23,0.23,0.0547487102120296
24,0.24,0.0547487102120296
25,0.25,0.0547487102120296
26,0.26,0.0547487102120296
27,0.27,0.0547487102120296
28,0.28,0.0547487102120296
29,0.29,0.0547487102120296
30,0.3,0.0547487102120296
31,0.31,0.0547487102120296
32,0.32,0.0547487102120296
33,0.33,0.0547487102120296
34,0.34,0.05485831723948111
35,0.35000000000000003,0.05485831723948111
36,0.36,0.05485831723948111
37,0.37,0.05485831723948111
38,0.38,0.05485831723948111
39,0.39,0.05485831723948111
40,0.4,0.05485831723948111
41,0.41000000000000003,0.05485831723948111
42,0.42,0.05485831723948111
43,0.43,0.05485831723948111
44,0.44,0.05485831723948111
45,0.45,0.055409652678393144
46,0.46,0.055409652678393144
47,0.47000000000000003,0.055409652678393144
48,0.48,0.055409652678393144
49,0.49,0.055409652678393144
50,0.5,0.055409652678393144
51,0.51,0.055409652678393144
52,0.52,0.055409652678393144
53,0.53,0.055409652678393144
54,0.54,0.055409652678393144
55,0.55,0.055409652678393144
56,0.56,0.05744074109037704
57,0.5700000000000001,0.05744074109037704
58,0.58,0.05744074109037704
59,0.59,0.05744074109037704
60,0.6,0.05744074109037704
61,0.61,0.05744074109037704
62,0.62,0.05744074109037704
63,0.63,0.05744074109037704
64,0.64,0.05744074109037704
65,0.65,0.05744074109037704
66,0.66,0.05744074109037704
67,0.67,0.060506684345376996
68,0.68,0.060506684345376996
69,0.6900000000000001,0.060506684345376996
70,0.7000000000000001,0.060506684345376996
71,0.71,0.060506684345376996
72,0.72,0.060506684345376996
73,0.73,0.060506684345376996
74,0.74,0.060506684345376996
75,0.75,0.060506684345376996
76,0.76,0.060506684345376996
77,0.77,0.060506684345376996
78,0.78,0.06111478683647312
79,0.79,0.06111478683647312
80,0.8,0.06111478683647312
81,0.81,0.06111478683647312
82,0.8200000000000001,0.06111478683647312
83,0.8300000000000001,0.06111478683647312
84,0.84,0.06111478683647312
85,0.85,0.06111478683647312
86,0.86,0.06111478683647312
87,0.87,0.06111478683647312
88,0.88,0.06111478683647312
89,0.89,0.06123713876207167
90,0.9,0.06123713876207167
91,0.91,0.06123713876207167
92,0.92,0.06123713876207167
93,0.93,0.06123713876207167
94,0.9400000000000001,0.06123713876207167
95,0.9500000000000001,0.06123713876207167
96,0.96,0.06123713876207167
97,0.97,0.06123713876207167
98,0.98,0.06123713876207167
99,0.99,0.06123713876207167
100,1.0,0.07419924033004482
