Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
512.00000,512.34672,512.34672,512.34672
2.00000,1.99971,1.99971,1.99971
514.00000,514.40021,514.40021,514.40021
0.00000,0.00000,0.00000,0.00000
0.05799,0.05541,0.06124,0.06124
0.00000,0.00000,0.00000,0.00000
0.05799,0.05541,0.06124,0.06124
0.02900,0.02774,0.03065,0.03065
34.90231,34.84817,39.76554,39.76554
0.00000,0.00000,0.00000,0.00000
0.00018,0.00018,0.00018,0.00018
