Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8192.00000,8192.73040,8192.73040,8192.73040
277.00000,277.27267,277.27267,277.27267
8469.00000,8476.07286,8476.07286,8476.07286
0.02293,0.02213,0.02763,0.02763
3.32825,2.94174,5.20178,5.20178
0.02293,0.01713,0.04974,0.05721
9.65630,9.57351,10.20625,10.20625
0.03486,0.03456,0.03685,0.03685
28.76476,28.30393,30.47786,30.47786
0.18280,0.17119,0.27172,0.27172
0.11149,0.09489,0.17016,0.17016
