,cdf,Normalized End to End Latency
0,0.0,0.03196858274513668
1,0.01,0.03196858274513668
2,0.02,0.03196858274513668
3,0.03,0.03196858274513668
4,0.04,0.03196858274513668
5,0.05,0.03196858274513668
6,0.06,0.03196858274513668
7,0.07,0.03196858274513668
8,0.08,0.03196858274513668
9,0.09,0.03196858274513668
10,0.1,0.03196858274513668
11,0.11,0.03196858274513668
12,0.12,0.03196858274513668
13,0.13,0.03196858274513668
14,0.14,0.03196858274513668
15,0.15,0.03281066582035456
16,0.16,0.03281066582035456
17,0.17,0.03281066582035456
18,0.18,0.03281066582035456
19,0.19,0.03281066582035456
20,0.2,0.03281066582035456
21,0.21,0.03281066582035456
22,0.22,0.03281066582035456
23,0.23,0.03281066582035456
24,0.24,0.03281066582035456
25,0.25,0.03281066582035456
26,0.26,0.03281066582035456
27,0.27,0.03281066582035456
28,0.28,0.03281066582035456
29,0.29,0.03374234744757494
30,0.3,0.03374234744757494
31,0.31,0.03374234744757494
32,0.32,0.03374234744757494
33,0.33,0.03374234744757494
34,0.34,0.03374234744757494
35,0.35000000000000003,0.03374234744757494
36,0.36,0.03374234744757494
37,0.37,0.03374234744757494
38,0.38,0.03374234744757494
39,0.39,0.03374234744757494
40,0.4,0.03374234744757494
41,0.41000000000000003,0.03374234744757494
42,0.42,0.03374234744757494
43,0.43,0.03456196006994819
44,0.44,0.03456196006994819
45,0.45,0.03456196006994819
46,0.46,0.03456196006994819
47,0.47000000000000003,0.03456196006994819
48,0.48,0.03456196006994819
49,0.49,0.03456196006994819
50,0.5,0.03456196006994819
51,0.51,0.03456196006994819
52,0.52,0.03456196006994819
53,0.53,0.03456196006994819
54,0.54,0.03456196006994819
55,0.55,0.03456196006994819
56,0.56,0.03456196006994819
57,0.5700000000000001,0.03456196006994819
58,0.58,0.03533074911971233
59,0.59,0.03533074911971233
60,0.6,0.03533074911971233
61,0.61,0.03533074911971233
62,0.62,0.03533074911971233
63,0.63,0.03533074911971233
64,0.64,0.03533074911971233
65,0.65,0.03533074911971233
66,0.66,0.03533074911971233
67,0.67,0.03533074911971233
68,0.68,0.03533074911971233
69,0.6900000000000001,0.03533074911971233
70,0.7000000000000001,0.03533074911971233
71,0.71,0.03533074911971233
72,0.72,0.03611663895316584
73,0.73,0.03611663895316584
74,0.74,0.03611663895316584
75,0.75,0.03611663895316584
76,0.76,0.03611663895316584
77,0.77,0.03611663895316584
78,0.78,0.03611663895316584
79,0.79,0.03611663895316584
80,0.8,0.03611663895316584
81,0.81,0.03611663895316584
82,0.8200000000000001,0.03611663895316584
83,0.8300000000000001,0.03611663895316584
84,0.84,0.03611663895316584
85,0.85,0.03611663895316584
86,0.86,0.036846243702924095
87,0.87,0.036846243702924095
88,0.88,0.036846243702924095
89,0.89,0.036846243702924095
90,0.9,0.036846243702924095
91,0.91,0.036846243702924095
92,0.92,0.036846243702924095
93,0.93,0.036846243702924095
94,0.9400000000000001,0.036846243702924095
95,0.9500000000000001,0.036846243702924095
96,0.96,0.036846243702924095
97,0.97,0.036846243702924095
98,0.98,0.036846243702924095
99,0.99,0.036846243702924095
100,1.0,0.0375154813824459
