REQUEST,request_e2e_time,request_inter_arrival_delay,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_num_preprocessed_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored
cmpl-002ba81d64b841beb97b7a25db17022d,2.943371534347534,4.975803375244141,0.026516860350966454,0.04181656613945961,2.834407329559326,0.025535201653838158,0.09352540969848633,0.01543879508972168,2.9279327392578125,0.02637777291238308,0.1175999641418457,7.596897194162011e-05,0.015504790470004082,0.10216116905212402,6.599558400921524e-05,0.02545740082859993,1659.0,1548.0,111.0,496.0,13.945945739746094,0.0,113.0,0.0
cmpl-002c66c3a5a14bcfaf3f2770f8375a1f,28.757740020751953,1.850571632385254,0.08821392804384232,8.55066204071045,19.435623168945312,0.059618476778268814,0.8336305618286133,8.488486289978027,20.269254684448242,0.062175627797842026,8.894957542419434,0.008585866540670395,8.488879203796387,0.40647101402282715,0.00039234652649611235,0.06092878431081772,1362.0,1036.0,326.0,496.0,3.1779141426086426,0.0,327.0,0.0
cmpl-008c1936287e4119bb2235f155618af9,46.23028564453125,0.13736534118652344,0.6900042295455933,33.889892578125,12.05709171295166,0.1799566000699997,0.4702770709991455,33.70291519165039,12.527368545532227,0.1869756579399109,42.028987884521484,0.0007327740313485265,33.703060150146484,8.326070785522461,0.00014516478404402733,0.06270593404769897,57423.0,57356.0,67.0,496.0,856.0596923828125,0.0,180.0,0.0
cmpl-00c1f2fadcc24a7d80e86861af1909d2,72.57997131347656,0.16785669326782227,3.1556508541107178,67.52912902832031,5.190380096435547,0.22566869854927063,0.09004735946655273,67.29954528808594,5.2804274559021,0.22958379983901978,71.13231658935547,0.002571667078882456,67.2996826171875,3.832770824432373,0.00013856728037353605,0.06294159591197968,27683.0,27660.0,23.0,496.0,1202.608642578125,0.0,77.0,0.0
cmpl-00ca29f800184db9a73c6faf58f316c5,47.83392333984375,1.3069546222686768,0.5035149455070496,37.11943435668945,9.66839599609375,0.10177259147167206,1.160076379776001,37.00545120239258,10.828472137451172,0.11398392170667648,40.824859619140625,0.0020970238838344812,37.005645751953125,3.8194096088409424,0.00019618911028373986,0.07377961277961731,19563.0,19468.0,95.0,496.0,204.9263153076172,0.0,133.0,0.0
cmpl-0111274736234757af8a3bc73dc8fe6a,19.80730438232422,0.013994216918945312,0.06925630569458008,0.16142761707305908,19.375574111938477,0.06774675846099854,0.3392353057861328,0.09249472618103027,19.71480941772461,0.0689328983426094,1.8292498588562012,0.00011156683467561379,0.09260065108537674,1.736755132675171,0.0001059255373547785,0.06286032497882843,16682.0,16396.0,286.0,496.0,57.328670501708984,0.0,317.0,0.0
cmpl-0176e4e5381e49adbe95196ad09e39c7,292.052734375,2.654355525970459,0.35746967792510986,231.23471069335938,59.313995361328125,0.07259974628686905,1.578554630279541,231.16017150878906,60.892547607421875,0.07453188300132751,232.06341552734375,0.04111683741211891,231.1603240966797,0.9032502174377441,0.00016003724886104465,0.07342631369829178,6461.0,5644.0,817.0,496.0,6.908200740814209,0.0,827.0,0.0
cmpl-018f03f81143412e8915578bb41a10f0,54.54186248779297,0.24851608276367188,0.08116348832845688,11.945547103881836,41.415184020996094,0.06162973493337631,1.2446162700653076,11.882064819335938,42.65979766845703,0.06348184496164322,12.236778259277344,0.003967826720327139,11.882180213928223,0.35471296310424805,0.00011501717381179333,0.06295399367809296,3756.0,3084.0,672.0,496.0,4.589285850524902,0.0,677.0,0.0
cmpl-019fa2f54e6744eca0cc7978cb5651bb,62.59928894042969,1.7717955112457275,0.36184558272361755,51.299095153808594,10.513771057128906,0.06077324599027634,0.8521199226379395,51.2333984375,11.365891456604004,0.06569879502058029,52.63158416748047,0.006842379923909903,51.233577728271484,1.398188591003418,0.00018177178571932018,0.05761677771806717,7865.0,7692.0,173.0,496.0,44.46242904663086,0.0,187.0,0.0
cmpl-024523994b714c21b04c22a6ae487b7d,36.50074005126953,1.0093915462493896,0.1477762758731842,18.556594848632812,17.62871551513672,0.07137131690979004,0.38837385177612305,18.483652114868164,18.017087936401367,0.07294367998838425,20.444889068603516,0.001375833642669022,18.483783721923828,1.9612364768981934,0.0001319809234701097,0.06500344723463058,15107.0,14860.0,247.0,496.0,60.16194152832031,0.0,276.0,0.0
cmpl-029142db4fce454e91c28c69a1427da9,84.1238021850586,1.765716552734375,0.17453069984912872,46.88370132446289,32.45408630371094,0.06733212620019913,4.863434791564941,46.806278228759766,37.31752014160156,0.07742224633693695,51.006927490234375,0.03295021131634712,46.808990478515625,4.200648307800293,0.0027135971467942,0.06870720535516739,2030.0,1548.0,482.0,496.0,3.211618185043335,0.0,484.0,0.0
cmpl-02dba2cac7e848e7a577ded765c69603,17.726795196533203,0.07445335388183594,0.15022706985473633,3.3015451431274414,14.327446937561035,0.1214190423488617,0.22109556198120117,3.1782524585723877,14.548542022705078,0.12329273670911789,9.210000991821289,0.00023661497107241303,3.1784074306488037,6.0317487716674805,0.00015496219566557556,0.07217621803283691,39042.0,38924.0,118.0,496.0,329.8644104003906,0.0,195.0,0.0
cmpl-02ddf59742024c9abf446e2c348896a8,7.220188140869141,1.9884979724884033,0.020224617794156075,0.033915016800165176,7.005532264709473,0.01962333917617798,0.2009274959564209,0.013728857040405273,7.2064595222473145,0.020186161622405052,0.0771629810333252,7.448164251400158e-05,0.013790086843073368,0.06343412399291992,6.122984632384032e-05,0.020008474588394165,1393.0,1036.0,357.0,496.0,2.901960849761963,0.0,358.0,0.0
