BATCH,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_execution_time,inter_batch_delay
1879731,512.0,512.0,0.0,1.0,0.03818106651306152,0.000110626220703125
1879732,512.0,512.0,0.0,1.0,0.03782248497009277,4.458427429199219e-05
1879733,512.0,512.0,0.0,1.0,0.03810477256774902,6.628036499023438e-05
1879734,512.0,512.0,0.0,1.0,0.03870844841003418,6.842613220214844e-05
1879735,512.0,512.0,0.0,1.0,0.03890037536621094,6.389617919921875e-05
1879736,512.0,512.0,0.0,1.0,0.03929400444030762,7.009506225585938e-05
1879737,512.0,512.0,0.0,1.0,0.03965640068054199,6.937980651855469e-05
1879738,512.0,512.0,0.0,1.0,0.03997611999511719,6.794929504394531e-05
1879739,512.0,512.0,0.0,1.0,0.04028940200805664,7.224082946777344e-05
1879740,512.0,512.0,0.0,1.0,0.04056978225708008,6.67572021484375e-05
1879741,512.0,512.0,0.0,1.0,0.0408177375793457,7.128715515136719e-05
1879742,512.0,512.0,0.0,1.0,0.041323184967041016,6.866455078125e-05
1879743,512.0,512.0,0.0,1.0,0.041445016860961914,7.343292236328125e-05
1879744,12.0,12.0,0.0,1.0,0.018715858459472656,7.152557373046875e-05
1879745,1.0,0.0,1.0,1.0,0.015487909317016602,5.555152893066406e-05
1879746,1.0,0.0,1.0,1.0,0.015102386474609375,5.412101745605469e-05
1879747,1.0,0.0,1.0,1.0,0.015189647674560547,5.245208740234375e-05
1879748,1.0,0.0,1.0,1.0,0.015228509902954102,5.626678466796875e-05
1879749,1.0,0.0,1.0,1.0,0.015480518341064453,5.4836273193359375e-05
1879750,1.0,0.0,1.0,1.0,0.015265226364135742,5.817413330078125e-05
1879751,1.0,0.0,1.0,1.0,0.015282392501831055,5.1975250244140625e-05
1879752,1.0,0.0,1.0,1.0,0.01525425910949707,5.364418029785156e-05
1879753,1.0,0.0,1.0,1.0,0.015290260314941406,5.412101745605469e-05
1879754,1.0,0.0,1.0,1.0,0.015188455581665039,5.435943603515625e-05
1879755,1.0,0.0,1.0,1.0,0.015386104583740234,5.340576171875e-05
1879756,1.0,0.0,1.0,1.0,0.015268802642822266,5.3882598876953125e-05
1879757,1.0,0.0,1.0,1.0,0.015329360961914062,5.412101745605469e-05
1879758,1.0,0.0,1.0,1.0,0.015272378921508789,5.364418029785156e-05
1879759,1.0,0.0,1.0,1.0,0.01522517204284668,6.580352783203125e-05
1879760,1.0,0.0,1.0,1.0,0.015274524688720703,5.5789947509765625e-05
1879761,1.0,0.0,1.0,1.0,0.01521158218383789,5.555152893066406e-05
1879762,1.0,0.0,1.0,1.0,0.015218973159790039,5.2928924560546875e-05
1879763,1.0,0.0,1.0,1.0,0.015352487564086914,5.459785461425781e-05
1879764,1.0,0.0,1.0,1.0,0.015264511108398438,5.459785461425781e-05
1879765,1.0,0.0,1.0,1.0,0.015516281127929688,5.4836273193359375e-05
1879766,1.0,0.0,1.0,1.0,0.015281438827514648,5.817413330078125e-05
1879767,1.0,0.0,1.0,1.0,0.01535797119140625,5.316734313964844e-05
1879768,1.0,0.0,1.0,1.0,0.015254497528076172,5.3882598876953125e-05
1879769,1.0,0.0,1.0,1.0,0.015378713607788086,5.555152893066406e-05
1879770,1.0,0.0,1.0,1.0,0.015296220779418945,5.269050598144531e-05
1879771,1.0,0.0,1.0,1.0,0.015349626541137695,5.340576171875e-05
1879772,1.0,0.0,1.0,1.0,0.01524972915649414,5.4836273193359375e-05
1879773,1.0,0.0,1.0,1.0,0.015288114547729492,5.221366882324219e-05
1879774,1.0,0.0,1.0,1.0,0.016214370727539062,5.459785461425781e-05
1879775,1.0,0.0,1.0,1.0,0.015370368957519531,5.459785461425781e-05
1879776,1.0,0.0,1.0,1.0,0.015332221984863281,5.602836608886719e-05
1879777,1.0,0.0,1.0,1.0,0.015353918075561523,5.793571472167969e-05
1879778,1.0,0.0,1.0,1.0,0.015411376953125,5.412101745605469e-05
1879779,1.0,0.0,1.0,1.0,0.015341997146606445,5.2928924560546875e-05
1879780,1.0,0.0,1.0,1.0,0.015310287475585938,5.412101745605469e-05
1879781,1.0,0.0,1.0,1.0,0.015414714813232422,5.412101745605469e-05
1879782,1.0,0.0,1.0,1.0,0.015391349792480469,5.53131103515625e-05
1879783,1.0,0.0,1.0,1.0,0.015339851379394531,5.626678466796875e-05
1879784,1.0,0.0,1.0,1.0,0.0157012939453125,5.3882598876953125e-05
1879785,1.0,0.0,1.0,1.0,0.015373468399047852,5.364418029785156e-05
1879786,1.0,0.0,1.0,1.0,0.015299797058105469,5.173683166503906e-05
1879787,1.0,0.0,1.0,1.0,0.015314340591430664,5.459785461425781e-05
1879788,1.0,0.0,1.0,1.0,0.015283823013305664,5.316734313964844e-05
1879789,1.0,0.0,1.0,1.0,0.015347719192504883,5.412101745605469e-05
1879790,1.0,0.0,1.0,1.0,0.015355348587036133,5.221366882324219e-05
1879791,1.0,0.0,1.0,1.0,0.01540064811706543,5.507469177246094e-05
1879792,1.0,0.0,1.0,1.0,0.015399932861328125,5.507469177246094e-05
1879793,1.0,0.0,1.0,1.0,0.015237569808959961,5.245208740234375e-05
1879794,1.0,0.0,1.0,1.0,0.0152740478515625,5.316734313964844e-05
1879795,1.0,0.0,1.0,1.0,0.015282154083251953,5.316734313964844e-05
1879796,1.0,0.0,1.0,1.0,0.015246868133544922,5.316734313964844e-05
1879797,1.0,0.0,1.0,1.0,0.015513420104980469,5.269050598144531e-05
1879798,1.0,0.0,1.0,1.0,0.015363454818725586,5.936622619628906e-05
1879799,1.0,0.0,1.0,1.0,0.0153350830078125,5.626678466796875e-05
1879800,1.0,0.0,1.0,1.0,0.015260696411132812,7.104873657226562e-05
1879801,1.0,0.0,1.0,1.0,0.015190362930297852,5.4836273193359375e-05
1879802,1.0,0.0,1.0,1.0,0.015238523483276367,5.53131103515625e-05
1879803,1.0,0.0,1.0,1.0,0.015155553817749023,5.3882598876953125e-05
1879804,1.0,0.0,1.0,1.0,0.015250682830810547,5.340576171875e-05
1879805,1.0,0.0,1.0,1.0,0.015225648880004883,5.555152893066406e-05
1879806,1.0,0.0,1.0,1.0,0.015149593353271484,5.507469177246094e-05
1879807,1.0,0.0,1.0,1.0,0.015232324600219727,5.245208740234375e-05
1879808,513.0,512.0,1.0,2.0,0.044797420501708984,5.1021575927734375e-05
1879809,525.0,524.0,1.0,3.0,0.05188465118408203,7.939338684082031e-05
1879810,512.0,510.0,2.0,3.0,0.03959965705871582,8.58306884765625e-05
1879811,512.0,510.0,2.0,3.0,0.04007601737976074,7.081031799316406e-05
1879812,512.0,510.0,2.0,3.0,0.04029226303100586,6.771087646484375e-05
1879813,512.0,510.0,2.0,3.0,0.04079174995422363,6.890296936035156e-05
1879814,512.0,510.0,2.0,3.0,0.04114055633544922,8.726119995117188e-05
1879815,512.0,510.0,2.0,3.0,0.041344642639160156,7.486343383789062e-05
1879816,512.0,510.0,2.0,3.0,0.04163932800292969,7.200241088867188e-05
1879817,512.0,510.0,2.0,3.0,0.041997432708740234,6.937980651855469e-05
1879818,512.0,510.0,2.0,3.0,0.04231142997741699,7.224082946777344e-05
1879819,512.0,510.0,2.0,3.0,0.04276609420776367,6.866455078125e-05
1879820,512.0,510.0,2.0,3.0,0.04291892051696777,7.224082946777344e-05
1879821,36.0,34.0,2.0,3.0,0.019067049026489258,6.937980651855469e-05
1879822,3.0,0.0,3.0,3.0,0.016365766525268555,5.626678466796875e-05
1879823,3.0,0.0,3.0,3.0,0.01614975929260254,5.412101745605469e-05
1879824,3.0,0.0,3.0,3.0,0.016261816024780273,5.507469177246094e-05
