,cdf,Time to First Token
0,0.0,0.08382689952081433
1,0.01,0.7641428050582931
2,0.02,1.8057927589526754
3,0.03,4.744566264846449
4,0.04,17.030407878931406
5,0.05,19.668148365147022
6,0.06,34.158131775104636
7,0.07,38.05379106060644
8,0.08,50.45091114536392
9,0.09,51.16219148331339
10,0.1,51.16219148331339
11,0.11,51.16219148331339
12,0.12,51.2646182930898
13,0.13,51.2646182930898
14,0.14,51.2646182930898
15,0.15,51.2646182930898
16,0.16,51.2646182930898
17,0.17,51.2646182930898
18,0.18,51.36725016154444
19,0.19,51.36725016154444
20,0.2,51.36725016154444
21,0.21,51.36725016154444
22,0.22,51.36725016154444
23,0.23,51.36725016154444
24,0.24,51.36725016154444
25,0.25,51.36725016154444
26,0.26,51.470087499205164
27,0.27,51.470087499205164
28,0.28,51.470087499205164
29,0.29,51.470087499205164
30,0.3,51.470087499205164
31,0.31,51.470087499205164
32,0.32,51.57313071742179
33,0.33,51.57313071742179
34,0.34,51.57313071742179
35,0.35000000000000003,51.57313071742179
36,0.36,51.57313071742179
37,0.37,51.57313071742179
38,0.38,51.57313071742179
39,0.39,51.676380228367584
40,0.4,51.676380228367584
41,0.41000000000000003,51.676380228367584
42,0.42,51.676380228367584
43,0.43,51.676380228367584
44,0.44,51.676380228367584
45,0.45,51.779836445041
46,0.46,51.779836445041
47,0.47000000000000003,51.779836445041
48,0.48,51.779836445041
49,0.49,51.779836445041
50,0.5,51.779836445041
51,0.51,51.779836445041
52,0.52,51.88349978126731
53,0.53,51.88349978126731
54,0.54,51.88349978126731
55,0.55,51.88349978126731
56,0.56,51.88349978126731
57,0.5700000000000001,51.88349978126731
58,0.58,51.98737065170029
59,0.59,51.98737065170029
60,0.6,51.98737065170029
61,0.61,51.98737065170029
62,0.62,51.98737065170029
63,0.63,51.98737065170029
64,0.64,52.091449471823815
65,0.65,52.091449471823815
66,0.66,52.091449471823815
67,0.67,52.091449471823815
68,0.68,52.091449471823815
69,0.6900000000000001,52.091449471823815
70,0.7000000000000001,52.19573665795356
71,0.71,52.19573665795356
72,0.72,52.19573665795356
73,0.73,52.19573665795356
74,0.74,52.19573665795356
75,0.75,52.19573665795356
76,0.76,52.19573665795356
77,0.77,52.30023262723876
78,0.78,52.30023262723876
79,0.79,52.30023262723876
80,0.8,52.30023262723876
81,0.81,52.30023262723876
82,0.8200000000000001,52.40493779766367
83,0.8300000000000001,52.40493779766367
84,0.84,52.40493779766367
85,0.85,52.40493779766367
86,0.86,52.40493779766367
87,0.87,52.40493779766367
88,0.88,52.509852588049384
89,0.89,52.509852588049384
90,0.9,52.509852588049384
91,0.91,52.509852588049384
92,0.92,52.614977418055496
93,0.93,52.614977418055496
94,0.9400000000000001,52.614977418055496
95,0.9500000000000001,52.72031270818174
96,0.96,53.03758555691637
97,0.97,53.25016083712919
98,0.98,53.46358812161941
99,0.99,53.677870825230386
100,1.0,54.21734257647094
