Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
512.00000,512.34672,512.34672,512.34672
522.99219,522.69681,522.69681,522.69681
1034.99219,1035.87506,1035.87506,1035.87506
0.06583,0.06075,0.06087,0.15961
49.30440,51.77984,52.50985,53.67787
0.06583,0.05919,0.06741,0.20825
83.66807,83.68008,84.18367,84.52108
0.15998,0.15993,0.16122,0.16154
6.25097,6.25262,6.29025,6.30284
0.89512,0.89494,0.89853,0.90032
0.89401,0.89315,0.90393,0.92404
