,cdf,Number of Output Tokens
0,0.0,521.6524625869748
1,0.01,522.6968118614232
2,0.02,522.6968118614232
3,0.03,522.6968118614232
4,0.04,522.6968118614232
5,0.05,522.6968118614232
6,0.06,522.6968118614232
7,0.07,522.6968118614232
8,0.08,522.6968118614232
9,0.09,522.6968118614232
10,0.1,522.6968118614232
11,0.11,522.6968118614232
12,0.12,522.6968118614232
13,0.13,522.6968118614232
14,0.14,522.6968118614232
15,0.15,522.6968118614232
16,0.16,522.6968118614232
17,0.17,522.6968118614232
18,0.18,522.6968118614232
19,0.19,522.6968118614232
20,0.2,522.6968118614232
21,0.21,522.6968118614232
22,0.22,522.6968118614232
23,0.23,522.6968118614232
24,0.24,522.6968118614232
25,0.25,522.6968118614232
26,0.26,522.6968118614232
27,0.27,522.6968118614232
28,0.28,522.6968118614232
29,0.29,522.6968118614232
30,0.3,522.6968118614232
31,0.31,522.6968118614232
32,0.32,522.6968118614232
33,0.33,522.6968118614232
34,0.34,522.6968118614232
35,0.35000000000000003,522.6968118614232
36,0.36,522.6968118614232
37,0.37,522.6968118614232
38,0.38,522.6968118614232
39,0.39,522.6968118614232
40,0.4,522.6968118614232
41,0.41000000000000003,522.6968118614232
42,0.42,522.6968118614232
43,0.43,522.6968118614232
44,0.44,522.6968118614232
45,0.45,522.6968118614232
46,0.46,522.6968118614232
47,0.47000000000000003,522.6968118614232
48,0.48,522.6968118614232
49,0.49,522.6968118614232
50,0.5,522.6968118614232
51,0.51,522.6968118614232
52,0.52,522.6968118614232
53,0.53,522.6968118614232
54,0.54,522.6968118614232
55,0.55,522.6968118614232
56,0.56,522.6968118614232
57,0.5700000000000001,522.6968118614232
58,0.58,522.6968118614232
59,0.59,522.6968118614232
60,0.6,522.6968118614232
61,0.61,522.6968118614232
62,0.62,522.6968118614232
63,0.63,522.6968118614232
64,0.64,522.6968118614232
65,0.65,522.6968118614232
66,0.66,522.6968118614232
67,0.67,522.6968118614232
68,0.68,522.6968118614232
69,0.6900000000000001,522.6968118614232
70,0.7000000000000001,522.6968118614232
71,0.71,522.6968118614232
72,0.72,522.6968118614232
73,0.73,522.6968118614232
74,0.74,522.6968118614232
75,0.75,522.6968118614232
76,0.76,522.6968118614232
77,0.77,522.6968118614232
78,0.78,522.6968118614232
79,0.79,522.6968118614232
80,0.8,522.6968118614232
81,0.81,522.6968118614232
82,0.8200000000000001,522.6968118614232
83,0.8300000000000001,522.6968118614232
84,0.84,522.6968118614232
85,0.85,522.6968118614232
86,0.86,522.6968118614232
87,0.87,522.6968118614232
88,0.88,522.6968118614232
89,0.89,522.6968118614232
90,0.9,522.6968118614232
91,0.91,522.6968118614232
92,0.92,522.6968118614232
93,0.93,522.6968118614232
94,0.9400000000000001,522.6968118614232
95,0.9500000000000001,522.6968118614232
96,0.96,522.6968118614232
97,0.97,522.6968118614232
98,0.98,522.6968118614232
99,0.99,522.6968118614232
100,1.0,522.6968118614232
