batch_size,cdf
1.0,9.094216078574027e-05
1.0,0.00018188432157148054
6.0,0.0002728264823572208
6.0,0.0003637686431429611
6.0,0.0004547108039287013
6.0,0.0005456529647144416
6.0,0.0006365951255001819
6.0,0.0007275372862859222
6.0,0.0008184794470716625
6.0,0.0009094216078574026
6.0,0.001000363768643143
6.0,0.0010913059294288831
8.0,0.0011822480902146234
12.0,0.0012731902510003637
13.0,0.001364132411786104
13.0,0.0014550745725718443
13.0,0.0015460167333575846
13.0,0.001636958894143325
13.0,0.0017279010549290652
13.0,0.0018188432157148053
13.0,0.0019097853765005456
13.0,0.002000727537286286
14.0,0.0020916696980720264
14.0,0.0021826118588577663
14.0,0.0022735540196435066
14.0,0.002364496180429247
14.0,0.002455438341214987
14.0,0.0025463805020007274
14.0,0.0026373226627864677
14.0,0.002728264823572208
14.0,0.0028192069843579483
14.0,0.0029101491451436886
14.0,0.003001091305929429
14.0,0.0030920334667151692
14.0,0.0031829756275009095
14.0,0.00327391778828665
14.0,0.00336485994907239
14.0,0.0034558021098581304
14.0,0.0035467442706438707
14.0,0.0036376864314296106
14.0,0.003728628592215351
14.0,0.003819570753001091
14.0,0.0039105129137868315
14.0,0.004001455074572572
14.0,0.004092397235358312
14.0,0.004183339396144053
14.0,0.004274281556929793
14.0,0.0043652237177155325
14.0,0.004456165878501273
14.0,0.004547108039287013
14.0,0.004638050200072754
14.0,0.004728992360858494
14.0,0.004819934521644234
14.0,0.004910876682429974
14.0,0.005001818843215715
14.0,0.005092761004001455
14.0,0.005183703164787196
14.0,0.0052746453255729355
14.0,0.005365587486358676
14.0,0.005456529647144416
14.0,0.005547471807930157
14.0,0.005638413968715897
14.0,0.0057293561295016365
14.0,0.005820298290287377
15.0,0.005911240451073117
15.0,0.006002182611858858
15.0,0.006093124772644598
15.0,0.0061840669334303384
15.0,0.006275009094216078
15.0,0.006365951255001819
15.0,0.006456893415787559
15.0,0.0065478355765733
15.0,0.0066387777373590395
15.0,0.00672971989814478
15.0,0.00682066205893052
15.0,0.006911604219716261
15.0,0.007002546380502001
15.0,0.007093488541287741
15.0,0.007184430702073481
15.0,0.007275372862859221
15.0,0.007366315023644962
15.0,0.007457257184430702
15.0,0.0075481993452164425
15.0,0.007639141506002182
15.0,0.007730083666787923
15.0,0.007821025827573663
15.0,0.007911967988359404
15.0,0.008002910149145144
15.0,0.008093852309930883
15.0,0.008184794470716624
15.0,0.008275736631502365
15.0,0.008366678792288106
15.0,0.008457620953073845
15.0,0.008548563113859585
16.0,0.008639505274645326
16.0,0.008730447435431065
16.0,0.008821389596216806
16.0,0.008912331757002546
16.0,0.009003273917788287
16.0,0.009094216078574026
16.0,0.009185158239359767
16.0,0.009276100400145508
16.0,0.009367042560931248
16.0,0.009457984721716987
16.0,0.009548926882502728
16.0,0.009639869043288469
16.0,0.00973081120407421
16.0,0.009821753364859949
16.0,0.00991269552564569
16.0,0.01000363768643143
16.0,0.010094579847217169
16.0,0.01018552200800291
16.0,0.01027646416878865
16.0,0.010367406329574391
16.0,0.01045834849036013
16.0,0.010549290651145871
16.0,0.010640232811931612
16.0,0.010731174972717352
16.0,0.010822117133503091
16.0,0.010913059294288832
16.0,0.011004001455074573
16.0,0.011094943615860314
16.0,0.011185885776646053
16.0,0.011276827937431793
16.0,0.011367770098217534
16.0,0.011458712259003273
16.0,0.011549654419789014
16.0,0.011640596580574755
16.0,0.011731538741360495
16.0,0.011822480902146234
16.0,0.011913423062931975
16.0,0.012004365223717716
16.0,0.012095307384503456
16.0,0.012186249545289195
16.0,0.012277191706074936
16.0,0.012368133866860677
16.0,0.012459076027646418
16.0,0.012550018188432157
16.0,0.012640960349217897
16.0,0.012731902510003638
16.0,0.012822844670789379
16.0,0.012913786831575118
16.0,0.013004728992360859
16.0,0.0130956711531466
16.0,0.013186613313932338
16.0,0.013277555474718079
16.0,0.01336849763550382
16.0,0.01345943979628956
16.0,0.0135503819570753
16.0,0.01364132411786104
16.0,0.013732266278646781
16.0,0.013823208439432522
16.0,0.01391415060021826
16.0,0.014005092761004001
16.0,0.014096034921789742
16.0,0.014186977082575483
16.0,0.014277919243361222
16.0,0.014368861404146963
16.0,0.014459803564932703
16.0,0.014550745725718442
17.0,0.014641687886504183
17.0,0.014732630047289924
17.0,0.014823572208075664
17.0,0.014914514368861403
17.0,0.015005456529647144
17.0,0.015096398690432885
17.0,0.015187340851218626
17.0,0.015278283012004365
17.0,0.015369225172790105
17.0,0.015460167333575846
17.0,0.015551109494361587
17.0,0.015642051655147326
17.0,0.015732993815933065
17.0,0.015823935976718807
17.0,0.015914878137504546
17.0,0.01600582029829029
17.0,0.016096762459076028
17.0,0.016187704619861767
17.0,0.01627864678064751
17.0,0.016369588941433248
17.0,0.016460531102218987
17.0,0.01655147326300473
17.0,0.01664241542379047
17.0,0.01673335758457621
17.0,0.01682429974536195
17.0,0.01691524190614769
17.0,0.01700618406693343
17.0,0.01709712622771917
17.0,0.01718806838850491
17.0,0.017279010549290652
17.0,0.01736995271007639
17.0,0.01746089487086213
17.0,0.017551837031647873
17.0,0.01764277919243361
17.0,0.017733721353219354
17.0,0.017824663514005093
17.0,0.017915605674790832
17.0,0.018006547835576574
17.0,0.018097489996362313
17.0,0.018188432157148052
17.0,0.018279374317933795
17.0,0.018370316478719534
17.0,0.018461258639505276
17.0,0.018552200800291015
17.0,0.018643142961076754
17.0,0.018734085121862497
17.0,0.018825027282648236
17.0,0.018915969443433975
17.0,0.019006911604219717
17.0,0.019097853765005456
17.0,0.019188795925791195
17.0,0.019279738086576938
17.0,0.019370680247362677
17.0,0.01946162240814842
17.0,0.019552564568934158
17.0,0.019643506729719897
17.0,0.01973444889050564
17.0,0.01982539105129138
17.0,0.019916333212077118
17.0,0.02000727537286286
