request_inter_arrival_delay,cdf
0.006684541702270508,0.00023803856224708403
0.009557247161865234,0.00047607712449416806
0.010827064514160156,0.0007141156867412521
0.010857820510864258,0.0009521542489883361
0.010868072509765625,0.00119019281123542
0.010868549346923828,0.0014282313734825041
0.010883569717407227,0.0016662699357295882
0.010888099670410156,0.0019043084979766722
0.01088857650756836,0.0021423470602237563
0.01089620590209961,0.00238038562247084
0.010896682739257812,0.0026184241847179244
0.01090097427368164,0.0028564627469650082
0.010904550552368164,0.0030945013092120925
0.01091146469116211,0.0033325398714591763
0.010914325714111328,0.0035705784337062606
0.010916948318481445,0.0038086169959533444
0.010920524597167969,0.004046655558200428
0.010921955108642578,0.0042846941204475126
0.010925531387329102,0.004522732682694597
0.01092672348022461,0.00476077124494168
0.010940313339233398,0.0049988098071887645
0.010941505432128906,0.005236848369435849
0.010967731475830078,0.005474886931682933
0.010980844497680664,0.0057129254939300165
0.011188745498657227,0.005950964056177101
0.011522054672241211,0.006189002618424185
0.011643409729003906,0.006427041180671268
0.011643648147583008,0.006665079742918353
0.011654138565063477,0.006903118305165437
0.011657238006591797,0.007141156867412521
0.01166677474975586,0.007379195429659605
0.011669397354125977,0.007617233991906689
0.011676311492919922,0.007855272554153773
0.011677742004394531,0.008093311116400857
0.011679410934448242,0.008331349678647942
0.011683940887451172,0.008569388240895025
0.011685848236083984,0.008807426803142109
0.011687278747558594,0.009045465365389194
0.011687755584716797,0.009283503927636277
0.011688470840454102,0.00952154248988336
0.011690139770507812,0.009759581052130446
0.011690139770507812,0.009997619614377529
0.011692285537719727,0.010235658176624612
0.011695384979248047,0.010473696738871698
0.011696100234985352,0.010711735301118781
0.011698007583618164,0.010949773863365866
0.011698722839355469,0.01118781242561295
0.011699676513671875,0.011425850987860033
0.011700153350830078,0.011663889550107118
0.011703968048095703,0.011901928112354201
0.01170492172241211,0.012139966674601285
0.01170659065246582,0.01237800523684837
0.01170659065246582,0.012616043799095453
0.011707305908203125,0.012854082361342537
0.01170802116394043,0.013092120923589622
0.011709451675415039,0.013330159485836705
0.01170969009399414,0.013568198048083789
0.011710166931152344,0.013806236610330874
0.011710643768310547,0.014044275172577957
0.011710882186889648,0.014282313734825042
0.011710882186889648,0.014520352297072126
0.011710882186889648,0.01475839085931921
0.011714935302734375,0.014996429421566294
0.011715888977050781,0.015234467983813378
0.011717557907104492,0.015472506546060461
0.011718034744262695,0.015710545108307546
0.011721134185791016,0.01594858367055463
0.011721372604370117,0.016186622232801713
0.011721372604370117,0.0164246607950488
0.011724233627319336,0.016662699357295883
0.011724233627319336,0.016900737919542965
0.011724233627319336,0.01713877648179005
0.011724472045898438,0.017376815044037135
0.011725902557373047,0.017614853606284217
0.01172637939453125,0.017852892168531302
0.011726617813110352,0.018090930730778387
0.01172780990600586,0.01832896929302547
0.011729001998901367,0.018567007855272554
0.011729717254638672,0.01880504641751964
0.011731147766113281,0.01904308497976672
0.011731386184692383,0.019281123542013806
0.011731624603271484,0.01951916210426089
0.011732339859008789,0.019757200666507973
0.011732339859008789,0.019995239228755058
0.01173257827758789,0.020233277791002143
0.011733531951904297,0.020471316353249225
0.011736631393432617,0.02070935491549631
0.011737346649169922,0.020947393477743395
0.011737823486328125,0.021185432039990477
0.011738777160644531,0.021423470602237562
0.011740684509277344,0.021661509164484647
0.011740922927856445,0.021899547726731732
0.011741161346435547,0.022137586288978814
0.011742591857910156,0.0223756248512259
0.011743545532226562,0.022613663413472984
