batch_num_decode_tokens,cdf
0.0,9.094216078574027e-05
0.0,0.00018188432157148054
0.0,0.0002728264823572208
6.0,0.0003637686431429611
6.0,0.0004547108039287013
6.0,0.0005456529647144416
6.0,0.0006365951255001819
6.0,0.0007275372862859222
6.0,0.0008184794470716625
6.0,0.0009094216078574026
6.0,0.001000363768643143
6.0,0.0010913059294288831
6.0,0.0011822480902146234
8.0,0.0012731902510003637
11.0,0.001364132411786104
12.0,0.0014550745725718443
12.0,0.0015460167333575846
12.0,0.001636958894143325
12.0,0.0017279010549290652
12.0,0.0018188432157148053
12.0,0.0019097853765005456
12.0,0.002000727537286286
12.0,0.0020916696980720264
12.0,0.0021826118588577663
13.0,0.0022735540196435066
13.0,0.002364496180429247
13.0,0.002455438341214987
13.0,0.0025463805020007274
13.0,0.0026373226627864677
13.0,0.002728264823572208
13.0,0.0028192069843579483
13.0,0.0029101491451436886
13.0,0.003001091305929429
13.0,0.0030920334667151692
13.0,0.0031829756275009095
13.0,0.00327391778828665
13.0,0.00336485994907239
14.0,0.0034558021098581304
14.0,0.0035467442706438707
14.0,0.0036376864314296106
14.0,0.003728628592215351
14.0,0.003819570753001091
14.0,0.0039105129137868315
14.0,0.004001455074572572
14.0,0.004092397235358312
14.0,0.004183339396144053
14.0,0.004274281556929793
14.0,0.0043652237177155325
14.0,0.004456165878501273
14.0,0.004547108039287013
14.0,0.004638050200072754
14.0,0.004728992360858494
14.0,0.004819934521644234
14.0,0.004910876682429974
14.0,0.005001818843215715
14.0,0.005092761004001455
14.0,0.005183703164787196
14.0,0.0052746453255729355
14.0,0.005365587486358676
14.0,0.005456529647144416
14.0,0.005547471807930157
14.0,0.005638413968715897
14.0,0.0057293561295016365
14.0,0.005820298290287377
14.0,0.005911240451073117
14.0,0.006002182611858858
14.0,0.006093124772644598
14.0,0.0061840669334303384
14.0,0.006275009094216078
14.0,0.006365951255001819
14.0,0.006456893415787559
14.0,0.0065478355765733
14.0,0.0066387777373590395
14.0,0.00672971989814478
14.0,0.00682066205893052
14.0,0.006911604219716261
14.0,0.007002546380502001
14.0,0.007093488541287741
14.0,0.007184430702073481
14.0,0.007275372862859221
14.0,0.007366315023644962
14.0,0.007457257184430702
14.0,0.0075481993452164425
14.0,0.007639141506002182
14.0,0.007730083666787923
14.0,0.007821025827573663
14.0,0.007911967988359404
14.0,0.008002910149145144
14.0,0.008093852309930883
14.0,0.008184794470716624
14.0,0.008275736631502365
14.0,0.008366678792288106
14.0,0.008457620953073845
14.0,0.008548563113859585
14.0,0.008639505274645326
14.0,0.008730447435431065
14.0,0.008821389596216806
14.0,0.008912331757002546
14.0,0.009003273917788287
14.0,0.009094216078574026
14.0,0.009185158239359767
14.0,0.009276100400145508
14.0,0.009367042560931248
14.0,0.009457984721716987
15.0,0.009548926882502728
15.0,0.009639869043288469
15.0,0.00973081120407421
15.0,0.009821753364859949
15.0,0.00991269552564569
15.0,0.01000363768643143
15.0,0.010094579847217169
15.0,0.01018552200800291
15.0,0.01027646416878865
15.0,0.010367406329574391
15.0,0.01045834849036013
15.0,0.010549290651145871
15.0,0.010640232811931612
15.0,0.010731174972717352
15.0,0.010822117133503091
