request_e2e_time_normalized,cdf
0.031765591353178024,0.00024108003857280618
0.031923770904541016,0.00048216007714561236
0.031925782561302185,0.0007232401157184186
0.0328579843044281,0.0009643201542912247
0.03357333689928055,0.0012054001928640309
0.03383488953113556,0.0014464802314368371
0.03383877873420715,0.0016875602700096432
0.034733086824417114,0.0019286403085824494
0.034832991659641266,0.0021697203471552555
0.03496673330664635,0.0024108003857280617
0.03501729294657707,0.002651880424300868
0.0351799800992012,0.0028929604628736743
0.03528617322444916,0.00313404050144648
0.035801541060209274,0.0033751205400192863
0.036243464797735214,0.0036162005785920926
0.03659834340214729,0.003857280617164899
0.03690517321228981,0.004098360655737705
0.03714064136147499,0.004339440694310511
0.03723440691828728,0.004580520732883318
0.0373014435172081,0.0048216007714561235
0.03745241463184357,0.005062680810028929
0.0380229614675045,0.005303760848601736
0.03831440955400467,0.005544840887174542
0.03837171569466591,0.0057859209257473485
0.038625046610832214,0.006027000964320154
0.038644492626190186,0.00626808100289296
0.039176106452941895,0.006509161041465767
0.03927016258239746,0.006750241080038573
0.040110211819410324,0.006991321118611379
0.04012194275856018,0.007232401157184185
0.0401512086391449,0.007473481195756991
0.040312401950359344,0.007714561234329798
0.040464047342538834,0.007955641272902604
0.04049436002969742,0.00819672131147541
0.04064342379570007,0.008437801350048216
0.04065415635704994,0.008678881388621022
0.04066593199968338,0.008919961427193828
0.04072287678718567,0.009161041465766635
0.04090432822704315,0.009402121504339441
0.04102969914674759,0.009643201542912247
0.04128716140985489,0.009884281581485053
0.04164481163024902,0.010125361620057859
0.041737042367458344,0.010366441658630666
0.04181747883558273,0.010607521697203472
0.042496245354413986,0.010848601735776278
0.04251255840063095,0.011089681774349084
0.04300455003976822,0.01133076181292189
0.04314913973212242,0.011571841851494697
0.04319232329726219,0.011812921890067503
0.043348681181669235,0.012054001928640309
0.043398432433605194,0.012295081967213115
0.04390382021665573,0.01253616200578592
0.04397575929760933,0.012777242044358728
0.043998412787914276,0.013018322082931534
0.04412658140063286,0.01325940212150434
0.04437987878918648,0.013500482160077145
0.04440782219171524,0.013741562198649951
0.0450446717441082,0.013982642237222759
0.04507124423980713,0.014223722275795565
0.04519152641296387,0.01446480231436837
0.04537036642432213,0.014705882352941176
0.045870523899793625,0.014946962391513982
0.04638894274830818,0.01518804243008679
0.046714022755622864,0.015429122468659595
0.04773829132318497,0.0156702025072324
0.04778013378381729,0.01591128254580521
0.04781501367688179,0.016152362584378015
0.048103123903274536,0.01639344262295082
0.04839732497930527,0.016634522661523626
0.04855112358927727,0.016875602700096432
0.048902299255132675,0.017116682738669238
0.049109090119600296,0.017357762777242044
0.04914499446749687,0.01759884281581485
0.05025557428598404,0.017839922854387655
0.05068516358733177,0.01808100289296046
0.05083717405796051,0.01832208293153327
0.05124630779027939,0.018563162970106076
0.05136116221547127,0.018804243008678882
0.05149896815419197,0.019045323047251688
0.0517343208193779,0.019286403085824494
0.051933400332927704,0.0195274831243973
0.0521809346973896,0.019768563162970106
0.052305642515420914,0.02000964320154291
0.05282862111926079,0.020250723240115717
0.05310020223259926,0.020491803278688523
0.053292166441679,0.020732883317261332
0.053296033293008804,0.020973963355834138
0.05343408137559891,0.021215043394406944
0.053448792546987534,0.02145612343297975
0.05381665751338005,0.021697203471552556
0.054037030786275864,0.02193828351012536
0.05460558459162712,0.022179363548698167
0.05551685765385628,0.022420443587270973
0.05703188106417656,0.02266152362584378
0.05732408165931702,0.022902603664416585
0.060007378458976746,0.023143683702989394
0.0609917975962162,0.0233847637415622
0.06150039657950401,0.023625843780135006
0.06211921572685242,0.02386692381870781
0.06246234476566315,0.024108003857280617
0.06262266635894775,0.024349083895853423
0.06272520124912262,0.02459016393442623
0.06273404508829117,0.024831243972999035
0.06280672550201416,0.02507232401157184
0.06280852109193802,0.025313404050144647
0.06282373517751694,0.025554484088717456
0.06314892321825027,0.02579556412729026
0.06318029016256332,0.026036644165863067
0.06326773762702942,0.026277724204435873
0.06330043077468872,0.02651880424300868
0.06331519037485123,0.026759884281581485
0.06337757408618927,0.02700096432015429
0.06338459253311157,0.027242044358727097
0.0634172260761261,0.027483124397299902
0.06342127919197083,0.02772420443587271
0.06342896819114685,0.027965284474445518
0.06350913643836975,0.028206364513018323
0.06353237479925156,0.02844744455159113
0.06363707035779953,0.028688524590163935
0.06367897987365723,0.02892960462873674
0.06367942690849304,0.029170684667309547
0.06368879228830338,0.029411764705882353
0.06383534520864487,0.02965284474445516
0.06386253982782364,0.029893924783027964
0.06393158435821533,0.03013500482160077
0.06404098868370056,0.03037608486017358
0.06410489976406097,0.030617164898746385
0.06410644203424454,0.03085824493731919
0.06417237222194672,0.031099324975891997
0.064200259745121,0.0313404050144648
0.06422349065542221,0.03158148505303761
0.06422843039035797,0.03182256509161042
0.06429510563611984,0.03206364513018322
0.06430497765541077,0.03230472516875603
0.0643773153424263,0.03254580520732883
0.06440962105989456,0.03278688524590164
0.06443869322538376,0.03302796528447444
0.06445257365703583,0.03326904532304725
0.06445448100566864,0.033510125361620055
0.06450843811035156,0.033751205400192864
0.06451012194156647,0.033992285438765674
0.06454584002494812,0.034233365477338476
0.06457146257162094,0.034474445515911285
0.06459702551364899,0.03471552555448409
0.06460850685834885,0.0349566055930569
0.06462173908948898,0.0351976856316297
0.06462899595499039,0.03543876567020251
0.06463535875082016,0.03567984570877531
0.06465029716491699,0.03592092574734812
0.0646548643708229,0.03616200578592092
0.06469200551509857,0.03640308582449373
0.06469709426164627,0.03664416586306654
0.06470045447349548,0.036885245901639344
0.06472766399383545,0.03712632594021215
0.06474411487579346,0.037367405978784955
0.06475727260112762,0.037608486017357765
0.06475742161273956,0.03784956605593057
0.06477999687194824,0.038090646094503376
0.06482653319835663,0.03833172613307618
0.06484615802764893,0.03857280617164899
0.06487175822257996,0.03881388621022179
0.06489771604537964,0.0390549662487946
0.06489933282136917,0.03929604628736741
0.06492161005735397,0.03953712632594021
0.06493522226810455,0.03977820636451302
0.06494437158107758,0.04001928640308582
0.0649605542421341,0.04026036644165863
0.06498949229717255,0.040501446480231434
0.0650227963924408,0.040742526518804244
0.06502757966518402,0.040983606557377046
