COUNT,Count,Percentage
1343.2535,1870,45.08196721311475
1925.3200000000002,747,18.008678881388622
2500.2,341,8.22082931533269
3075.08,259,6.24397299903568
3649.96,144,3.471552555448409
4224.84,174,4.1947926711668275
4799.719999999999,131,3.158148505303761
5374.6,115,2.772420443587271
5949.48,79,1.9045323047251688
6524.360000000001,70,1.6875602700096433
7099.24,46,1.1089681774349085
7674.120000000001,41,0.9884281581485053
8249.0,28,0.6750241080038573
8823.880000000001,11,0.2651880424300868
9398.76,19,0.45805207328833175
9973.64,14,0.33751205400192863
10548.52,18,0.4339440694310511
11123.4,10,0.24108003857280616
11698.279999999999,6,0.1446480231436837
12273.16,8,0.19286403085824494
12848.04,6,0.1446480231436837
13997.8,5,0.12054001928640308
