COUNT,Count,Percentage
1315.5515,2187,52.72420443587271
1896.16,446,10.752169720347155
2469.6000000000004,362,8.727097396335584
3043.04,230,5.544840887174542
3616.48,140,3.3751205400192865
4189.92,181,4.363548698167792
4763.360000000001,129,3.1099324975891998
5336.8,118,2.844744455159113
5910.24,105,2.531340405014465
6483.68,47,1.133076181292189
7057.12,39,0.940212150433944
7630.5599999999995,39,0.940212150433944
8204.0,23,0.5544840887174542
8777.439999999999,13,0.313404050144648
9350.880000000001,16,0.3857280617164899
9924.32,16,0.3857280617164899
10497.76,21,0.506268081002893
11071.2,6,0.1446480231436837
11644.64,5,0.12054001928640308
12218.08,8,0.19286403085824494
12791.52,8,0.19286403085824494
13938.400000000001,5,0.12054001928640308
