prefill_e2e_time_normalized,cdf
1.9621978935902007e-05,0.00024108003857280618
2.0971028789062984e-05,0.00048216007714561236
2.620073610160034e-05,0.0007232401157184186
2.628092079248745e-05,0.0009643201542912247
2.835567283909768e-05,0.0012054001928640309
2.8542444852064364e-05,0.0014464802314368371
2.8741715141222812e-05,0.0016875602700096432
3.022769305971451e-05,0.0019286403085824494
3.269990338594653e-05,0.0021697203471552555
3.343198841321282e-05,0.0024108003857280617
3.550826295395382e-05,0.002651880424300868
3.574731817934662e-05,0.0028929604628736743
3.59238802047912e-05,0.00313404050144648
3.6479192203842103e-05,0.0033751205400192863
3.700558590935543e-05,0.0036162005785920926
3.736740836757235e-05,0.003857280617164899
3.7511344999074936e-05,0.004098360655737705
3.788024696405046e-05,0.004339440694310511
3.867388659273274e-05,0.004580520732883318
3.8993486668914557e-05,0.0048216007714561235
3.904548066202551e-05,0.005062680810028929
3.9457310776924714e-05,0.005303760848601736
4.037505277665332e-05,0.005544840887174542
4.058211197843775e-05,0.0057859209257473485
4.102947059436701e-05,0.006027000964320154
4.193929271423258e-05,0.00626808100289296
4.375089338282123e-05,0.006509161041465767
4.423424252308905e-05,0.006750241080038573
4.4900403736392036e-05,0.006991321118611379
4.5325385144678876e-05,0.007232401157184185
4.575549974106252e-05,0.007473481195756991
4.635788354789838e-05,0.007714561234329798
4.682818325818516e-05,0.007955641272902604
4.7475445171585307e-05,0.00819672131147541
4.760723459185101e-05,0.008437801350048216
4.7827561502344906e-05,0.008678881388621022
4.786139470525086e-05,0.008919961427193828
4.814562271349132e-05,0.009161041465766635
4.829771933145821e-05,0.009402121504339441
4.8358044296037406e-05,0.009643201542912247
4.84419142594561e-05,0.009884281581485053
4.8455451178597286e-05,0.010125361620057859
4.895289384876378e-05,0.010366441658630666
4.902633008896373e-05,0.010607521697203472
4.927867485093884e-05,0.010848601735776278
4.931439980282448e-05,0.011089681774349084
4.9330883484799415e-05,0.01133076181292189
4.9451831728219986e-05,0.011571841851494697
4.946344779455103e-05,0.011812921890067503
4.970173176843673e-05,0.012054001928640309
4.974206967744976e-05,0.012295081967213115
4.975422780262306e-05,0.01253616200578592
5.044167846790515e-05,0.012777242044358728
5.04680720041506e-05,0.013018322082931534
5.098464680486359e-05,0.01325940212150434
5.112737926538102e-05,0.013500482160077145
5.117254477227107e-05,0.013741562198649951
5.1400773372733966e-05,0.013982642237222759
5.1539787818910554e-05,0.014223722275795565
5.170956865185872e-05,0.01446480231436837
5.234093259787187e-05,0.014705882352941176
5.252384289633483e-05,0.014946962391513982
5.260408215690404e-05,0.01518804243008679
5.266863081487827e-05,0.015429122468659595
5.29050303157419e-05,0.0156702025072324
5.3084648243384436e-05,0.01591128254580521
5.333192166290246e-05,0.016152362584378015
5.337165930541232e-05,0.01639344262295082
5.337507900549099e-05,0.016634522661523626
5.4025240388000384e-05,0.016875602700096432
5.412999234977178e-05,0.017116682738669238
5.4386022384278476e-05,0.017357762777242044
5.4465068387798965e-05,0.01759884281581485
5.451315882964991e-05,0.017839922854387655
5.47096788068302e-05,0.01808100289296046
5.4855263442732394e-05,0.01832208293153327
5.5603726650588214e-05,0.018563162970106076
5.5631033319514245e-05,0.018804243008678882
5.567327025346458e-05,0.019045323047251688
5.572834561462514e-05,0.019286403085824494
5.596957271336578e-05,0.0195274831243973
5.6082284572767094e-05,0.019768563162970106
5.649148442898877e-05,0.02000964320154291
5.7124972954625264e-05,0.020250723240115717
5.72253338759765e-05,0.020491803278688523
5.7566303439671174e-05,0.020732883317261332
5.7906658184947446e-05,0.020973963355834138
5.797220001113601e-05,0.021215043394406944
5.8059067669091746e-05,0.02145612343297975
5.8457429986447096e-05,0.021697203471552556
5.856395000591874e-05,0.02193828351012536
