REQUEST_RUNTIME,SECONDS
request_e2e_time,36499.015625
request_inter_arrival_delay,753.4495849609375
request_e2e_time_normalized,393.2382507324219
request_e2e_time_piecewise_normalized,5619.05712890625
request_execution_time,29857.248046875
request_execution_time_normalized,294.59051513671875
request_preemption_time,1329.774169921875
request_scheduling_delay,5311.93603515625
request_execution_plus_preemption_time,31186.966796875
request_execution_plus_preemption_time_normalized,307.1278076171875
prefill_e2e_time,6374.99755859375
prefill_e2e_time_normalized,3.390970468521118
prefill_e2e_time_piecewise_normalized,5312.39013671875
prefill_time_execution_plus_preemption,1063.059814453125
prefill_time_execution_plus_preemption_normalized,0.44414451718330383
decode_time_execution_plus_preemption_normalized,292.6099548339844
