batch_num_tokens,cdf
6.0,9.094216078574027e-05
6.0,0.00018188432157148054
6.0,0.0002728264823572208
6.0,0.0003637686431429611
6.0,0.0004547108039287013
6.0,0.0005456529647144416
6.0,0.0006365951255001819
6.0,0.0007275372862859222
6.0,0.0008184794470716625
14.0,0.0009094216078574026
14.0,0.001000363768643143
14.0,0.0010913059294288831
14.0,0.0011822480902146234
14.0,0.0012731902510003637
14.0,0.001364132411786104
14.0,0.0014550745725718443
14.0,0.0015460167333575846
14.0,0.001636958894143325
14.0,0.0017279010549290652
14.0,0.0018188432157148053
14.0,0.0019097853765005456
14.0,0.002000727537286286
14.0,0.0020916696980720264
14.0,0.0021826118588577663
14.0,0.0022735540196435066
14.0,0.002364496180429247
14.0,0.002455438341214987
14.0,0.0025463805020007274
14.0,0.0026373226627864677
14.0,0.002728264823572208
14.0,0.0028192069843579483
14.0,0.0029101491451436886
14.0,0.003001091305929429
14.0,0.0030920334667151692
14.0,0.0031829756275009095
14.0,0.00327391778828665
14.0,0.00336485994907239
17.0,0.0034558021098581304
17.0,0.0035467442706438707
17.0,0.0036376864314296106
17.0,0.003728628592215351
18.0,0.003819570753001091
18.0,0.0039105129137868315
18.0,0.004001455074572572
18.0,0.004092397235358312
18.0,0.004183339396144053
18.0,0.004274281556929793
18.0,0.0043652237177155325
19.0,0.004456165878501273
19.0,0.004547108039287013
19.0,0.004638050200072754
19.0,0.004728992360858494
19.0,0.004819934521644234
19.0,0.004910876682429974
19.0,0.005001818843215715
19.0,0.005092761004001455
19.0,0.005183703164787196
19.0,0.0052746453255729355
19.0,0.005365587486358676
20.0,0.005456529647144416
20.0,0.005547471807930157
20.0,0.005638413968715897
20.0,0.0057293561295016365
20.0,0.005820298290287377
20.0,0.005911240451073117
20.0,0.006002182611858858
20.0,0.006093124772644598
20.0,0.0061840669334303384
20.0,0.006275009094216078
20.0,0.006365951255001819
20.0,0.006456893415787559
20.0,0.0065478355765733
20.0,0.0066387777373590395
20.0,0.00672971989814478
20.0,0.00682066205893052
20.0,0.006911604219716261
20.0,0.007002546380502001
21.0,0.007093488541287741
21.0,0.007184430702073481
21.0,0.007275372862859221
21.0,0.007366315023644962
21.0,0.007457257184430702
22.0,0.0075481993452164425
22.0,0.007639141506002182
22.0,0.007730083666787923
22.0,0.007821025827573663
22.0,0.007911967988359404
22.0,0.008002910149145144
22.0,0.008093852309930883
22.0,0.008184794470716624
22.0,0.008275736631502365
22.0,0.008366678792288106
22.0,0.008457620953073845
22.0,0.008548563113859585
22.0,0.008639505274645326
24.0,0.008730447435431065
25.0,0.008821389596216806
25.0,0.008912331757002546
25.0,0.009003273917788287
25.0,0.009094216078574026
26.0,0.009185158239359767
26.0,0.009276100400145508
26.0,0.009367042560931248
26.0,0.009457984721716987
27.0,0.009548926882502728
27.0,0.009639869043288469
27.0,0.00973081120407421
27.0,0.009821753364859949
27.0,0.00991269552564569
27.0,0.01000363768643143
27.0,0.010094579847217169
28.0,0.01018552200800291
30.0,0.01027646416878865
32.0,0.010367406329574391
32.0,0.01045834849036013
33.0,0.010549290651145871
33.0,0.010640232811931612
33.0,0.010731174972717352
33.0,0.010822117133503091
33.0,0.010913059294288832
33.0,0.011004001455074573
33.0,0.011094943615860314
33.0,0.011185885776646053
33.0,0.011276827937431793
33.0,0.011367770098217534
34.0,0.011458712259003273
34.0,0.011549654419789014
34.0,0.011640596580574755
34.0,0.011731538741360495
34.0,0.011822480902146234
34.0,0.011913423062931975
34.0,0.012004365223717716
34.0,0.012095307384503456
34.0,0.012186249545289195
35.0,0.012277191706074936
35.0,0.012368133866860677
35.0,0.012459076027646418
35.0,0.012550018188432157
36.0,0.012640960349217897
36.0,0.012731902510003638
36.0,0.012822844670789379
36.0,0.012913786831575118
36.0,0.013004728992360859
36.0,0.0130956711531466
36.0,0.013186613313932338
36.0,0.013277555474718079
36.0,0.01336849763550382
37.0,0.01345943979628956
37.0,0.0135503819570753
37.0,0.01364132411786104
37.0,0.013732266278646781
37.0,0.013823208439432522
38.0,0.01391415060021826
38.0,0.014005092761004001
39.0,0.014096034921789742
39.0,0.014186977082575483
39.0,0.014277919243361222
39.0,0.014368861404146963
40.0,0.014459803564932703
41.0,0.014550745725718442
41.0,0.014641687886504183
41.0,0.014732630047289924
42.0,0.014823572208075664
42.0,0.014914514368861403
42.0,0.015005456529647144
42.0,0.015096398690432885
43.0,0.015187340851218626
43.0,0.015278283012004365
44.0,0.015369225172790105
44.0,0.015460167333575846
44.0,0.015551109494361587
44.0,0.015642051655147326
44.0,0.015732993815933065
47.0,0.015823935976718807
47.0,0.015914878137504546
47.0,0.01600582029829029
48.0,0.016096762459076028
48.0,0.016187704619861767
48.0,0.01627864678064751
48.0,0.016369588941433248
48.0,0.016460531102218987
49.0,0.01655147326300473
49.0,0.01664241542379047
49.0,0.01673335758457621
49.0,0.01682429974536195
49.0,0.01691524190614769
50.0,0.01700618406693343
50.0,0.01709712622771917
50.0,0.01718806838850491
50.0,0.017279010549290652
50.0,0.01736995271007639
50.0,0.01746089487086213
50.0,0.017551837031647873
50.0,0.01764277919243361
55.0,0.017733721353219354
55.0,0.017824663514005093
56.0,0.017915605674790832
57.0,0.018006547835576574
57.0,0.018097489996362313
60.0,0.018188432157148052
60.0,0.018279374317933795
61.0,0.018370316478719534
61.0,0.018461258639505276
62.0,0.018552200800291015
62.0,0.018643142961076754
64.0,0.018734085121862497
65.0,0.018825027282648236
65.0,0.018915969443433975
70.0,0.019006911604219717
72.0,0.019097853765005456
72.0,0.019188795925791195
83.0,0.019279738086576938
87.0,0.019370680247362677
124.0,0.01946162240814842
129.0,0.019552564568934158
181.0,0.019643506729719897
501.0,0.01973444889050564
502.0,0.01982539105129138
506.0,0.019916333212077118
507.0,0.02000727537286286
507.0,0.0200982175336486
508.0,0.020189159694434338
508.0,0.02028010185522008
509.0,0.02037104401600582
509.0,0.020461986176791562
510.0,0.0205529283375773
510.0,0.02064387049836304
512.0,0.020734812659148782
512.0,0.02082575481993452
512.0,0.02091669698072026
512.0,0.021007639141506003
512.0,0.021098581302291742
512.0,0.021189523463077484
512.0,0.021280465623863223
512.0,0.021371407784648962
512.0,0.021462349945434705
512.0,0.021553292106220444
512.0,0.021644234267006183
512.0,0.021735176427791925
512.0,0.021826118588577664
512.0,0.021917060749363403
512.0,0.022008002910149146
512.0,0.022098945070934885
512.0,0.022189887231720627
512.0,0.022280829392506366
512.0,0.022371771553292105
512.0,0.022462713714077848
512.0,0.022553655874863587
512.0,0.022644598035649326
512.0,0.022735540196435068
512.0,0.022826482357220807
512.0,0.022917424518006546
512.0,0.02300836667879229
512.0,0.023099308839578028
512.0,0.02319025100036377
512.0,0.02328119316114951
512.0,0.023372135321935248
512.0,0.02346307748272099
512.0,0.02355401964350673
512.0,0.02364496180429247
512.0,0.02373590396507821
512.0,0.02382684612586395
512.0,0.023917788286649692
512.0,0.02400873044743543
512.0,0.02409967260822117
512.0,0.024190614769006913
512.0,0.024281556929792652
512.0,0.02437249909057839
512.0,0.024463441251364133
512.0,0.024554383412149872
512.0,0.02464532557293561
512.0,0.024736267733721354
512.0,0.024827209894507093
512.0,0.024918152055292835
512.0,0.025009094216078574
512.0,0.025100036376864313
512.0,0.025190978537650056
512.0,0.025281920698435795
512.0,0.025372862859221534
512.0,0.025463805020007276
512.0,0.025554747180793015
512.0,0.025645689341578758
512.0,0.025736631502364497
512.0,0.025827573663150236
512.0,0.025918515823935978
512.0,0.026009457984721717
512.0,0.026100400145507456
512.0,0.0261913423062932
512.0,0.026282284467078938
512.0,0.026373226627864677
512.0,0.02646416878865042
512.0,0.026555110949436158
512.0,0.0266460531102219
512.0,0.02673699527100764
512.0,0.02682793743179338
512.0,0.02691887959257912
512.0,0.02700982175336486
512.0,0.0271007639141506
512.0,0.02719170607493634
512.0,0.02728264823572208
512.0,0.02737359039650782
512.0,0.027464532557293562
512.0,0.0275554747180793
512.0,0.027646416878865043
