request_e2e_time_piecewise_normalized,cdf
0.07060759514570236,0.0006583278472679394
0.07602812349796295,0.0013166556945358788
0.08545202761888504,0.0019749835418038184
0.08714406937360764,0.0026333113890717576
0.08926190435886383,0.0032916392363396972
0.08938457071781158,0.003949967083607637
0.09006426483392715,0.004608294930875576
0.09316881000995636,0.005266622778143515
0.09393946826457977,0.005924950625411455
0.09696614742279053,0.0065832784726793945
0.09928429871797562,0.007241606319947334
0.09960661828517914,0.007899934167215274
0.10064685344696045,0.008558262014483212
0.1007722020149231,0.009216589861751152
0.1024000495672226,0.009874917709019092
0.10336397588253021,0.01053324555628703
0.10405053943395615,0.01119157340355497
0.10411481559276581,0.01184990125082291
0.10579600185155869,0.012508229098090849
0.10758324712514877,0.013166556945358789
0.10838981717824936,0.013824884792626729
0.10896658897399902,0.014483212639894667
0.10908538848161697,0.015141540487162607
0.10979445278644562,0.015799868334430547
0.10988205671310425,0.016458196181698487
0.1099015399813652,0.017116524028966424
0.11025083065032959,0.017774851876234364
0.11066058278083801,0.018433179723502304
0.11086197197437286,0.019091507570770244
0.11087018251419067,0.019749835418038184
0.11101828515529633,0.02040816326530612
0.11116398125886917,0.02106649111257406
0.11136678606271744,0.021724818959842
0.11148872971534729,0.02238314680710994
0.11195351183414459,0.02304147465437788
0.11263804137706757,0.02369980250164582
0.11314097791910172,0.024358130348913758
0.11318574100732803,0.025016458196181698
0.11323722451925278,0.025674786043449638
0.11335381120443344,0.026333113890717578
0.11371121555566788,0.026991441737985518
0.1145087480545044,0.027649769585253458
0.11466485261917114,0.028308097432521395
0.11475870013237,0.028966425279789335
0.1151323914527893,0.029624753127057275
0.11788130551576614,0.030283080974325215
0.11791619658470154,0.030941408821593155
0.11890032142400742,0.031599736668861095
0.1198267787694931,0.03225806451612903
0.12011712044477463,0.032916392363396975
0.12026765942573547,0.03357472021066491
0.12037301063537598,0.03423304805793285
0.1208544671535492,0.03489137590520079
0.12086273729801178,0.03554970375246873
0.12384903430938721,0.03620803159973667
0.12434098869562149,0.03686635944700461
0.12488444149494171,0.037524687294272545
0.1251935064792633,0.03818301514154049
0.12579870223999023,0.038841342988808425
0.12715452909469604,0.03949967083607637
0.1278279572725296,0.040157998683344305
0.12812964618206024,0.04081632653061224
