SECONDS,request_completed
-18.470216751098633,1.0
-18.378053903579712,2.0
-17.0578715801239,3.0
-16.73215389251709,4.0
-16.67380428314209,5.0
-16.450765132904053,6.0
-16.19505476951599,7.0
-16.04580807685852,8.0
-15.941872358322144,9.0
-15.753161430358887,10.0
-15.59896469116211,11.0
-15.545506477355957,12.0
-15.394072771072388,13.0
-15.298850059509277,14.0
-15.076822280883789,15.0
-14.772216796875,16.0
-14.772033452987671,17.0
-14.750385522842407,18.0
-14.676487922668457,19.0
-14.543583154678345,20.0
-14.378202438354492,21.0
-14.354241609573364,22.0
-11.75307297706604,23.0
-11.593700647354126,24.0
-10.64806866645813,25.0
-10.461098194122314,26.0
-10.337012767791748,27.0
-10.16517448425293,28.0
-10.113632678985596,29.0
-10.057803869247437,30.0
-10.007157325744629,31.0
-9.953462600708008,32.0
-9.85057282447815,33.0
-9.693634748458862,34.0
-9.520182847976685,35.0
-8.981368780136108,36.0
-8.229682207107544,37.0
-8.229242086410522,38.0
-7.8728930950164795,39.0
-7.3025524616241455,40.0
-7.110478639602661,41.0
-4.597844123840332,42.0
-3.42852520942688,43.0
-3.210139751434326,44.0
-2.8689467906951904,45.0
-2.375460386276245,46.0
-2.375131130218506,47.0
-1.9251813888549805,48.0
-1.4546802043914795,49.0
-0.8212511539459229,50.0
-0.43952155113220215,51.0
1.2327449321746826,52.0
1.4750087261199951,53.0
5.511127471923828,54.0
5.77967643737793,55.0
5.7806267738342285,56.0
7.6525795459747314,57.0
7.6543519496917725,58.0
8.02636981010437,59.0
8.690798282623291,60.0
8.757544994354248,61.0
9.458660364151001,62.0
9.611620903015137,63.0
10.001476526260376,64.0
10.206703901290894,65.0
10.510103702545166,66.0
10.653874397277832,67.0
10.654266595840454,68.0
10.9459547996521,69.0
11.00689435005188,70.0
11.202999830245972,71.0
11.421731948852539,72.0
11.686851024627686,73.0
11.750916957855225,74.0
11.81490969657898,75.0
12.910100221633911,76.0
13.035132884979248,77.0
13.730849027633667,78.0
14.49527096748352,79.0
14.571152925491333,80.0
14.715234279632568,81.0
14.783610105514526,82.0
14.843072175979614,83.0
14.910831689834595,84.0
15.555493116378784,85.0
16.04297685623169,86.0
16.109735012054443,87.0
16.622915029525757,88.0
16.76318669319153,89.0
16.763590574264526,90.0
17.268879652023315,91.0
17.49133825302124,92.0
17.492933988571167,93.0
17.55070948600769,94.0
17.686763525009155,95.0
17.686912775039673,96.0
17.769481420516968,97.0
17.902662754058838,98.0
17.976230144500732,99.0
18.101563930511475,100.0
18.254990339279175,101.0
18.403297901153564,102.0
18.539026498794556,103.0
18.539595365524292,104.0
18.60592484474182,105.0
18.685991525650024,106.0
18.818851232528687,107.0
18.886053323745728,108.0
19.090959310531616,109.0
19.331061363220215,110.0
19.387104749679565,111.0
19.455132722854614,112.0
19.527036428451538,113.0
19.590757369995117,114.0
20.210631370544434,115.0
20.210921049118042,116.0
21.076685667037964,117.0
21.139816999435425,118.0
21.404664754867554,119.0
21.81913185119629,120.0
21.819448471069336,121.0
21.90143394470215,122.0
22.019301176071167,123.0
22.21515965461731,124.0
22.58603549003601,125.0
22.651046991348267,126.0
22.651347398757935,127.0
22.725849151611328,128.0
22.85559606552124,129.0
22.924164295196533,130.0
23.13101053237915,131.0
23.353895664215088,132.0
23.506919622421265,133.0
23.570534706115723,134.0
24.087020874023438,135.0
24.371165990829468,136.0
24.750900268554688,137.0
25.47534203529358,138.0
25.8417546749115,139.0
26.12971830368042,140.0
26.184569597244263,141.0
26.24126935005188,142.0
26.615357160568237,143.0
27.856588125228882,144.0
28.56983757019043,145.0
29.523259162902832,146.0
29.731303453445435,147.0
30.611040115356445,148.0
30.769500494003296,149.0
30.83051300048828,150.0
30.90549349784851,151.0
31.5824453830719,152.0
31.789424180984497,153.0
32.79369354248047,154.0
32.794448375701904,155.0
33.159356117248535,156.0
33.5392484664917,157.0
33.68203806877136,158.0
34.35138273239136,159.0
34.51518774032593,160.0
34.823482036590576,161.0
34.95937204360962,162.0
35.79951763153076,163.0
36.466537952423096,164.0
37.187183141708374,165.0
37.187809228897095,166.0
37.346049308776855,167.0
37.58099055290222,168.0
37.73446702957153,169.0
38.201234579086304,170.0
38.35978674888611,171.0
38.43049955368042,172.0
38.43087458610535,173.0
38.663519859313965,174.0
38.66474461555481,175.0
38.740312337875366,176.0
38.89456510543823,177.0
38.98391771316528,178.0
39.120442628860474,179.0
39.19943857192993,180.0
39.27819037437439,181.0
39.27893662452698,182.0
39.34366011619568,183.0
39.41112208366394,184.0
39.47841262817383,185.0
39.811620235443115,186.0
40.024834632873535,187.0
40.25846886634827,188.0
40.313396692276,189.0
40.37750315666199,190.0
40.37799835205078,191.0
40.51109433174133,192.0
40.77583336830139,193.0
40.95968842506409,194.0
41.17513465881348,195.0
41.94304633140564,196.0
41.94430327415466,197.0
42.05937361717224,198.0
42.43352508544922,199.0
42.97131085395813,200.0
43.47136211395264,201.0
44.10069537162781,202.0
44.101454734802246,203.0
44.670815229415894,204.0
45.23786520957947,205.0
45.60339593887329,206.0
45.71690487861633,207.0
46.19830060005188,208.0
46.510077238082886,209.0
47.02619671821594,210.0
47.73652148246765,211.0
47.891165018081665,212.0
48.027265548706055,213.0
48.81529712677002,214.0
48.882912397384644,215.0
48.88380980491638,216.0
49.494293212890625,217.0
50.17004990577698,218.0
51.44346475601196,219.0
51.803828716278076,220.0
52.35999584197998,221.0
52.43262982368469,222.0
52.49991297721863,223.0
52.58384132385254,224.0
52.78939914703369,225.0
52.78974723815918,226.0
52.86567211151123,227.0
52.94122385978699,228.0
53.027647256851196,229.0
53.118489265441895,230.0
53.18368411064148,231.0
53.222033977508545,232.0
53.222440004348755,233.0
53.41177558898926,234.0
53.92757320404053,235.0
54.072914361953735,236.0
54.220844984054565,237.0
54.51185393333435,238.0
54.72368669509888,239.0
54.943838119506836,240.0
55.01464009284973,241.0
55.42877984046936,242.0
55.477110385894775,243.0
55.79433012008667,244.0
55.86566352844238,245.0
55.866454124450684,246.0
56.12665867805481,247.0
56.73956608772278,248.0
56.93948745727539,249.0
57.25036334991455,250.0
57.3467960357666,251.0
57.41468667984009,252.0
57.55492877960205,253.0
57.8425235748291,254.0
57.91814994812012,255.0
59.044039726257324,256.0
59.171430587768555,257.0
59.378000020980835,258.0
59.444387674331665,259.0
59.64849853515625,260.0
61.387924671173096,261.0
61.61149883270264,262.0
61.68725371360779,263.0
62.679521560668945,264.0
62.94260096549988,265.0
62.94295120239258,266.0
63.00421166419983,267.0
63.26917624473572,268.0
63.4741153717041,269.0
63.60735559463501,270.0
63.74346113204956,271.0
63.87552523612976,272.0
64.63584733009338,273.0
65.16027665138245,274.0
65.69032883644104,275.0
65.69226932525635,276.0
65.83429026603699,277.0
66.04728388786316,278.0
66.04745483398438,279.0
66.50366616249084,280.0
66.5677330493927,281.0
66.71939659118652,282.0
66.71977615356445,283.0
66.94857978820801,284.0
67.56774878501892,285.0
68.03969073295593,286.0
68.04016137123108,287.0
68.38365077972412,288.0
68.45842695236206,289.0
68.60488867759705,290.0
69.10691475868225,291.0
69.47855830192566,292.0
69.69769883155823,293.0
70.179607629776,294.0
70.5555682182312,295.0
70.70685362815857,296.0
71.14237475395203,297.0
71.44059324264526,298.0
71.50001859664917,299.0
71.57959461212158,300.0
71.70337915420532,301.0
71.92356777191162,302.0
72.22378158569336,303.0
72.30435276031494,304.0
72.73177409172058,305.0
72.93264269828796,306.0
72.9331066608429,307.0
72.93357729911804,308.0
73.29974436759949,309.0
73.37983560562134,310.0
73.94799184799194,311.0
74.17994451522827,312.0
74.27095007896423,313.0
74.77199387550354,314.0
75.18268585205078,315.0
75.18300127983093,316.0
75.37531423568726,317.0
75.37567520141602,318.0
75.93561172485352,319.0
75.99565267562866,320.0
76.06347727775574,321.0
76.69055819511414,322.0
77.72158932685852,323.0
