request_inter_arrival_delay,cdf
0.000713348388671875,0.000651890482398957
0.0057375431060791016,0.001303780964797914
0.00574946403503418,0.001955671447196871
0.005776405334472656,0.002607561929595828
0.006625652313232422,0.003259452411994785
0.006731986999511719,0.003911342894393742
0.006750583648681641,0.0045632333767926985
0.0067555904388427734,0.005215123859191656
0.010797262191772461,0.005867014341590613
0.01079869270324707,0.00651890482398957
0.010800600051879883,0.007170795306388526
0.010802984237670898,0.007822685788787484
0.010803699493408203,0.00847457627118644
0.010812997817993164,0.009126466753585397
0.01081705093383789,0.009778357235984355
0.010818719863891602,0.010430247718383311
0.010818719863891602,0.01108213820078227
0.010819435119628906,0.011734028683181226
0.01082158088684082,0.012385919165580182
0.010822772979736328,0.01303780964797914
0.010823488235473633,0.013689700130378096
0.010823726654052734,0.014341590612777053
0.010825395584106445,0.01499348109517601
0.010826587677001953,0.01564537157757497
0.010827302932739258,0.016297262059973925
0.010827779769897461,0.01694915254237288
0.010829687118530273,0.017601043024771838
0.010829925537109375,0.018252933507170794
0.010830879211425781,0.018904823989569754
0.010831832885742188,0.01955671447196871
0.010831832885742188,0.020208604954367666
0.010832071304321289,0.020860495436766623
0.010832071304321289,0.02151238591916558
0.01083230972290039,0.02216427640156454
0.010832548141479492,0.022816166883963495
0.010833024978637695,0.02346805736636245
0.010833263397216797,0.024119947848761408
0.010834217071533203,0.024771838331160364
0.010834455490112305,0.025423728813559324
0.010834693908691406,0.02607561929595828
0.010835409164428711,0.026727509778357236
0.010835886001586914,0.027379400260756193
0.010835886001586914,0.02803129074315515
0.010836362838745117,0.028683181225554105
0.010838031768798828,0.029335071707953065
0.010840177536010742,0.02998696219035202
0.010840654373168945,0.030638852672750978
0.010841608047485352,0.03129074315514994
0.010842323303222656,0.031942633637548894
0.010843276977539062,0.03259452411994785
0.010843753814697266,0.033246414602346806
0.010843753814697266,0.03389830508474576
0.010844707489013672,0.03455019556714472
0.010846138000488281,0.035202086049543675
0.010846614837646484,0.03585397653194263
0.010847330093383789,0.03650586701434159
0.010847330093383789,0.037157757496740544
0.010849952697753906,0.03780964797913951
0.01085042953491211,0.038461538461538464
0.01085042953491211,0.03911342894393742
0.010852336883544922,0.039765319426336376
0.010852575302124023,0.04041720990873533
0.01085352897644043,0.04106910039113429
0.010854005813598633,0.041720990873533245
0.010854244232177734,0.0423728813559322
0.010854959487915039,0.04302477183833116
0.010855436325073242,0.043676662320730114
0.010855674743652344,0.04432855280312908
0.010855913162231445,0.044980443285528034
0.010856151580810547,0.04563233376792699
0.010857582092285156,0.046284224250325946
0.010858535766601562,0.0469361147327249
0.010859012603759766,0.04758800521512386
0.010859251022338867,0.048239895697522815
0.010859251022338867,0.04889178617992177
0.010860204696655273,0.04954367666232073
0.010860443115234375,0.050195567144719684
0.01086115837097168,0.05084745762711865
0.01086282730102539,0.051499348109517604
0.010863065719604492,0.05215123859191656
