request_e2e_time,cdf
0.2342832088470459,0.0006583278472679394
0.2556445598602295,0.0013166556945358788
0.29643940925598145,0.0019749835418038184
0.3151865005493164,0.0026333113890717576
0.31902384757995605,0.0032916392363396972
0.3193480968475342,0.003949967083607637
0.3203856945037842,0.004608294930875576
0.3269047737121582,0.005266622778143515
0.32727694511413574,0.005924950625411455
0.32805466651916504,0.0065832784726793945
0.33060407638549805,0.007241606319947334
0.33138346672058105,0.007899934167215274
0.336733341217041,0.008558262014483212
0.342623233795166,0.009216589861751152
0.34493017196655273,0.009874917709019092
0.35213518142700195,0.01053324555628703
0.35294198989868164,0.01119157340355497
0.35405802726745605,0.01184990125082291
0.35785937309265137,0.012508229098090849
0.36159276962280273,0.013166556945358789
0.3619406223297119,0.013824884792626729
0.36215734481811523,0.014483212639894667
0.36487460136413574,0.015141540487162607
0.36607789993286133,0.015799868334430547
0.3673989772796631,0.016458196181698487
0.36974263191223145,0.017116524028966424
0.37178969383239746,0.017774851876234364
0.37709617614746094,0.018433179723502304
0.3835628032684326,0.019091507570770244
0.3844435214996338,0.019749835418038184
0.3922007083892822,0.02040816326530612
0.39830970764160156,0.02106649111257406
0.40485286712646484,0.021724818959842
0.40530896186828613,0.02238314680710994
0.4057474136352539,0.02304147465437788
0.4086425304412842,0.02369980250164582
0.40948057174682617,0.024358130348913758
0.4112217426300049,0.025016458196181698
0.41164612770080566,0.025674786043449638
0.41204261779785156,0.026333113890717578
0.41335606575012207,0.026991441737985518
0.4134068489074707,0.027649769585253458
0.4187297821044922,0.028308097432521395
0.4196751117706299,0.028966425279789335
0.4210391044616699,0.029624753127057275
0.4236280918121338,0.030283080974325215
0.4262056350708008,0.030941408821593155
0.4277455806732178,0.031599736668861095
0.4311790466308594,0.03225806451612903
0.4318876266479492,0.032916392363396975
0.43215155601501465,0.03357472021066491
0.43425965309143066,0.03423304805793285
0.4368712902069092,0.03489137590520079
0.4527907371520996,0.03554970375246873
0.45349860191345215,0.03620803159973667
0.4539601802825928,0.03686635944700461
0.4551255702972412,0.037524687294272545
0.45720911026000977,0.03818301514154049
0.4583582878112793,0.038841342988808425
0.4604663848876953,0.03949967083607637
0.460665225982666,0.040157998683344305
0.46353840827941895,0.04081632653061224
0.4640231132507324,0.041474654377880185
0.46523284912109375,0.04213298222514812
0.4695713520050049,0.042791310072416065
0.47010207176208496,0.043449637919684
0.471879243850708,0.044107965766951945
0.4737429618835449,0.04476629361421988
0.47612619400024414,0.04542462146148782
0.4803178310394287,0.04608294930875576
