COUNT,Count,Percentage
1333.388,101,6.649111257406188
1938.58,55,3.6208031599736668
2536.3,28,1.8433179723502304
3134.02,64,4.213298222514813
3731.74,245,16.129032258064516
4329.46,46,3.0283080974325216
4927.18,48,3.1599736668861094
5524.9,11,0.7241606319947334
6122.62,9,0.5924950625411455
6720.34,404,26.596445029624753
7318.0599999999995,256,16.85319289005925
7915.78,126,8.294930875576037
8513.5,18,1.184990125082291
9111.220000000001,12,0.7899934167215273
9708.939999999999,18,1.184990125082291
10306.66,13,0.8558262014483212
10904.380000000001,9,0.5924950625411455
11502.099999999999,3,0.19749835418038184
12099.82,4,0.2633311389071758
12697.54,5,0.32916392363396973
13295.26,6,0.39499670836076367
13892.98,8,0.5266622778143516
14490.7,5,0.32916392363396973
15088.42,10,0.6583278472679395
15686.14,15,0.9874917709019092
