request_execution_time,cdf
0.11095356941223145,0.0006583278472679394
0.14744091033935547,0.0013166556945358788
0.15436387062072754,0.0019749835418038184
0.15556120872497559,0.0026333113890717576
0.17324471473693848,0.0032916392363396972
0.1782064437866211,0.003949967083607637
0.17877554893493652,0.004608294930875576
0.1938340663909912,0.005266622778143515
0.1944410800933838,0.005924950625411455
0.19904732704162598,0.0065832784726793945
0.20347070693969727,0.007241606319947334
0.21163582801818848,0.007899934167215274
0.21575570106506348,0.008558262014483212
0.22240328788757324,0.009216589861751152
0.22655129432678223,0.009874917709019092
0.23627018928527832,0.01053324555628703
0.23851823806762695,0.01119157340355497
0.23981189727783203,0.01184990125082291
0.24264025688171387,0.012508229098090849
0.2436671257019043,0.013166556945358789
0.24405598640441895,0.013824884792626729
0.2443864345550537,0.014483212639894667
0.24454212188720703,0.015141540487162607
0.24653077125549316,0.015799868334430547
0.24661493301391602,0.016458196181698487
0.24713349342346191,0.017116524028966424
0.24735569953918457,0.017774851876234364
0.24749755859375,0.018433179723502304
0.24802255630493164,0.019091507570770244
0.2486555576324463,0.019749835418038184
0.24942469596862793,0.02040816326530612
0.25002336502075195,0.02106649111257406
0.25034475326538086,0.021724818959842
0.25043153762817383,0.02238314680710994
0.25049304962158203,0.02304147465437788
0.25099968910217285,0.02369980250164582
0.2514941692352295,0.024358130348913758
0.25269389152526855,0.025016458196181698
0.2527024745941162,0.025674786043449638
0.25282931327819824,0.026333113890717578
0.2529318332672119,0.026991441737985518
0.25388169288635254,0.027649769585253458
0.2542440891265869,0.028308097432521395
0.2545340061187744,0.028966425279789335
0.2547016143798828,0.029624753127057275
0.2551000118255615,0.030283080974325215
0.25624823570251465,0.030941408821593155
0.25702381134033203,0.031599736668861095
0.2570371627807617,0.03225806451612903
0.2571446895599365,0.032916392363396975
0.2575969696044922,0.03357472021066491
0.2577948570251465,0.03423304805793285
0.2580728530883789,0.03489137590520079
0.2581655979156494,0.03554970375246873
0.25828123092651367,0.03620803159973667
0.2583460807800293,0.03686635944700461
0.2585301399230957,0.037524687294272545
0.258664608001709,0.03818301514154049
0.2587606906890869,0.038841342988808425
0.25882387161254883,0.03949967083607637
0.2588615417480469,0.040157998683344305
0.2589552402496338,0.04081632653061224
0.25921154022216797,0.041474654377880185
0.2594265937805176,0.04213298222514812
0.2594470977783203,0.042791310072416065
0.2597382068634033,0.043449637919684
0.2604379653930664,0.044107965766951945
0.2605934143066406,0.04476629361421988
0.26071643829345703,0.04542462146148782
0.26093101501464844,0.04608294930875576
0.26102709770202637,0.0467412771560237
0.2610502243041992,0.04739960500329164
0.2616157531738281,0.04805793285055958
0.26252174377441406,0.048716260697827515
0.26273345947265625,0.04937458854509546
0.2632408142089844,0.050032916392363395
0.26360344886779785,0.05069124423963134
0.263749361038208,0.051349572086899276
0.2640950679779053,0.05200789993416721
0.264263391494751,0.052666227781435156
0.2645692825317383,0.05332455562870309
0.26460766792297363,0.053982883475971036
0.26473474502563477,0.05464121132323897
0.26485633850097656,0.055299539170506916
0.2648735046386719,0.05595786701777485
0.2650787830352783,0.05661619486504279
0.26519179344177246,0.05727452271231073
0.2653238773345947,0.05793285055957867
0.26548242568969727,0.05859117840684661
0.2659764289855957,0.05924950625411455
0.26598596572875977,0.059907834101382486
0.26608777046203613,0.06056616194865043
0.2661724090576172,0.061224489795918366
0.2664165496826172,0.06188281764318631
0.26653075218200684,0.06254114549045425
0.2669095993041992,0.06319947333772219
0.2669503688812256,0.06385780118499013
0.2674062252044678,0.06451612903225806
0.2674703598022461,0.065174456879526
0.26831865310668945,0.06583278472679395
0.2684321403503418,0.06649111257406189
0.26851487159729004,0.06714944042132982
0.26880931854248047,0.06780776826859776
0.26892805099487305,0.0684660961158657
0.2690427303314209,0.06912442396313365
0.269608736038208,0.06978275181040158
0.26964378356933594,0.07044107965766952
0.2699470520019531,0.07109940750493746
0.27007126808166504,0.07175773535220539
0.2701399326324463,0.07241606319947334
0.2704892158508301,0.07307439104674128
0.2708315849304199,0.07373271889400922
0.2716248035430908,0.07439104674127715
0.27162957191467285,0.07504937458854509
0.2727518081665039,0.07570770243581304
0.27280139923095703,0.07636603028308098
0.2732112407684326,0.07702435813034891
0.2732853889465332,0.07768268597761685
0.27368640899658203,0.07834101382488479
0.27391695976257324,0.07899934167215274
0.2740604877471924,0.07965766951942067
0.27419161796569824,0.08031599736668861
0.27419376373291016,0.08097432521395655
0.27458810806274414,0.08163265306122448
0.274796724319458,0.08229098090849243
0.274932861328125,0.08294930875576037
0.2752702236175537,0.0836076366030283
0.2753009796142578,0.08426596445029624
0.27544188499450684,0.08492429229756418
0.2755606174468994,0.08558262014483213
0.2756655216217041,0.08624094799210007
0.2757251262664795,0.086899275839368
0.2757911682128906,0.08755760368663594
0.27579641342163086,0.08821593153390389
0.27602577209472656,0.08887425938117183
0.2761497497558594,0.08953258722843976
0.27678871154785156,0.0901909150757077
0.2772395610809326,0.09084924292297564
0.27761244773864746,0.09150757077024359
0.2776784896850586,0.09216589861751152
0.277940034866333,0.09282422646477946
0.2780478000640869,0.0934825543120474
0.27811741828918457,0.09414088215931533
0.2782471179962158,0.09479921000658328
0.27831220626831055,0.09545753785385122
0.27848362922668457,0.09611586570111916
0.2785618305206299,0.0967741935483871
0.27884674072265625,0.09743252139565503
0.278855562210083,0.09809084924292298
